Date,ELUX-B.ST
2015-08-24,137.85479736328125
2015-08-25,145.68673706054688
2015-08-26,145.38084411621094
2015-08-27,149.11328125
2015-08-28,148.92970275878906
2015-08-31,146.29859924316406
2015-09-01,141.95431518554688
2015-09-02,141.64842224121094
2015-09-03,145.1360626220703
2015-09-04,143.9735107421875
2015-09-07,146.23744201660156
2015-09-08,148.44020080566406
2015-09-09,149.78631591796875
2015-09-10,149.29681396484375
2015-09-11,149.235595703125
2015-09-14,147.46121215820312
2015-09-15,145.25843811035156
2015-09-16,148.50137329101562
2015-09-17,149.60272216796875
2015-09-18,148.44020080566406
2015-09-21,147.64474487304688
2015-09-22,143.11691284179688
2015-09-23,143.42283630371094
2015-09-24,136.81459045410156
2015-09-25,140.42466735839844
2015-09-28,136.20274353027344
2015-09-29,138.03834533691406
2015-09-30,144.4018096923828
2015-10-01,143.42283630371094
2015-10-02,143.3616485595703
2015-10-05,146.91050720214844
2015-10-06,148.62376403808594
2015-10-07,146.54336547851562
2015-10-08,149.17442321777344
2015-10-09,150.33700561523438
2015-10-12,147.8282928466797
2015-10-13,146.4822235107422
2015-10-14,143.9735107421875
2015-10-15,148.50137329101562
2015-10-16,154.4365234375
2015-10-19,157.31231689453125
2015-10-20,158.59727478027344
2015-10-21,153.8246612548828
2015-10-22,156.0273895263672
2015-10-23,159.2703094482422
2015-10-26,155.5990753173828
2015-10-27,153.7634735107422
2015-10-28,155.90504455566406
2015-10-29,154.37535095214844
2015-10-30,154.19180297851562
2015-11-02,145.87030029296875
2015-11-03,146.29859924316406
2015-11-04,148.74609375
2015-11-05,144.0959014892578
2015-11-06,147.70594787597656
2015-11-09,148.13426208496094
2015-11-10,148.25660705566406
2015-11-11,151.31597900390625
2015-11-12,148.9908447265625
2015-11-13,147.0328826904297
2015-11-16,147.0328826904297
2015-11-17,148.3177947998047
2015-11-18,147.2164306640625
2015-11-19,151.0100555419922
2015-11-20,156.70045471191406
2015-11-23,153.15159606933594
2015-11-24,153.15159606933594
2015-11-25,154.0694122314453
2015-11-26,154.19180297851562
2015-11-27,152.90684509277344
2015-11-30,156.6392822265625
2015-12-01,154.31414794921875
2015-12-02,152.90684509277344
2015-12-03,147.76712036132812
2015-12-04,146.23744201660156
2015-12-07,126.65753173828125
2015-12-08,124.39359283447266
2015-12-09,122.98627471923828
2015-12-10,121.2730484008789
2015-12-11,118.82557678222656
2015-12-14,118.82557678222656
2015-12-15,119.86576080322266
2015-12-16,122.68036651611328
2015-12-17,125.37259674072266
2015-12-18,122.802734375
2015-12-21,122.3744125366211
2015-12-22,122.3744125366211
2015-12-23,124.57717895507812
2015-12-28,124.57717895507812
2015-12-29,126.29039764404297
2015-12-30,125.55619049072266
2016-01-04,122.98627471923828
2016-01-05,121.2730484008789
2016-01-07,121.2730484008789
2016-01-08,119.43743896484375
2016-01-11,116.98995208740234
2016-01-12,115.03195190429688
2016-01-13,116.31689453125
2016-01-14,114.2365493774414
2016-01-15,109.09681701660156
2016-01-18,109.7698745727539
2016-01-19,111.66666412353516
2016-01-20,109.64746856689453
2016-01-21,111.9113998413086
2016-01-22,110.1369857788086
2016-01-25,110.1369857788086
2016-01-26,111.29953002929688
2016-01-27,110.1369857788086
2016-01-28,114.78722381591797
2016-01-29,113.80821228027344
2016-02-01,112.70684051513672
2016-02-02,111.9113998413086
2016-02-03,110.1369857788086
2016-02-04,111.60548400878906
2016-02-05,115.52147674560547
2016-02-08,112.15617370605469
2016-02-09,111.60548400878906
2016-02-10,112.64566040039062
2016-02-11,106.5881118774414
2016-02-12,110.44291687011719
2016-02-15,115.827392578125
2016-02-16,114.72603607177734
2016-02-17,116.62281036376953
2016-02-18,118.94791412353516
2016-02-19,118.5808334350586
2016-02-22,118.70318603515625
2016-02-23,117.0511474609375
2016-02-24,114.72603607177734
2016-02-25,120.41644287109375
2016-02-26,123.84292602539062
2016-02-29,123.41459655761719
2016-03-01,124.88311004638672
2016-03-02,123.65933990478516
2016-03-03,124.14887237548828
2016-03-04,126.29039764404297
2016-03-07,124.27123260498047
2016-03-08,124.63835144042969
2016-03-09,123.59819030761719
2016-03-10,123.10869598388672
2016-03-11,126.47398376464844
