Date,CIPLA.NS
2015-08-03,668.3242797851562
2015-08-04,665.837890625
2015-08-05,674.2352905273438
2015-08-06,678.7390747070312
2015-08-07,670.9983520507812
2015-08-10,671.0921630859375
2015-08-11,676.6904907226562
2015-08-12,665.8231811523438
2015-08-13,682.6179809570312
2015-08-14,695.884765625
2015-08-17,661.589111328125
2015-08-18,643.3828125
2015-08-19,654.955810546875
2015-08-20,650.7217407226562
2015-08-21,656.1790771484375
2015-08-24,598.2670288085938
2015-08-25,607.2525634765625
2015-08-26,599.7723388671875
2015-08-27,621.8834228515625
2015-08-28,620.8485107421875
2015-08-31,641.8303833007812
2015-09-01,623.9534301757812
2015-09-02,609.9811401367188
2015-09-03,616.896728515625
2015-09-04,611.1571655273438
2015-09-07,611.1571655273438
2015-09-08,611.5806274414062
2015-09-09,617.6494140625
2015-09-10,615.0619506835938
2015-09-11,614.54443359375
2015-09-14,621.6482543945312
2015-09-15,619.3899536132812
2015-09-16,622.4949951171875
2015-09-18,613.46240234375
2015-09-21,610.875
2015-09-22,606.0763549804688
2015-09-23,604.1947021484375
2015-09-24,605.08837890625
2015-09-28,603.9594116210938
2015-09-29,598.8785400390625
2015-09-30,598.455078125
2015-10-01,596.1029663085938
2015-10-05,602.2657470703125
2015-10-06,624.7532348632812
2015-10-07,640.5601196289062
2015-10-08,640.0426635742188
2015-10-09,648.7930297851562
2015-10-12,636.3731689453125
2015-10-13,638.9135131835938
2015-10-14,639.0547485351562
2015-10-15,631.2922973632812
2015-10-16,639.2899169921875
2015-10-19,647.7579345703125
2015-10-20,633.7857666015625
2015-10-21,637.9256591796875
2015-10-23,641.87744140625
2015-10-26,640.9835815429688
2015-10-27,644.2295532226562
2015-10-28,654.9087524414062
2015-10-29,650.6747436523438
2015-10-30,649.6397705078125
2015-11-02,640.0426635742188
2015-11-03,635.4794311523438
2015-11-04,631.0570678710938
2015-11-05,619.15478515625
2015-11-06,619.2489624023438
2015-11-09,609.3225708007812
2015-11-10,603.9594116210938
2015-11-13,581.3780517578125
2015-11-16,588.8110961914062
2015-11-17,598.1729736328125
2015-11-18,592.5275268554688
2015-11-19,598.0787963867188
2015-11-20,608.6167602539062
2015-11-23,603.5359497070312
2015-11-24,599.6312866210938
2015-11-26,597.0437622070312
