Date,ITBEES.NS
2020-07-06,15.550000190734863
2020-07-07,15.739999771118164
2020-07-08,15.5
2020-07-09,15.550000190734863
2020-07-10,15.59000015258789
2020-07-13,15.90999984741211
2020-07-14,15.729999542236328
2020-07-15,16.549999237060547
2020-07-16,17.010000228881836
2020-07-17,16.84000015258789
2020-07-20,17.25
2020-07-21,17.31999969482422
2020-07-22,17.15999984741211
2020-07-23,17.170000076293945
2020-07-24,17.25
2020-07-27,17.6200008392334
2020-07-28,18.049999237060547
2020-07-29,17.959999084472656
2020-07-30,18.1299991607666
2020-07-31,18.18000030517578
2020-08-03,18.06999969482422
2020-08-04,17.760000228881836
2020-08-05,17.90999984741211
2020-08-06,18.1200008392334
2020-08-07,18.1200008392334
2020-08-10,18.239999771118164
2020-08-11,18.200000762939453
2020-08-12,18.06999969482422
2020-08-13,18.149999618530273
2020-08-14,18.139999389648438
2020-08-17,18.25
2020-08-18,18.3700008392334
2020-08-19,18.350000381469727
2020-08-20,18.260000228881836
2020-08-21,18.239999771118164
2020-08-24,18.110000610351562
2020-08-25,18.040000915527344
2020-08-26,18.09000015258789
2020-08-27,18.200000762939453
2020-08-28,18.079999923706055
2020-08-31,17.989999771118164
2020-09-01,17.90999984741211
2020-09-02,18.020000457763672
2020-09-03,18.360000610351562
2020-09-04,18.110000610351562
2020-09-07,18.100000381469727
2020-09-08,18.540000915527344
2020-09-09,18.350000381469727
2020-09-10,18.299999237060547
2020-09-11,18.709999084472656
2020-09-14,19.549999237060547
2020-09-15,19.799999237060547
2020-09-16,19.770000457763672
2020-09-17,19.940000534057617
2020-09-18,20.059999465942383
2020-09-21,19.81999969482422
2020-09-22,19.950000762939453
2020-09-23,19.8799991607666
2020-09-24,19.049999237060547
2020-09-25,19.700000762939453
2020-09-28,19.790000915527344
2020-09-29,19.850000381469727
2020-09-30,20.0
2020-10-01,20.200000762939453
2020-10-05,20.8700008392334
2020-10-06,21.010000228881836
2020-10-07,21.1200008392334
2020-10-08,21.760000228881836
2020-10-09,21.93000030517578
2020-10-12,22.309999465942383
2020-10-13,23.709999084472656
2020-10-14,22.389999389648438
2020-10-15,21.68000030517578
2020-10-16,21.639999389648438
2020-10-19,21.479999542236328
2020-10-20,21.739999771118164
2020-10-21,21.65999984741211
2020-10-22,21.549999237060547
2020-10-23,21.6200008392334
2020-10-26,21.43000030517578
2020-10-27,21.260000228881836
2020-10-28,21.0
2020-10-29,21.1299991607666
2020-10-30,21.15999984741211
2020-11-02,20.940000534057617
2020-11-03,20.920000076293945
2020-11-04,21.329999923706055
2020-11-05,21.59000015258789
2020-11-06,21.65999984741211
2020-11-09,22.049999237060547
2020-11-10,21.209999084472656
2020-11-11,21.59000015258789
2020-11-12,21.56999969482422
2020-11-13,21.540000915527344
2020-11-14,21.670000076293945
2020-11-17,21.719999313354492
2020-11-18,21.540000915527344
2020-11-19,21.360000610351562
2020-11-20,21.520000457763672
2020-11-23,22.139999389648438
2020-11-24,22.190000534057617
2020-11-25,22.030000686645508
2020-11-26,22.020000457763672
2020-11-27,22.0
2020-12-01,22.219999313354492
2020-12-02,22.329999923706055
2020-12-03,22.360000610351562
2020-12-04,22.440000534057617
2020-12-07,22.649999618530273
2020-12-08,22.84000015258789
2020-12-09,22.899999618530273
2020-12-10,22.93000030517578
2020-12-11,22.809999465942383
2020-12-14,22.850000381469727
2020-12-15,22.8799991607666
2020-12-16,23.040000915527344
2020-12-17,23.059999465942383
2020-12-18,23.469999313354492
2020-12-21,23.010000228881836
2020-12-22,23.829999923706055
2020-12-23,24.360000610351562
2020-12-24,24.229999542236328
2020-12-28,24.31999969482422
2020-12-29,24.469999313354492
2020-12-30,24.59000015258789
2020-12-31,24.540000915527344
2021-01-01,24.700000762939453
2021-01-04,25.350000381469727
2021-01-05,25.950000762939453
2021-01-06,25.6299991607666
2021-01-07,25.440000534057617
2021-01-08,26.43000030517578
2021-01-11,27.200000762939453
2021-01-12,27.149999618530273
2021-01-13,27.190000534057617
2021-01-14,27.1299991607666
2021-01-15,26.799999237060547
2021-01-18,26.600000381469727
2021-01-19,26.260000228881836
2021-01-20,26.920000076293945
2021-01-21,26.670000076293945
2021-01-22,26.780000686645508
2021-01-25,26.280000686645508
2021-01-27,26.110000610351562
2021-01-28,25.540000915527344
2021-01-29,24.950000762939453
2021-02-01,25.030000686645508
2021-02-02,25.68000030517578
2021-02-03,25.950000762939453
2021-02-04,25.84000015258789
2021-02-05,25.610000610351562
2021-02-08,26.219999313354492
2021-02-09,26.06999969482422
2021-02-10,26.06999969482422
2021-02-11,26.299999237060547
2021-02-12,26.3799991607666
2021-02-15,26.200000762939453
2021-02-16,25.75
2021-02-17,25.579999923706055
2021-02-18,25.84000015258789
2021-02-19,25.780000686645508
2021-02-22,25.1200008392334
2021-02-23,25.049999237060547
2021-02-24,25.020000457763672
2021-02-25,25.170000076293945
2021-02-26,24.559999465942383
2021-03-01,24.790000915527344
2021-03-02,25.6200008392334
2021-03-03,26.010000228881836
2021-03-04,25.899999618530273
2021-03-05,25.579999923706055
2021-03-08,25.6299991607666
2021-03-09,25.989999771118164
2021-03-10,26.260000228881836
2021-03-12,26.219999313354492
2021-03-15,26.280000686645508
2021-03-16,26.68000030517578
2021-03-17,26.420000076293945
2021-03-18,25.639999389648438
2021-03-19,25.799999237060547
2021-03-22,26.360000610351562
2021-03-23,26.290000915527344
2021-03-24,25.75
2021-03-25,25.81999969482422
2021-03-26,25.829999923706055
2021-03-30,26.84000015258789
2021-03-31,26.170000076293945
2021-04-01,26.31999969482422
