Date,BAC
2015-08-03,14.340055465698242
2015-08-04,14.36426067352295
2015-08-05,14.420751571655273
2015-08-06,14.372330665588379
2015-08-07,14.3239164352417
2015-08-10,14.557938575744629
2015-08-11,14.356194496154785
2015-08-12,14.138310432434082
2015-08-13,14.219006538391113
2015-08-14,14.283561706542969
2015-08-17,14.340055465698242
2015-08-18,14.275496482849121
2015-08-19,14.089888572692871
2015-08-20,13.492720603942871
2015-08-21,12.992396354675293
2015-08-24,12.338739395141602
2015-08-25,12.314529418945312
2015-08-26,12.960115432739258
2015-08-27,13.266766548156738
2015-08-28,13.202211380004883
2015-08-31,13.186068534851074
2015-09-01,12.572761535644531
2015-09-02,12.831830024719238
2015-09-03,12.904691696166992
2015-09-04,12.669912338256836
2015-09-08,13.08279800415039
2015-09-09,12.872306823730469
2015-09-10,12.985651969909668
2015-09-11,12.985651969909668
2015-09-14,12.920884132385254
2015-09-15,13.204235076904297
2015-09-16,13.220427513122559
2015-09-17,12.839926719665527
2015-09-18,12.597054481506348
2015-09-21,12.710391998291016
2015-09-22,12.605149269104004
2015-09-23,12.726587295532227
2015-09-24,12.588956832885742
2015-09-25,12.864213943481445
2015-09-28,12.524189949035645
2015-09-29,12.427040100097656
2015-09-30,12.613243103027344
2015-10-01,12.588956832885742
2015-10-02,12.451324462890625
2015-10-05,12.702296257019043
2015-10-06,12.702296257019043
2015-10-07,12.750872611999512
2015-10-08,12.750872611999512
2015-10-09,12.613243103027344
2015-10-12,12.564668655395508
2015-10-13,12.564668655395508
2015-10-14,12.661818504333496
2015-10-15,13.107087135314941
2015-10-16,13.050416946411133
2015-10-19,13.066604614257812
2015-10-20,13.11518383026123
2015-10-21,12.872306823730469
2015-10-22,13.08279800415039
2015-10-23,13.374246597290039
2015-10-26,13.366150856018066
2015-10-27,13.27709674835205
2015-10-28,13.989527702331543
2015-10-29,13.835708618164062
2015-10-30,13.584739685058594
2015-11-02,13.811416625976562
2015-11-03,13.908570289611816
2015-11-04,13.770942687988281
2015-11-05,14.013812065124512
2015-11-06,14.531946182250977
2015-11-09,14.313360214233398
2015-11-10,14.450984954833984
2015-11-11,14.370036125183105
2015-11-12,14.062392234802246
2015-11-13,13.924760818481445
2015-11-16,14.110967636108398
2015-11-17,14.102869033813477
2015-11-18,14.442889213562012
2015-11-19,14.321457862854004
2015-11-20,14.289073944091797
2015-11-23,14.143349647521973
2015-11-24,14.143349647521973
2015-11-25,14.119061470031738
2015-11-27,14.151445388793945
2015-11-30,14.110967636108398
2015-12-01,14.418603897094727
2015-12-02,14.30494499206543
2015-12-03,14.045149803161621
2015-12-04,14.451078414916992
2015-12-07,14.239998817443848
2015-12-08,13.955845832824707
2015-12-09,13.882777214050293
2015-12-10,13.96396541595459
2015-12-11,13.582389831542969
2015-12-14,13.639222145080566
2015-12-15,14.142580032348633
2015-12-16,14.41048526763916
2015-12-17,14.045149803161621
2015-12-18,13.606748580932617
2015-12-21,13.777237892150879
2015-12-22,13.866549491882324
2015-12-23,14.077622413635254
2015-12-24,14.020794868469238
2015-12-28,13.907135963439941
2015-12-29,14.028914451599121
2015-12-30,13.842182159423828
2015-12-31,13.663580894470215
2016-01-04,13.33883285522461
2016-01-05,13.33883285522461
2016-01-06,13.054681777954102
2016-01-07,12.583805084228516
2016-01-08,12.34024715423584
2016-01-11,12.429551124572754
2016-01-12,12.429551124572754
2016-01-13,12.096692085266113
2016-01-14,12.169760704040527
2016-01-15,11.739474296569824
2016-01-19,11.560867309570312
2016-01-20,11.114340782165527
2016-01-21,10.846428871154785
2016-01-22,11.00880241394043
2016-01-25,10.521686553955078
2016-01-26,10.805834770202637
2016-01-27,10.846428871154785
2016-01-28,10.984443664550781
2016-01-29,11.4796781539917
2016-02-01,11.333545684814453
2016-02-02,10.740891456604004
2016-02-03,10.578516006469727
2016-02-04,10.757121086120605
2016-02-05,10.513567924499512
2016-02-08,9.961503028869629
2016-02-09,9.90467357635498
2016-02-10,9.726065635681152
2016-02-11,9.06033992767334
2016-02-12,9.701708793640137
2016-02-16,9.945265769958496
2016-02-17,10.196939468383789
2016-02-18,9.937150001525879
2016-02-19,9.847843170166016
2016-02-22,10.180704116821289
2016-02-23,9.872198104858398
2016-02-24,9.847843170166016
2016-02-25,10.002098083496094
2016-02-26,10.310604095458984
2016-02-29,10.164470672607422
2016-03-01,10.708413124084473
2016-03-02,10.928448677062988
2016-03-03,11.00179386138916
2016-03-04,11.034388542175293
2016-03-07,11.026241302490234
2016-03-08,10.643216133117676
2016-03-09,10.708413124084473
2016-03-10,10.814356803894043
2016-03-11,11.238130569458008
2016-03-14,11.115886688232422
2016-03-15,11.05884075164795
2016-03-16,10.84695053100586
2016-03-17,10.920300483703613
2016-03-18,11.238130569458008
2016-03-21,11.278875350952148
2016-03-22,11.213679313659668
2016-03-23,11.099588394165039
2016-03-24,11.148482322692871
2016-03-28,11.099588394165039
2016-03-29,10.936596870422363
2016-03-30,10.985493659973145
2016-03-31,11.01809310913086
2016-04-01,11.050691604614258
2016-04-04,11.009946823120117
2016-04-05,10.749160766601562
2016-04-06,10.814356803894043
2016-04-07,10.472077369689941
2016-04-08,10.496525764465332
2016-04-11,10.569872856140137
2016-04-12,10.814356803894043
2016-04-13,11.238130569458008
2016-04-14,11.523360252380371
2016-04-15,11.409268379211426
2016-04-18,11.547807693481445
2016-04-19,11.775993347167969
2016-04-20,12.167170524597168
2016-04-21,12.142723083496094
2016-04-22,12.313860893249512
2016-04-25,12.19161605834961
2016-04-26,12.297562599182129
2016-04-27,12.240514755249023
