Date,APO
2015-08-03,12.812872886657715
2015-08-04,12.932502746582031
2015-08-05,12.731021881103516
2015-08-06,12.68065357208252
2015-08-07,13.335460662841797
2015-08-10,13.78879451751709
2015-08-11,13.17176342010498
2015-08-12,13.115094184875488
2015-08-13,13.222128868103027
2015-08-14,13.30565071105957
2015-08-17,13.183578491210938
2015-08-18,12.855920791625977
2015-08-19,12.515408515930176
2015-08-20,12.110650062561035
2015-08-21,12.104225158691406
2015-08-24,11.615943908691406
2015-08-25,11.378226280212402
2015-08-26,11.577397346496582
2015-08-27,12.072100639343262
2015-08-28,12.239144325256348
2015-08-31,11.937179565429688
2015-09-01,11.763711929321289
2015-09-02,12.142773628234863
2015-09-03,12.213445663452148
2015-09-04,12.084953308105469
2015-09-08,12.541106224060059
2015-09-09,12.30339241027832
2015-09-10,12.232720375061035
2015-09-11,12.136347770690918
2015-09-14,11.995004653930664
2015-09-15,12.194173812866211
2015-09-16,12.380489349365234
2015-09-17,12.162047386169434
2015-09-18,11.988574981689453
2015-09-21,12.014277458190918
2015-09-22,11.693042755126953
2015-09-23,11.538846015930176
2015-09-24,11.403924942016602
2015-09-25,11.365378379821777
2015-09-28,11.134088516235352
2015-09-29,10.742179870605469
2015-09-30,11.03771686553955
2015-10-01,11.30755615234375
2015-10-02,11.500298500061035
2015-10-05,11.744440078735352
2015-10-06,11.821535110473633
2015-10-07,11.950031280517578
2015-10-08,11.988574981689453
2015-10-09,11.96287727355957
2015-10-12,11.937179565429688
2015-10-13,11.892208099365234
2015-10-14,11.821535110473633
2015-10-15,11.943609237670898
2015-10-16,11.930755615234375
2015-10-19,11.937179565429688
2015-10-20,11.943609237670898
2015-10-21,11.6030912399292
2015-10-22,11.950031280517578
2015-10-23,11.943609237670898
2015-10-26,11.808683395385742
2015-10-27,11.853660583496094
2015-10-28,11.705888748168945
2015-10-29,11.815107345581055
2015-10-30,11.73801326751709
2015-11-02,12.078527450561523
2015-11-03,12.181321144104004
2015-11-04,12.187743186950684
2015-11-05,11.911477088928223
2015-11-06,11.872930526733398
2015-11-09,11.65449333190918
2015-11-10,11.558122634887695
2015-11-11,11.712311744689941
2015-11-12,11.513147354125977
