Date,BNZL.L
2015-08-24,1667.4075927734375
2015-08-25,1702.332763671875
2015-08-26,1683.3734130859375
2015-08-27,1709.3175048828125
2015-08-28,1735.26171875
2015-09-01,1714.306396484375
2015-09-02,1720.2939453125
2015-09-03,1749.2314453125
2015-09-04,1720.2939453125
2015-09-07,1728.2764892578125
2015-09-08,1739.2530517578125
2015-09-09,1754.220703125
2015-09-10,1745.239990234375
2015-09-11,1751.22705078125
2015-09-14,1734.263671875
2015-09-15,1743.2445068359375
2015-09-16,1764.199462890625
2015-09-17,1755.2181396484375
2015-09-18,1735.26171875
2015-09-21,1742.2464599609375
2015-09-22,1703.3304443359375
2015-09-23,1724.2850341796875
2015-09-24,1730.2723388671875
2015-09-25,1780.164794921875
2015-09-28,1772.181884765625
2015-09-29,1735.26171875
2015-09-30,1766.1949462890625
2015-10-01,1788.1475830078125
2015-10-02,1800.12158203125
2015-10-05,1842.03173828125
2015-10-06,1856.00146484375
2015-10-07,1853.0076904296875
2015-10-08,1856.9993896484375
2015-10-09,1852.010009765625
2015-10-12,1833.050537109375
2015-10-13,1828.0616455078125
2015-10-14,1814.0916748046875
2015-10-15,1828.0616455078125
2015-10-16,1823.0726318359375
2015-10-19,1834.04833984375
2015-10-20,1841.033447265625
2015-10-21,1795.1328125
2015-10-22,1809.1024169921875
2015-10-23,1829.0594482421875
2015-10-26,1803.1153564453125
2015-10-27,1795.1328125
2015-10-28,1814.0916748046875
2015-10-29,1830.056884765625
2015-10-30,1855.003662109375
2015-11-02,1865.97998046875
2015-11-03,1864.981689453125
2015-11-04,1873.9625244140625
2015-11-05,1864.981689453125
2015-11-06,1890.926025390625
2015-11-09,1858.994873046875
2015-11-10,1872.96484375
2015-11-11,1883.9412841796875
2015-11-12,1860.9908447265625
2015-11-13,1836.04443359375
2015-11-16,1848.0186767578125
2015-11-17,1875.95849609375
2015-11-18,1873.9625244140625
2015-11-19,1882.0634765625
2015-11-20,1890.0465087890625
2015-11-23,1888.0506591796875
2015-11-24,1872.0843505859375
2015-11-25,1904.0174560546875
2015-11-26,1897.0321044921875
2015-11-27,1900.0255126953125
2015-11-30,1915.992431640625
2015-12-01,1923.975341796875
2015-12-02,1944.931640625
2015-12-03,1909.0067138671875
2015-12-04,1903.01953125
2015-12-07,1912.99853515625
2015-12-08,1877.0736083984375
2015-12-09,1868.09228515625
2015-12-10,1856.1175537109375
2015-12-11,1827.17822265625
2015-12-14,1801.232421875
2015-12-15,1841.1485595703125
2015-12-16,1843.1446533203125
2015-12-17,1849.1319580078125
2015-12-18,1837.1571044921875
2015-12-21,1821.190673828125
2015-12-22,1823.186767578125
2015-12-23,1858.113525390625
2015-12-24,1866.0966796875
2015-12-29,1896.0338134765625
2015-12-30,1892.04248046875
2015-12-31,1881.0653076171875
2016-01-04,1837.1571044921875
2016-01-05,1878.07177734375
2016-01-06,1853.123779296875
2016-01-07,1819.1947021484375
2016-01-08,1828.176025390625
2016-01-11,1826.1802978515625
2016-01-12,1844.142822265625
2016-01-13,1834.1632080078125
2016-01-14,1808.2174072265625
2016-01-15,1775.2867431640625
2016-01-18,1756.3260498046875
2016-01-19,1768.3009033203125
2016-01-20,1731.37841796875
2016-01-21,1756.3260498046875
2016-01-22,1796.24267578125
2016-01-25,1799.236572265625
2016-01-26,1796.24267578125
2016-01-27,1815.2030029296875
2016-01-28,1799.236572265625
2016-01-29,1864.100830078125
2016-02-01,1864.100830078125
2016-02-02,1861.1072998046875
2016-02-03,1851.1280517578125
2016-02-04,1852.1258544921875
2016-02-05,1836.1593017578125
2016-02-08,1773.2908935546875
2016-02-09,1777.2823486328125
2016-02-10,1794.2469482421875
2016-02-11,1759.3201904296875
2016-02-12,1786.263671875
2016-02-15,1831.169677734375
2016-02-16,1848.1343994140625
2016-02-17,1899.0279541015625
2016-02-18,1901.0238037109375
2016-02-19,1900.0255126953125
2016-02-22,1904.0174560546875
2016-02-23,1899.0279541015625
2016-02-24,1908.00927734375
2016-02-25,1935.9505615234375
2016-02-26,1930.9609375
2016-02-29,1928.9652099609375
2016-03-01,1964.8902587890625
2016-03-02,1940.9400634765625
2016-03-03,1948.9234619140625
2016-03-04,1957.9046630859375
2016-03-07,1947.925537109375
2016-03-08,1950.9190673828125
2016-03-09,1958.9024658203125
2016-03-10,1936.948486328125
2016-03-11,1970.87744140625
2016-03-14,1985.8463134765625
2016-03-15,1974.868896484375
2016-03-16,1994.82763671875
2016-03-17,1992.83154296875
2016-03-18,1976.86474609375
2016-03-21,1971.8756103515625
2016-03-22,1977.8629150390625
2016-03-23,1990.835693359375
2016-03-24,1970.87744140625
2016-03-29,1996.823486328125
2016-03-30,2028.7564697265625
2016-03-31,2018.77734375
2016-04-01,2005.80419921875
2016-04-04,2010.7943115234375
2016-04-05,2020.7730712890625
2016-04-06,2044.72314453125
2016-04-07,2037.7376708984375
2016-04-08,2046.71875
2016-04-11,2038.735595703125
2016-04-12,2042.727294921875
2016-04-13,2072.664794921875
2016-04-14,2082.643798828125
2016-04-15,2057.695556640625
2016-04-18,2051.7080078125
2016-04-19,2089.629150390625
2016-04-20,2075.65771484375
2016-04-21,2073.66259765625
2016-04-22,2064.681396484375
2016-04-25,2062.685791015625
2016-04-26,2051.7080078125
2016-04-27,2054.702392578125
2016-04-28,2047.7166748046875
2016-04-29,2034.7437744140625
2016-05-03,2042.727294921875
2016-05-04,2040.7313232421875
2016-05-05,2052.706787109375
2016-05-06,2054.702392578125
2016-05-09,2063.683349609375
2016-05-10,2065.67919921875
2016-05-11,2077.654296875
2016-05-12,2078.65185546875
2016-05-13,2064.681396484375
2016-05-16,2067.675048828125
2016-05-17,2071.666259765625
2016-05-18,2072.664794921875
2016-05-19,1996.07763671875
2016-05-20,2020.03076171875
2016-05-23,2027.0169677734375
2016-05-24,2037.9951171875
2016-05-25,2005.059814453125
2016-05-26,2010.0504150390625
2016-05-27,2020.03076171875
2016-05-31,2039.9912109375
2016-06-01,2035.0010986328125
2016-06-02,2035.0010986328125
2016-06-03,2042.9853515625
2016-06-06,2058.954345703125
2016-06-07,2063.944091796875
2016-06-08,2069.93212890625
2016-06-09,2059.95166015625
2016-06-10,2036.9970703125
2016-06-13,2018.034423828125
2016-06-14,1973.122802734375
2016-06-15,1979.1109619140625
2016-06-16,1947.1739501953125
2016-06-17,1961.1463623046875
2016-06-20,2012.046142578125
2016-06-21,2014.0421142578125
2016-06-22,2027.0169677734375
2016-06-23,2060.9501953125
2016-06-24,2059.95166015625
2016-06-27,2035.9991455078125
2016-06-28,2113.84619140625
2016-06-29,2225.62646484375
2016-06-30,2297.485595703125
2016-07-01,2312.45556640625
2016-07-04,2302.475341796875
2016-07-05,2327.4267578125
2016-07-06,2314.45166015625
2016-07-07,2324.43212890625
2016-07-08,2334.412353515625
2016-07-11,2372.338134765625
2016-07-12,2325.43017578125
2016-07-13,2344.39306640625
2016-07-14,2321.438232421875
2016-07-15,2341.399169921875
2016-07-18,2338.405517578125
2016-07-19,2353.37548828125
2016-07-20,2356.369384765625
2016-07-21,2341.399169921875
2016-07-22,2347.387451171875
2016-07-25,2346.38916015625
2016-07-26,2348.38525390625
2016-07-27,2347.387451171875
2016-07-28,2353.37548828125
2016-07-29,2360.362060546875
2016-08-01,2369.343994140625
2016-08-02,2338.405517578125
2016-08-03,2311.458251953125
2016-08-04,2346.38916015625
2016-08-05,2347.387451171875
2016-08-08,2338.405517578125
2016-08-09,2372.338134765625
2016-08-10,2392.299072265625
2016-08-11,2423.238525390625
2016-08-12,2415.25341796875
2016-08-15,2431.22265625
2016-08-16,2406.271484375
2016-08-17,2384.314208984375
2016-08-18,2402.27978515625
2016-08-19,2399.285400390625
2016-08-22,2394.295166015625
2016-08-23,2403.27685546875
2016-08-24,2386.310546875
2016-08-25,2380.322509765625
2016-08-26,2415.25341796875
2016-08-30,2408.267578125
2016-08-31,2353.37548828125
2016-09-01,2331.418701171875
2016-09-02,2392.299072265625
