Date,EXR
2015-08-03,51.67332077026367
2015-08-04,51.59693908691406
2015-08-05,51.86079025268555
2015-08-06,52.31211471557617
2015-08-07,52.56208038330078
2015-08-10,52.284339904785156
2015-08-11,52.846744537353516
2015-08-12,53.25642013549805
2015-08-13,53.6382942199707
2015-08-14,54.47153854370117
2015-08-17,54.645103454589844
2015-08-18,54.527061462402344
2015-08-19,54.47153854370117
2015-08-20,54.075740814208984
2015-08-21,53.13839340209961
2015-08-24,50.14573287963867
2015-08-25,48.6251220703125
2015-08-26,50.06936264038086
2015-08-27,51.27058410644531
2015-08-28,51.471954345703125
2015-08-31,51.020626068115234
2015-09-01,50.33320617675781
2015-09-02,51.083106994628906
2015-09-03,50.89563751220703
2015-09-04,49.59027099609375
2015-09-08,50.742881774902344
2015-09-09,49.923561096191406
2015-09-10,49.97214889526367
2015-09-11,51.085289001464844
2015-09-14,51.14129638671875
2015-09-15,52.38044357299805
2015-09-16,51.827392578125
2015-09-17,52.68850326538086
2015-09-18,52.84251403808594
2015-09-21,53.626590728759766
2015-09-22,52.94050598144531
2015-09-23,53.451576232910156
2015-09-24,52.93351364135742
2015-09-25,53.39558410644531
2015-09-28,52.83550262451172
2015-09-29,53.633609771728516
2015-09-30,54.018653869628906
2015-10-01,53.49358367919922
2015-10-02,53.81563186645508
2015-10-05,54.76774978637695
2015-10-06,53.71062469482422
2015-10-07,53.40958786010742
2015-10-08,54.15166473388672
2015-10-09,53.97665786743164
2015-10-12,54.65574264526367
2015-10-13,53.92763900756836
2015-10-14,53.26255416870117
2015-10-15,54.074649810791016
2015-10-16,54.123661041259766
2015-10-19,55.68486785888672
2015-10-20,56.496952056884766
2015-10-21,56.55995178222656
2015-10-22,56.97300338745117
2015-10-23,56.55297088623047
2015-10-26,56.51797103881836
2015-10-27,56.95201873779297
2015-10-28,56.531978607177734
2015-10-29,56.57396697998047
2015-10-30,55.47483444213867
2015-11-02,56.3359489440918
2015-11-03,55.41181945800781
2015-11-04,55.41181945800781
2015-11-05,55.3978271484375
2015-11-06,54.263694763183594
2015-11-09,53.388572692871094
2015-11-10,54.08865737915039
2015-11-11,54.74675750732422
2015-11-12,55.36282730102539
2015-11-13,55.215816497802734
2015-11-16,55.56585693359375
2015-11-17,56.930999755859375
2015-11-18,56.65098571777344
2015-11-19,56.68598556518555
2015-11-20,58.065147399902344
2015-11-23,57.953147888183594
2015-11-24,57.708106994628906
2015-11-25,58.41518783569336
2015-11-27,58.75822067260742
2015-11-30,58.63224411010742
2015-12-01,60.00440216064453
2015-12-02,59.556339263916016
2015-12-03,59.059288024902344
2015-12-04,60.06039047241211
2015-12-07,60.38243865966797
2015-12-08,60.592464447021484
2015-12-09,59.94137191772461
2015-12-10,59.45133590698242
2015-12-11,60.114013671875
2015-12-14,60.7696418762207
2015-12-15,61.3336181640625
2015-12-16,62.51799774169922
2015-12-17,62.30651092529297
2015-12-18,61.79893112182617
2015-12-21,62.80705261230469
2015-12-22,62.76475524902344
2015-12-23,62.18667984008789
2015-12-24,62.20075988769531
2015-12-28,62.7859001159668
2015-12-29,63.60368728637695
2015-12-30,63.06788635253906
2015-12-31,62.18667984008789
2016-01-04,61.911705017089844
2016-01-05,63.73057556152344
2016-01-06,64.25931549072266
2016-01-07,63.575462341308594
2016-01-08,63.3851432800293
2016-01-11,64.0196304321289
2016-01-12,63.808135986328125
2016-01-13,63.131343841552734
2016-01-14,61.48874282836914
2016-01-15,60.6497802734375
2016-01-19,62.39111328125
2016-01-20,59.81790542602539
2016-01-21,59.72629165649414
2016-01-22,61.58037567138672
2016-01-25,61.75662612915039
2016-01-26,63.772884368896484
2016-01-27,62.56031799316406
2016-01-28,62.9832878112793
2016-01-29,63.93500900268555
2016-02-01,63.08905029296875
2016-02-02,64.22406768798828
2016-02-03,62.29243469238281
2016-02-04,60.69915008544922
2016-02-05,57.60427474975586
2016-02-08,55.28486633300781
2016-02-09,55.891136169433594
2016-02-10,56.30004119873047
2016-02-11,57.01913833618164
2016-02-12,57.3786735534668
2016-02-16,58.49959945678711
2016-02-17,59.87431335449219
2016-02-18,59.606422424316406
2016-02-19,60.7696418762207
2016-02-22,60.62158966064453
2016-02-23,60.55815887451172
2016-02-24,57.928565979003906
2016-02-25,59.5993766784668
2016-02-26,58.591251373291016
2016-02-29,57.91446304321289
2016-03-01,59.38787841796875
2016-03-02,60.83308792114258
2016-03-03,59.803810119628906
2016-03-04,59.204593658447266
2016-03-07,58.936702728271484
2016-03-08,58.830928802490234
2016-03-09,59.88840103149414
2016-03-10,60.036476135253906
2016-03-11,61.81831359863281
2016-03-14,61.9603157043457
2016-03-15,62.64891052246094
2016-03-16,63.86993408203125
2016-03-17,64.79280853271484
2016-03-18,63.61437225341797
2016-03-21,62.833473205566406
2016-03-22,62.9257698059082
2016-03-23,63.4439811706543
2016-03-24,63.948020935058594
2016-03-28,64.69341278076172
2016-03-29,66.00677490234375
2016-03-30,65.67308044433594
2016-03-31,66.34749603271484
2016-04-01,66.38300323486328
2016-04-04,66.36878967285156
2016-04-05,65.7582778930664
2016-04-06,66.3616943359375
2016-04-07,65.80796813964844
2016-04-08,66.43267059326172
2016-04-11,65.27552795410156
2016-04-12,65.40331268310547
2016-04-13,64.948974609375
2016-04-14,63.365909576416016
2016-04-15,64.0261001586914
2016-04-18,64.28877258300781
2016-04-19,62.506919860839844
2016-04-20,62.13778305053711
2016-04-21,60.61856460571289
2016-04-22,61.05160903930664
2016-04-25,61.37107849121094
2016-04-26,61.91060256958008
2016-04-27,61.072898864746094
