Date,PFIZER.NS
2015-08-21,2111.86279296875
2015-08-24,2023.7615966796875
2015-08-25,2065.929443359375
2015-08-26,2051.3779296875
2015-08-27,2126.926025390625
2015-08-28,2147.1962890625
2015-08-31,2194.710205078125
2015-09-01,2183.134033203125
2015-09-02,2150.031982421875
2015-09-03,2175.973876953125
2015-09-04,2151.752197265625
2015-09-07,2080.109375
2015-09-08,2061.884521484375
2015-09-09,2145.894287109375
2015-09-10,2105.772216796875
2015-09-11,2135.573486328125
2015-09-14,2153.65869140625
2015-09-15,2124.6015625
2015-09-16,2120.092041015625
2015-09-18,2387.322998046875
2015-09-21,2394.06396484375
2015-09-22,2447.343017578125
2015-09-23,2393.087890625
2015-09-24,2392.66943359375
2015-09-28,2350.9208984375
2015-09-29,2294.47998046875
2015-09-30,2255.0556640625
2015-10-01,2286.576904296875
2015-10-05,2296.990966796875
2015-10-06,2345.248779296875
2015-10-07,2328.651611328125
2015-10-08,2278.301513671875
2015-10-09,2277.557373046875
2015-10-12,2261.796875
2015-10-13,2221.21044921875
2015-10-14,2221.349853515625
2015-10-15,2214.28271484375
2015-10-16,2269.7001953125
2015-10-19,2320.5615234375
2015-10-20,2361.381591796875
2015-10-21,2367.145751953125
2015-10-23,2338.926025390625
2015-10-26,2365.937255859375
2015-10-27,2332.882080078125
2015-10-28,2326.60595703125
2015-10-29,2339.716552734375
2015-10-30,2368.35498046875
2015-11-02,2377.93212890625
2015-11-03,2386.811767578125
2015-11-04,2366.727783203125
2015-11-05,2343.7607421875
2015-11-06,2296.29345703125
2015-11-09,2271.513427734375
2015-11-10,2274.070556640625
2015-11-13,2266.771728515625
2015-11-16,2243.43310546875
2015-11-17,2229.7177734375
2015-11-18,2222.37255859375
2015-11-19,2257.33349609375
2015-11-20,2233.158203125
2015-11-23,2271.001953125
2015-11-24,2326.69873046875
2015-11-26,2336.41552734375
2015-11-27,2305.684326171875
2015-11-30,2282.7177734375
2015-12-01,2300.245361328125
2015-12-02,2313.3095703125
2015-12-03,2282.904296875
2015-12-04,2341.94775390625
2015-12-07,2302.476806640625
2015-12-08,2294.759033203125
2015-12-09,2246.03662109375
2015-12-10,2246.0830078125
2015-12-11,2236.4130859375
2015-12-14,2220.00146484375
2015-12-15,2207.96044921875
2015-12-16,2202.474365234375
2015-12-17,2205.449462890625
2015-12-18,2210.42431640625
2015-12-21,2251.289794921875
2015-12-22,2230.554443359375
2015-12-23,2222.046875
2015-12-24,2197.82470703125
2015-12-28,2197.220947265625
2015-12-29,2188.1083984375
2015-12-30,2196.802734375
2015-12-31,2193.222900390625
2016-01-01,2216.375244140625
2016-01-04,2201.31201171875
2016-01-05,2202.0556640625
2016-01-06,2194.663818359375
2016-01-07,2150.868896484375
2016-01-08,2198.47607421875
2016-01-11,2173.184814453125
2016-01-12,2167.373046875
2016-01-13,2145.290283203125
2016-01-14,2138.40966796875
2016-01-15,2104.23828125
2016-01-18,2023.15771484375
2016-01-19,2059.234619140625
2016-01-20,2081.271728515625
2016-01-21,2100.98388671875
2016-01-22,2091.12744140625
2016-01-25,2066.859619140625
2016-01-27,2045.7056884765625
2016-01-28,2046.35693359375
2016-01-29,2079.3193359375
2016-02-01,2095.312255859375
2016-02-02,2083.2705078125
2016-02-03,2077.180419921875
2016-02-04,2078.203369140625
2016-02-05,2079.505126953125
2016-02-08,2052.679443359375
2016-02-09,2038.7322998046875
2016-02-10,2003.631591796875
2016-02-11,1918.645263671875
2016-02-12,1855.184814453125
2016-02-15,1863.5069580078125
2016-02-16,1848.536865234375
2016-02-17,1835.2401123046875
2016-02-18,1850.954345703125
2016-02-19,1837.192626953125
2016-02-22,1827.708740234375
2016-02-23,1788.33056640625
2016-02-24,1755.5078125
2016-02-25,1708.5982666015625
2016-02-26,1674.380859375
2016-02-29,1711.20166015625
2016-03-01,1726.078857421875
2016-03-02,1763.4112548828125
2016-03-03,1790.05078125
2016-03-04,1798.14013671875
2016-03-08,1794.374267578125
2016-03-09,1793.4910888671875
2016-03-10,1793.4910888671875
2016-03-11,1792.793701171875
2016-03-14,1631.562255859375
2016-03-15,1585.5357666015625
2016-03-16,1569.12451171875
2016-03-17,1544.437744140625
2016-03-18,1511.0572509765625
2016-03-21,1545.0885009765625
2016-03-22,1560.523681640625
2016-03-23,1593.997314453125
2016-03-28,1615.8016357421875
2016-03-29,1664.2454833984375
2016-03-30,1668.5225830078125
2016-03-31,1667.4998779296875
2016-04-01,1650.5770263671875
2016-04-04,1625.5181884765625
2016-04-05,1600.2735595703125
2016-04-06,1617.568359375
2016-04-07,1604.50439453125
2016-04-08,1583.9085693359375
2016-04-11,1601.389404296875
2016-04-12,1607.38671875
2016-04-13,1615.5225830078125
2016-04-18,1618.1728515625
2016-04-20,1618.68408203125
2016-04-21,1633.00341796875
2016-04-22,1636.8155517578125
2016-04-25,1644.4403076171875
2016-04-26,1637.6524658203125
2016-04-27,1632.1201171875
2016-04-28,1640.5816650390625
2016-04-29,1616.5455322265625
2016-05-02,1633.979736328125
2016-05-03,1636.3505859375
2016-05-04,1640.5816650390625
2016-05-05,1630.2139892578125
2016-05-06,1663.2694091796875
2016-05-09,1666.47705078125
2016-05-10,1658.1085205078125
2016-05-11,1651.2747802734375
2016-05-12,1635.6534423828125
2016-05-13,1653.69189453125
2016-05-16,1662.3857421875
2016-05-17,1670.568115234375
2016-05-18,1668.4761962890625
2016-05-19,1647.4622802734375
2016-05-20,1639.8375244140625
2016-05-23,1645.555908203125
2016-05-24,1683.4464111328125
2016-05-25,1695.8131103515625
