Date,MRK
2015-08-03,41.41379165649414
2015-08-04,41.16831970214844
2015-08-05,41.4488525390625
2015-08-06,40.97896194458008
2015-08-07,40.65635299682617
2015-08-10,40.964935302734375
2015-08-11,40.509063720703125
2015-08-12,40.8597297668457
2015-08-13,41.36469650268555
2015-08-14,41.504966735839844
2015-08-17,41.876678466796875
2015-08-18,41.84160232543945
2015-08-19,41.84160232543945
2015-08-20,39.940982818603516
2015-08-21,39.1134147644043
2015-08-24,37.86504364013672
2015-08-25,35.88727951049805
2015-08-26,38.16661071777344
2015-08-27,38.53832244873047
2015-08-28,38.8328742980957
2015-08-31,37.7668571472168
2015-09-01,36.84109878540039
2015-09-02,37.15668869018555
2015-09-03,36.92524337768555
2015-09-04,36.18184280395508
2015-09-08,36.953304290771484
2015-09-09,36.4202880859375
2015-09-10,36.9743537902832
2015-09-11,36.84702682495117
2015-09-14,37.02385711669922
2015-09-15,37.879783630371094
2015-09-16,38.10614776611328
2015-09-17,38.16980743408203
2015-09-18,36.87531280517578
2015-09-21,36.06183624267578
2015-09-22,35.892059326171875
2015-09-23,36.09720230102539
2015-09-24,35.78595733642578
2015-09-25,35.085670471191406
2015-09-28,34.25096130371094
2015-09-29,34.413665771484375
2015-09-30,34.937110900878906
2015-10-01,34.922969818115234
2015-10-02,35.46763229370117
2015-10-05,36.238685607910156
2015-10-06,35.227134704589844
2015-10-07,36.04060363769531
2015-10-08,36.09012222290039
2015-10-09,36.04060363769531
2015-10-12,35.870853424072266
2015-10-13,34.99369430541992
2015-10-14,35.04322052001953
2015-10-15,35.87792205810547
2015-10-16,36.415523529052734
2015-10-19,36.35893630981445
2015-10-20,35.64449691772461
2015-10-21,35.78595733642578
2015-10-22,36.79043197631836
2015-10-23,37.40583801269531
2015-10-26,37.42706298828125
2015-10-27,37.82319259643555
2015-10-28,38.9761962890625
2015-10-29,38.813507080078125
2015-10-30,38.66496658325195
2015-11-02,38.98328399658203
2015-11-03,38.98328399658203
2015-11-04,39.280372619628906
2015-11-05,38.94083786010742
2015-11-06,38.629600524902344
2015-11-09,38.36785888671875
2015-11-10,38.502262115478516
2015-11-11,38.000030517578125
2015-11-12,37.51195526123047
2015-11-13,37.51195526123047
2015-11-16,37.98588562011719
2015-11-17,37.992950439453125
2015-11-18,38.36079406738281
2015-11-19,38.396156311035156
2015-11-20,38.26884078979492
2015-11-23,38.205169677734375
2015-11-24,37.830265045166016
2015-11-25,38.000030517578125
2015-11-27,38.16980743408203
2015-11-30,37.497802734375
2015-12-01,38.601295471191406
2015-12-02,38.07077407836914
