Date,AVY
2015-08-03,50.37107467651367
2015-08-04,50.17970657348633
2015-08-05,51.0616569519043
2015-08-06,51.47766876220703
2015-08-07,52.45115280151367
2015-08-10,53.790706634521484
2015-08-11,53.49118423461914
2015-08-12,52.98365020751953
2015-08-13,52.99195861816406
2015-08-14,53.22493362426758
2015-08-17,53.6575813293457
2015-08-18,53.066829681396484
2015-08-19,52.85884094238281
2015-08-20,51.585838317871094
2015-08-21,50.12978744506836
2015-08-24,47.61704635620117
2015-08-25,46.518775939941406
2015-08-26,48.27435302734375
2015-08-27,49.181270599365234
2015-08-28,49.56400680541992
2015-08-31,48.626312255859375
2015-09-01,47.13603973388672
2015-09-02,48.123966217041016
2015-09-03,48.5593147277832
2015-09-04,48.090476989746094
2015-09-08,49.4886589050293
2015-09-09,49.0030517578125
2015-09-10,49.30446243286133
2015-09-11,49.153751373291016
2015-09-14,49.128639221191406
2015-09-15,49.589115142822266
2015-09-16,50.409610748291016
2015-09-17,50.47658920288086
2015-09-18,49.5305061340332
2015-09-21,49.170501708984375
2015-09-22,47.96488952636719
2015-09-23,47.939781188964844
2015-09-24,47.571407318115234
2015-09-25,47.49604415893555
2015-09-28,46.60857391357422
2015-09-29,46.54160690307617
2015-09-30,47.36207580566406
2015-10-01,48.68490982055664
2015-10-02,49.798423767089844
2015-10-05,49.68122100830078
2015-10-06,49.07004165649414
2015-10-07,49.22073745727539
2015-10-08,49.52213668823242
2015-10-09,49.90726089477539
2015-10-12,49.80680465698242
2015-10-13,49.60586166381836
2015-10-14,49.08677673339844
2015-10-15,49.68122100830078
2015-10-16,50.124942779541016
2015-10-19,50.38447952270508
2015-10-20,50.87846755981445
2015-10-21,50.57704544067383
2015-10-22,52.619895935058594
2015-10-23,53.507362365722656
2015-10-26,53.23107147216797
2015-10-27,52.87105941772461
2015-10-28,53.80038833618164
2015-10-29,54.57063674926758
2015-10-30,54.39482879638672
2015-11-02,54.997623443603516
2015-11-03,54.51201629638672
2015-11-04,53.96782684326172
2015-11-05,54.27760696411133
2015-11-06,54.495277404785156
2015-11-09,54.71295166015625
2015-11-10,53.591068267822266
2015-11-11,54.620872497558594
2015-11-12,52.64501190185547
2015-11-13,52.218017578125
2015-11-16,53.03014373779297
2015-11-17,53.23107147216797
2015-11-18,54.73807907104492
2015-11-19,55.257164001464844
2015-11-20,55.215301513671875
2015-11-23,55.014366149902344
2015-11-24,55.34925842285156
2015-11-25,55.399497985839844
2015-11-27,55.399497985839844
2015-11-30,55.534202575683594
2015-12-01,55.719417572021484
2015-12-02,54.986942291259766
2015-12-03,53.88399887084961
2015-12-04,55.197425842285156
2015-12-07,54.801700592041016
2015-12-08,54.0776481628418
2015-12-09,53.56405258178711
2015-12-10,53.63141632080078
2015-12-11,52.991546630859375
2015-12-14,52.89052200317383
2015-12-15,53.294647216796875
2015-12-16,54.35548400878906
2015-12-17,53.10100173950195
2015-12-18,52.250640869140625
2015-12-21,52.9578742980957
2015-12-22,53.10100173950195
2015-12-23,53.83348083496094
2015-12-24,53.93451690673828
2015-12-28,53.87557601928711
2015-12-29,53.53881072998047
2015-12-30,53.328330993652344
2015-12-31,52.75580596923828
2016-01-04,51.52658462524414
2016-01-05,51.92228317260742
2016-01-06,51.31608581542969
2016-01-07,49.77533721923828
2016-01-08,50.2552490234375
2016-01-11,50.2720947265625
2016-01-12,50.432064056396484
2016-01-13,49.39647674560547
2016-01-14,50.45730972290039
2016-01-15,49.62379837036133
2016-01-19,49.64906692504883
2016-01-20,49.69114303588867
2016-01-21,49.58169174194336
2016-01-22,51.13928985595703
2016-01-25,48.967098236083984
2016-01-26,50.18788528442383
2016-01-27,50.26366424560547
2016-01-28,49.968994140625
2016-01-29,51.26557540893555
2016-02-01,51.38344955444336
2016-02-02,50.39836502075195
2016-02-03,53.66510009765625
2016-02-04,54.195518493652344
2016-02-05,53.21045684814453
2016-02-08,51.63603591918945
2016-02-09,52.9494514465332
2016-02-10,53.07573699951172
2016-02-11,52.43585968017578
2016-02-12,53.86716842651367
2016-02-16,54.582820892333984
2016-02-17,54.052391052246094
2016-02-18,54.035552978515625
2016-02-19,54.3807373046875
2016-02-22,54.7512092590332
2016-02-23,53.87557601928711
2016-02-24,54.54072189331055
2016-02-25,55.76994323730469
2016-02-26,55.94675827026367
2016-02-29,55.13396453857422
2016-03-01,56.547855377197266
2016-03-02,57.10664749145508
2016-03-03,57.7755241394043
2016-03-04,57.45381164550781
2016-03-07,57.52154541015625
2016-03-08,57.72471618652344
2016-03-09,58.50362777709961
2016-03-10,58.95237350463867
2016-03-11,59.13862228393555
2016-03-14,58.61371994018555
2016-03-15,58.427433013916016
2016-03-16,58.58830261230469
2016-03-17,59.09630584716797
2016-03-18,59.65509033203125
2016-03-21,60.086875915527344
2016-03-22,60.48482131958008
2016-03-23,60.408599853515625
2016-03-24,60.103816986083984
2016-03-28,60.34086227416992
2016-03-29,61.32297897338867
2016-03-30,61.297584533691406
2016-03-31,61.05205154418945
2016-04-01,61.68705368041992
2016-04-04,61.65317916870117
2016-04-05,61.00973129272461
2016-04-06,61.8224983215332
2016-04-07,60.594879150390625
2016-04-08,60.72187423706055
2016-04-11,60.417076110839844
2016-04-12,60.62873077392578
2016-04-13,61.22139358520508
2016-04-14,60.967411041259766
2016-04-15,61.45844268798828
2016-04-18,62.13578414916992
2016-04-19,62.13578414916992
2016-04-20,61.8224983215332
2016-04-21,61.64470291137695
2016-04-22,62.24583053588867
2016-04-25,61.627784729003906
2016-04-26,61.585445404052734
2016-04-27,63.050148010253906
