Date,BAYERCROP.NS
2015-08-21,3519.962158203125
2015-08-24,3448.09814453125
2015-08-25,3432.161865234375
2015-08-26,3403.028076171875
2015-08-27,3470.080810546875
2015-08-28,3434.987548828125
2015-08-31,3404.0869140625
2015-09-01,3403.42431640625
2015-09-02,3423.4658203125
2015-09-03,3395.001220703125
2015-09-04,3387.375
2015-09-07,3386.5771484375
2015-09-08,3300.606689453125
2015-09-09,3277.152099609375
2015-09-10,3325.170166015625
2015-09-11,3330.268798828125
2015-09-14,3316.967041015625
2015-09-15,3296.394287109375
2015-09-16,3304.331787109375
2015-09-18,3323.972412109375
2015-09-21,3349.06787109375
2015-09-22,3335.94384765625
2015-09-23,3289.6552734375
2015-09-24,3301.138916015625
2015-09-28,3338.16064453125
2015-09-29,3280.7880859375
2015-09-30,3237.382080078125
2015-10-01,3235.608154296875
2015-10-05,3251.968994140625
2015-10-06,3231.57373046875
2015-10-07,3255.028076171875
2015-10-08,3252.456298828125
2015-10-09,3343.7470703125
2015-10-12,3348.66845703125
2015-10-13,3369.064208984375
2015-10-14,3422.224609375
2015-10-15,3391.54296875
2015-10-16,3351.9052734375
2015-10-19,3341.441162109375
2015-10-20,3334.037109375
2015-10-21,3260.17138671875
2015-10-23,3156.732177734375
2015-10-26,3103.438720703125
2015-10-27,3101.39892578125
2015-10-28,3102.9951171875
2015-10-29,3098.69482421875
2015-10-30,3096.743896484375
2015-11-02,3053.692138671875
2015-11-03,3069.697998046875
2015-11-04,3144.628173828125
2015-11-05,3064.5107421875
2015-11-06,3034.627197265625
2015-11-09,3021.192626953125
2015-11-10,2972.732421875
2015-11-13,2966.790283203125
2015-11-16,2964.529296875
2015-11-17,2977.919921875
2015-11-18,2971.35791015625
2015-11-19,2989.27001953125
2015-11-20,2987.8955078125
2015-11-23,2951.449951171875
2015-11-24,2965.327880859375
2015-11-26,2961.603515625
2015-11-27,3023.01025390625
2015-11-30,2972.377197265625
2015-12-01,3027.843505859375
2015-12-02,3064.022705078125
2015-12-03,3026.646484375
2015-12-04,3199.827880859375
2015-12-07,3157.0869140625
2015-12-08,3088.141845703125
2015-12-09,3024.650634765625
2015-12-10,3002.438232421875
2015-12-11,2996.585693359375
2015-12-14,2952.292724609375
2015-12-15,2948.923095703125
2015-12-16,3030.326416015625
2015-12-17,3077.634033203125
2015-12-18,2984.48095703125
2015-12-21,2991.84130859375
2015-12-22,2921.61083984375
2015-12-23,2959.963134765625
2015-12-24,2988.427001953125
2015-12-28,2957.9677734375
2015-12-29,2968.25439453125
2015-12-30,3089.516845703125
2015-12-31,3058.74609375
2016-01-01,3071.559814453125
2016-01-04,3020.749267578125
2016-01-05,2982.9296875
2016-01-06,2943.336181640625
2016-01-07,2924.581787109375
2016-01-08,2976.9443359375
2016-01-11,2997.73876953125
2016-01-12,3001.90576171875
2016-01-13,3040.169189453125
2016-01-14,3039.947509765625
2016-01-15,3033.91796875
2016-01-18,2954.597900390625
2016-01-19,3011.92626953125
2016-01-20,2970.337890625
2016-01-21,3009.487548828125
2016-01-22,3000.443115234375
2016-01-25,3002.571044921875
2016-01-27,3013.212158203125
2016-01-28,2949.05615234375
2016-01-29,2998.669189453125
2016-02-01,3006.605712890625
2016-02-02,3079.05322265625
2016-02-03,2975.791259765625
2016-02-04,2980.845703125
2016-02-05,3048.85888671875
2016-02-08,3109.025390625
2016-02-09,3015.296142578125
2016-02-10,2960.893798828125
2016-02-11,2901.348876953125
2016-02-12,2809.171630859375
2016-02-15,2931.054931640625
2016-02-16,2935.311279296875
2016-02-17,2933.71533203125
2016-02-18,3002.74853515625
2016-02-19,3014.276123046875
2016-02-22,3040.568115234375
2016-02-23,3005.6748046875
2016-02-24,3007.5810546875
2016-02-25,2975.879638671875
2016-02-26,3040.523681640625
2016-02-29,2987.3193359375
2016-03-01,2941.87353515625
2016-03-02,2956.016845703125
2016-03-03,3019.99609375
2016-03-04,3107.91650390625
2016-03-08,3181.87109375
2016-03-09,3159.791748046875
2016-03-10,3104.6796875
2016-03-11,3141.479736328125
2016-03-14,3145.0712890625
2016-03-15,3195.57177734375
2016-03-16,3154.027587890625
2016-03-17,3153.761474609375
2016-03-18,3231.8837890625
2016-03-21,3303.843505859375
2016-03-22,3366.13720703125
2016-03-23,3401.474365234375
2016-03-28,3330.047119140625
2016-03-29,3382.498046875
2016-03-30,3316.125
2016-03-31,3363.920654296875
2016-04-01,3355.540771484375
2016-04-04,3261.41259765625
2016-04-05,3243.500244140625
2016-04-06,3315.81494140625
2016-04-07,3310.13916015625
2016-04-08,3296.084716796875
2016-04-11,3321.00244140625
2016-04-12,3335.81103515625
2016-04-13,3402.31689453125
2016-04-18,3317.322021484375
2016-04-20,3297.414794921875
2016-04-21,3311.20361328125
2016-04-22,3290.852783203125
2016-04-25,3257.732666015625
2016-04-26,3377.44384765625
2016-04-27,3453.482177734375
2016-04-28,3503.006591796875
2016-04-29,3543.708740234375
2016-05-02,3483.010986328125
2016-05-03,3443.55029296875
2016-05-04,3453.6591796875
2016-05-05,3474.0107421875
2016-05-06,3425.99267578125
2016-05-09,3450.910400390625
2016-05-10,3445.900634765625
2016-05-11,3510.500244140625
2016-05-12,3604.184814453125
2016-05-13,3618.284423828125
2016-05-16,3502.608154296875
2016-05-17,3502.82958984375
2016-05-18,3535.284423828125
2016-05-19,3537.368408203125
2016-05-20,3467.182373046875
2016-05-23,3468.201904296875
2016-05-24,3418.18994140625
2016-05-25,3421.426025390625
2016-05-26,3426.79150390625
2016-05-27,3462.8818359375
2016-05-30,3534.08740234375
