Date,PRU.L
2015-08-24,1123.8194580078125
2015-08-25,1166.3758544921875
2015-08-26,1151.9149169921875
2015-08-27,1171.333740234375
2015-08-28,1171.7471923828125
2015-09-01,1130.01708984375
2015-09-02,1127.537841796875
2015-09-03,1153.5677490234375
2015-09-04,1113.903564453125
2015-09-07,1125.0589599609375
2015-09-08,1144.890869140625
2015-09-09,1180.01025390625
2015-09-10,1170.09423828125
2015-09-11,1155.22021484375
2015-09-14,1144.064697265625
2015-09-15,1172.573486328125
2015-09-16,1179.5972900390625
2015-09-17,1163.8970947265625
2015-09-18,1131.25634765625
2015-09-21,1140.34619140625
2015-09-22,1116.795654296875
2015-09-23,1129.190673828125
2015-09-24,1110.184814453125
2015-09-25,1150.262451171875
2015-09-28,1120.92724609375
2015-09-29,1099.4423828125
2015-09-30,1151.501708984375
2015-10-01,1152.327880859375
2015-10-02,1174.6390380859375
2015-10-05,1225.8721923828125
2015-10-06,1230.8302001953125
2015-10-07,1255.2071533203125
2015-10-08,1254.793701171875
2015-10-09,1251.488525390625
2015-10-12,1251.9019775390625
2015-10-13,1236.614501953125
2015-10-14,1206.8665771484375
2015-10-15,1228.35107421875
2015-10-16,1258.5125732421875
2015-10-19,1256.85986328125
2015-10-20,1247.3568115234375
2015-10-21,1239.0938720703125
2015-10-22,1244.4647216796875
2015-10-23,1268.4283447265625
2015-10-26,1265.5367431640625
2015-10-27,1251.488525390625
2015-10-28,1266.7757568359375
2015-10-29,1255.620361328125
2015-10-30,1255.2071533203125
2015-11-02,1263.0574951171875
2015-11-03,1278.7576904296875
2015-11-04,1295.69775390625
2015-11-05,1272.9732666015625
2015-11-06,1276.692138671875
2015-11-09,1280.8238525390625
2015-11-10,1230.8302001953125
2015-11-11,1246.5306396484375
2015-11-12,1232.06982421875
2015-11-13,1213.0638427734375
2015-11-16,1214.7164306640625
2015-11-17,1250.662353515625
2015-11-18,1235.375
2015-11-19,1254.380615234375
2015-11-20,1269.6680908203125
2015-11-23,1253.14111328125
2015-11-24,1248.183349609375
2015-11-25,1273.386962890625
2015-11-26,1283.7156982421875
2015-11-27,1279.583984375
2015-11-30,1272.1470947265625
2015-12-01,1292.3922119140625
2015-12-02,1286.1944580078125
2015-12-03,1244.051513671875
2015-12-04,1244.051513671875
2015-12-07,1259.3387451171875
2015-12-08,1253.9677734375
2015-12-09,1254.380615234375
2015-12-10,1229.5908203125
2015-12-11,1213.890380859375
2015-12-14,1189.513671875
2015-12-15,1224.6328125
2015-12-16,1235.375
2015-12-17,1242.39892578125
2015-12-18,1230.417236328125
2015-12-21,1225.0457763671875
2015-12-22,1241.9859619140625
2015-12-23,1272.9732666015625
2015-12-24,1272.56005859375
2015-12-29,1289.91357421875
2015-12-30,1277.5184326171875
2015-12-31,1265.122802734375
2016-01-04,1204.3875732421875
2016-01-05,1219.6746826171875
2016-01-06,1183.315673828125
2016-01-07,1145.30419921875
2016-01-08,1137.041015625
2016-01-11,1126.7117919921875
2016-01-12,1132.9093017578125
2016-01-13,1143.6513671875
2016-01-14,1134.561767578125
2016-01-15,1104.8135986328125
2016-01-18,1112.6640625
2016-01-19,1150.67578125
2016-01-20,1091.5921630859375
2016-01-21,1091.5921630859375
2016-01-22,1094.8975830078125
2016-01-25,1074.6519775390625
2016-01-26,1089.9398193359375
2016-01-27,1102.7479248046875
2016-01-28,1091.5921630859375
2016-01-29,1130.01708984375
2016-02-01,1096.136962890625
2016-02-02,1006.0663452148438
2016-02-03,1020.9402465820312
2016-02-04,1043.251220703125
2016-02-05,1014.7428588867188
2016-02-08,959.7913208007812
2016-02-09,930.4564208984375
2016-02-10,971.3599853515625
2016-02-11,898.2291870117188
2016-02-12,956.4861450195312
2016-02-15,986.6473999023438
2016-02-16,977.970947265625
2016-02-17,1031.2694091796875
2016-02-18,1030.0301513671875
2016-02-19,1015.9822387695312
2016-02-22,1035.814453125
2016-02-23,1008.1321411132812
2016-02-24,980.8630981445312
2016-02-25,1018.8746337890625
2016-02-26,1029.616943359375
2016-02-29,1039.11962890625
2016-03-01,1080.023681640625
2016-03-02,1098.6160888671875
2016-03-03,1107.7060546875
2016-03-04,1112.6640625
2016-03-07,1096.136962890625
2016-03-08,1096.136962890625
2016-03-09,1127.951416015625
2016-03-10,1090.352783203125
2016-03-11,1122.579833984375
2016-03-14,1112.25048828125
2016-03-15,1088.69970703125
2016-03-16,1106.05322265625
2016-03-17,1119.687744140625
2016-03-18,1132.9093017578125
2016-03-21,1132.496337890625
2016-03-22,1120.100830078125
2016-03-23,1112.25048828125
2016-03-24,1054.2440185546875
2016-03-29,1069.5347900390625
2016-03-30,1076.147216796875
2016-03-31,1075.3209228515625
