Date,FGT.L
2015-08-24,535.3850708007812
2015-08-25,547.3601684570312
2015-08-26,539.3767700195312
2015-08-27,553.3478393554688
2015-08-28,557.3394775390625
2015-09-01,545.8634643554688
2015-09-02,546.3623046875
2015-09-03,558.337646484375
2015-09-04,541.87158203125
2015-09-07,548.3582153320312
2015-09-08,556.8405151367188
2015-09-09,564.3248901367188
2015-09-10,559.8341674804688
2015-09-11,558.337646484375
2015-09-14,556.3416748046875
2015-09-15,558.8365478515625
2015-09-16,565.3228759765625
2015-09-17,561.331298828125
2015-09-18,558.8365478515625
2015-09-21,560.3333740234375
2015-09-22,550.3538818359375
2015-09-23,555.343505859375
2015-09-24,549.3560180664062
2015-09-25,562.3290405273438
2015-09-28,554.3457641601562
2015-09-29,546.8613891601562
2015-09-30,555.343505859375
2015-10-01,565.8217163085938
2015-10-02,566.3206787109375
2015-10-05,577.7969360351562
2015-10-06,578.7947387695312
2015-10-07,576.7988891601562
2015-10-08,565.8864135742188
2015-10-09,566.8845825195312
2015-10-12,566.3853149414062
2015-10-13,565.8864135742188
2015-10-14,563.890380859375
2015-10-15,573.8707885742188
2015-10-16,572.3737182617188
2015-10-19,571.8746948242188
2015-10-20,577.3637084960938
2015-10-21,570.8765869140625
2015-10-22,575.367919921875
2015-10-23,584.84912109375
2015-10-26,580.8570556640625
2015-10-27,578.3619995117188
2015-10-28,582.3539428710938
2015-10-29,583.3521118164062
2015-10-30,577.8628540039062
2015-11-02,578.3619995117188
2015-11-03,580.3579711914062
2015-11-04,581.85498046875
2015-11-05,582.8530883789062
2015-11-06,587.3441772460938
2015-11-09,577.8628540039062
2015-11-10,575.367919921875
2015-11-11,578.3619995117188
2015-11-12,573.3717651367188
2015-11-13,566.3853149414062
2015-11-16,563.3912353515625
2015-11-17,573.3717651367188
2015-11-18,571.8746948242188
2015-11-19,577.8628540039062
2015-11-20,581.35595703125
2015-11-23,579.85888671875
2015-11-24,569.3795776367188
2015-11-25,577.8628540039062
2015-11-26,581.35595703125
2015-11-27,583.8511962890625
2015-11-30,584.3501586914062
2015-12-01,585.8472290039062
2015-12-02,589.8392944335938
2015-12-03,578.8609008789062
2015-12-04,578.3619995117188
2015-12-07,582.3539428710938
2015-12-08,578.8609008789062
2015-12-09,576.8646850585938
2015-12-10,568.8804321289062
2015-12-11,560.3970947265625
2015-12-14,552.911865234375
2015-12-15,569.8787231445312
2015-12-16,574.8687133789062
2015-12-17,576.8646850585938
2015-12-18,572.3737182617188
2015-12-21,572.3737182617188
2015-12-22,573.8707885742188
2015-12-23,585.8472290039062
2015-12-24,584.84912109375
2015-12-29,588.8412475585938
2015-12-30,590.3383178710938
2015-12-31,588.8412475585938
2016-01-04,572.3737182617188
2016-01-05,574.8687133789062
2016-01-06,569.3795776367188
2016-01-07,560.3970947265625
2016-01-08,557.403076171875
2016-01-11,559.3993530273438
2016-01-12,563.3912353515625
2016-01-13,566.8845825195312
2016-01-14,557.902099609375
2016-01-15,549.4188842773438
2016-01-18,542.931640625
2016-01-19,552.4129028320312
2016-01-20,531.9531860351562
2016-01-21,551.4149780273438
2016-01-22,561.894287109375
2016-01-25,557.902099609375
2016-01-26,563.890380859375
2016-01-27,572.3737182617188
2016-01-28,567.8825073242188
2016-01-29,583.3521118164062
2016-02-01,581.85498046875
2016-02-02,574.8687133789062
2016-02-03,563.3912353515625
2016-02-04,560.896240234375
2016-02-05,556.9041748046875
2016-02-08,541.93359375
2016-02-09,535.9453735351562
2016-02-10,538.9395141601562
2016-02-11,531.4544067382812
2016-02-12,537.4423217773438
2016-02-15,548.9198608398438
2016-02-16,544.4287109375
2016-02-17,568.3815307617188
2016-02-18,561.894287109375
2016-02-19,561.894287109375
2016-02-22,575.8668823242188
2016-02-23,574.8687133789062
2016-02-24,568.8804321289062
2016-02-25,578.8609008789062
2016-02-26,587.3441772460938
2016-02-29,585.8472290039062
2016-03-01,593.83154296875
2016-03-02,592.8333129882812
2016-03-03,595.8273315429688
2016-03-04,596.8255004882812
2016-03-07,591.3363037109375
2016-03-08,583.8511962890625
2016-03-09,587.8433227539062
2016-03-10,579.85888671875
2016-03-11,591.8353881835938
2016-03-14,593.3323364257812
2016-03-15,596.8255004882812
2016-03-16,601.8157348632812
2016-03-17,598.8216552734375
2016-03-18,589.8392944335938
2016-03-21,592.8333129882812
2016-03-22,593.3323364257812
2016-03-23,594.8294677734375
2016-03-24,590.8373413085938
2016-03-29,593.83154296875
2016-03-30,602.8137817382812
2016-03-31,603.3129272460938
2016-04-01,602.8137817382812
2016-04-04,604.8099975585938
2016-04-05,599.819580078125
2016-04-06,607.3049926757812
2016-04-07,595.3880615234375
2016-04-08,597.3843994140625
2016-04-11,595.8871459960938
2016-04-12,598.8817138671875
2016-04-13,605.86865234375
2016-04-14,605.36962890625
2016-04-15,604.8705444335938
2016-04-18,602.8743286132812
2016-04-19,609.3621215820312
2016-04-20,609.3621215820312
2016-04-21,599.8798217773438
2016-04-22,589.8984375
2016-04-25,591.3956909179688
2016-04-26,590.8964233398438
2016-04-27,593.8910522460938
2016-04-28,591.3956909179688
2016-04-29,584.9077758789062
2016-05-03,585.9059448242188
2016-05-04,579.9169921875
2016-05-05,580.915283203125
2016-05-06,581.9133911132812
2016-05-09,587.403076171875
2016-05-10,588.9003295898438
2016-05-11,591.3956909179688
2016-05-12,586.9039916992188
2016-05-13,587.9022216796875
2016-05-16,589.8984375
2016-05-17,589.3993530273438
2016-05-18,587.403076171875
2016-05-19,577.4216918945312
2016-05-20,582.412353515625
2016-05-23,586.9039916992188
2016-05-24,591.3956909179688
2016-05-25,595.8871459960938
2016-05-26,594.88916015625
2016-05-27,596.3864135742188
2016-05-31,596.8854370117188
2016-06-01,596.3864135742188
2016-06-02,595.3880615234375
2016-06-03,592.8927001953125
2016-06-06,599.3807983398438
2016-06-07,600.3789672851562
2016-06-08,596.8854370117188
2016-06-09,593.8910522460938
2016-06-10,584.9077758789062
2016-06-13,579.4180297851562
2016-06-14,565.9431762695312
2016-06-15,569.9358520507812
2016-06-16,562.9487915039062
2016-06-17,561.9506225585938
2016-06-20,581.9133911132812
2016-06-21,586.9039916992188
2016-06-22,593.8910522460938
2016-06-23,600.3789672851562
2016-06-24,585.4068603515625
2016-06-27,561.4515991210938
2016-06-28,579.9169921875
2016-06-29,593.8910522460938
2016-06-30,600.3789672851562
2016-07-01,613.8536987304688
2016-07-04,607.3659057617188
2016-07-05,605.86865234375
2016-07-06,608.8630981445312
2016-07-07,613.3546752929688
2016-07-08,618.3453979492188
2016-07-11,635.8126220703125
2016-07-12,632.3192749023438
2016-07-13,628.8258056640625
2016-07-14,630.8218994140625
2016-07-15,632.818359375
2016-07-18,636.311767578125
2016-07-19,638.30810546875
2016-07-20,640.8033447265625
2016-07-21,642.7996826171875
2016-07-22,643.2987670898438
2016-07-25,646.2931518554688
2016-07-26,647.7904052734375
2016-07-27,646.7922973632812
2016-07-28,650.2858276367188
2016-07-29,649.2875366210938
2016-08-01,646.7922973632812
