Date,ZFCVINDIA.NS
2015-08-21,7178.77392578125
2015-08-24,6569.06103515625
2015-08-25,6625.41748046875
2015-08-26,6443.8115234375
2015-08-27,6602.96337890625
2015-08-28,6609.181640625
2015-08-31,6742.7216796875
2015-09-01,6527.55712890625
2015-09-02,6420.517578125
2015-09-03,6665.34130859375
2015-09-04,6553.66357421875
2015-09-07,6405.26953125
2015-09-08,6369.83642578125
2015-09-09,6637.11376953125
2015-09-10,6887.95654296875
2015-09-11,6905.08203125
2015-09-14,6979.302734375
2015-09-15,6855.73193359375
2015-09-16,6861.6533203125
2015-09-18,6818.32421875
2015-09-21,6732.40625
2015-09-22,6735.0224609375
2015-09-23,6879.86328125
2015-09-24,6955.615234375
2015-09-28,6901.478515625
2015-09-29,6722.73486328125
2015-09-30,6784.4208984375
2015-10-01,6793.40380859375
2015-10-05,6756.83544921875
2015-10-06,6746.22509765625
2015-10-07,6794.390625
2015-10-08,7095.71826171875
2015-10-09,7223.4833984375
2015-10-12,7126.01953125
2015-10-13,7090.58544921875
2015-10-14,6966.12646484375
2015-10-15,6983.30126953125
2015-10-16,6919.3427734375
2015-10-19,7029.8857421875
2015-10-20,6998.10546875
2015-10-21,7101.39453125
2015-10-23,7072.177734375
2015-10-26,6993.41650390625
2015-10-27,6932.86474609375
2015-10-28,6824.34521484375
2015-10-29,6689.2265625
2015-10-30,6546.5068359375
2015-11-02,6416.37255859375
2015-11-03,6724.6103515625
2015-11-04,6661.09716796875
2015-11-05,6596.498046875
2015-11-06,6570.9853515625
2015-11-09,6472.53271484375
2015-11-10,6442.87451171875
2015-11-13,6448.00634765625
2015-11-16,6378.1279296875
2015-11-17,6341.60888671875
2015-11-18,6340.029296875
2015-11-19,6384.73974609375
2015-11-20,6585.64208984375
2015-11-23,6439.7646484375
2015-11-24,6201.40576171875
2015-11-26,6009.337890625
2015-11-27,6172.04296875
2015-11-30,6186.70068359375
2015-12-01,6179.79150390625
2015-12-02,6089.8271484375
2015-12-03,6015.1123046875
2015-12-04,5986.8837890625
2015-12-07,5969.611328125
2015-12-08,6061.94482421875
2015-12-09,5897.66064453125
2015-12-10,5840.11865234375
2015-12-11,5755.63330078125
2015-12-14,5610.8408203125
2015-12-15,5861.09326171875
2015-12-16,5836.763671875
2015-12-17,5963.24609375
2015-12-18,5888.57958984375
2015-12-21,5946.71435546875
2015-12-22,6105.22412109375
2015-12-23,6295.81201171875
2015-12-24,6256.1357421875
2015-12-28,6118.005859375
2015-12-29,6050.9892578125
2015-12-30,6051.63134765625
2015-12-31,6011.06494140625
2016-01-01,6102.412109375
2016-01-04,6022.02099609375
2016-01-05,5977.60595703125
2016-01-06,5915.22900390625
2016-01-07,5813.4208984375
2016-01-08,5774.33642578125
2016-01-11,5713.43896484375
2016-01-12,5724.197265625
2016-01-13,5612.96337890625
2016-01-14,5501.48291015625
2016-01-15,5357.97509765625
2016-01-18,5353.38525390625
2016-01-19,5407.2744140625
2016-01-20,5270.52734375
2016-01-21,5180.36572265625
2016-01-22,5298.26123046875
2016-01-25,5412.40673828125
2016-01-27,5399.625
2016-01-28,5260.16357421875
2016-01-29,5564.1572265625
2016-02-01,5672.33056640625
2016-02-02,5551.3251953125
2016-02-03,5460.423828125
2016-02-04,5479.86767578125
2016-02-05,5591.15087890625
2016-02-08,5525.86181640625
2016-02-09,5499.65673828125
2016-02-10,5589.126953125
2016-02-11,5232.13330078125
2016-02-12,5388.22607421875
2016-02-15,5593.56884765625
2016-02-16,5498.47216796875
2016-02-17,5533.06494140625
2016-02-18,5569.28955078125
2016-02-19,5476.46240234375
2016-02-22,5471.37939453125
2016-02-23,5466.29638671875
2016-02-24,5387.97900390625
2016-02-25,5239.63427734375
2016-02-26,5228.58056640625
2016-02-29,5230.50439453125
2016-03-01,5507.60302734375
2016-03-02,5459.04248046875
2016-03-03,5321.40625
2016-03-04,5316.12548828125
2016-03-08,5295.349609375
2016-03-09,5283.9990234375
2016-03-10,5487.7646484375
2016-03-11,5362.61328125
2016-03-14,5399.47705078125
2016-03-15,5337.34619140625
2016-03-16,5277.8310546875
2016-03-17,5325.74951171875
2016-03-18,5384.1298828125
2016-03-21,5676.37744140625
2016-03-22,5859.02001953125
2016-03-23,6047.73291015625
2016-03-28,6058.49072265625
2016-03-29,5995.47119140625
2016-03-30,6108.3828125
2016-03-31,6166.61474609375
2016-04-01,6122.74365234375
2016-04-04,5753.9541015625
2016-04-05,5895.39013671875
2016-04-06,5782.97265625
2016-04-07,5776.0634765625
2016-04-08,5733.3759765625
2016-04-11,5702.13671875
2016-04-12,5762.935546875
2016-04-13,5797.283203125
2016-04-18,5957.916015625
2016-04-20,5969.4150390625
2016-04-21,5869.6787109375
2016-04-22,5820.18212890625
2016-04-25,5799.94873046875
2016-04-26,5768.75927734375
2016-04-27,5737.17578125
2016-04-28,5625.30078125
2016-04-29,5723.65380859375
2016-05-02,5704.45654296875
2016-05-03,5722.61669921875
2016-05-04,5687.62841796875
2016-05-05,5507.9970703125
2016-05-06,5513.771484375
2016-05-09,5637.93408203125
2016-05-10,5627.02783203125
2016-05-11,5569.38623046875
2016-05-12,5780.1103515625
2016-05-13,5904.02734375
2016-05-16,5929.8359375
2016-05-17,5868.64208984375
2016-05-18,5857.984375
2016-05-19,5797.97509765625
