Date,JMFINANCIL.NS
2015-08-21,40.35641860961914
2015-08-24,35.60370635986328
2015-08-25,36.22905731201172
2015-08-26,37.89668655395508
2015-08-27,38.5637321472168
2015-08-28,39.0223274230957
2015-08-31,38.3135871887207
2015-09-01,37.27132797241211
2015-09-02,37.43809127807617
2015-09-03,37.980064392089844
2015-09-04,37.02119445800781
2015-09-07,36.312442779541016
2015-09-08,36.22905731201172
2015-09-09,36.64596176147461
2015-09-10,36.72935104370117
2015-09-11,37.396400451660156
2015-09-14,37.27132797241211
2015-09-15,36.604278564453125
2015-09-16,36.479209899902344
2015-09-18,35.812156677246094
2015-09-21,35.812156677246094
2015-09-22,36.02061462402344
2015-09-23,36.4375114440918
2015-09-24,36.35413360595703
2015-09-28,36.14567947387695
2015-09-29,36.93779754638672
2015-09-30,36.270751953125
2015-10-01,36.1873664855957
2015-10-05,36.687660217285156
2015-10-06,36.93779754638672
2015-10-07,36.479209899902344
2015-10-08,36.4375114440918
2015-10-09,36.604278564453125
2015-10-12,36.77103805541992
2015-10-13,36.93779754638672
2015-10-14,37.27132797241211
2015-10-15,37.64653396606445
2015-10-16,38.3135871887207
2015-10-19,37.938358306884766
2015-10-20,36.896114349365234
2015-10-21,36.72935104370117
2015-10-23,36.479209899902344
2015-10-26,36.10399627685547
2015-10-27,36.479209899902344
2015-10-28,35.895538330078125
2015-10-29,36.22905731201172
2015-10-30,34.10284423828125
2015-11-02,34.18623352050781
2015-11-03,34.352989196777344
2015-11-04,35.395259857177734
2015-11-05,35.85383605957031
2015-11-06,35.27017593383789
2015-11-09,35.06172561645508
2015-11-10,33.5191764831543
2015-11-13,34.436370849609375
2015-11-16,34.14453887939453
2015-11-17,34.31129837036133
2015-11-18,35.228485107421875
2015-11-19,34.478057861328125
2015-11-20,34.01947021484375
2015-11-23,33.727630615234375
2015-11-24,33.9777717590332
2015-11-26,33.76932144165039
2015-11-27,33.22734451293945
2015-11-30,33.10227584838867
2015-12-01,32.7270622253418
2015-12-02,33.10227584838867
2015-12-03,32.60198211669922
2015-12-04,30.934358596801758
2015-12-07,31.226205825805664
2015-12-08,30.85098648071289
2015-12-09,30.85098648071289
2015-12-10,31.60141372680664
2015-12-11,31.267887115478516
2015-12-14,30.85098648071289
2015-12-15,32.018314361572266
2015-12-16,31.518035888671875
2015-12-17,32.10170364379883
2015-12-18,31.39296531677246
2015-12-21,31.47633934020996
2015-12-22,33.1856575012207
2015-12-23,32.7270622253418
2015-12-24,32.68537521362305
2015-12-28,33.269039154052734
2015-12-29,33.310726165771484
2015-12-30,35.228485107421875
2015-12-31,39.397544860839844
2016-01-01,37.8549919128418
2016-01-04,38.3135871887207
2016-01-05,36.9794921875
2016-01-06,35.895538330078125
2016-01-07,34.14453887939453
2016-01-08,36.06230163574219
2016-01-11,35.145111083984375
2016-01-12,34.478057861328125
2016-01-13,33.64424514770508
2016-01-14,32.893821716308594
2016-01-15,32.643672943115234
2016-01-18,30.97605323791504
2016-01-19,31.43465805053711
2016-01-20,29.975479125976562
2016-01-21,30.100555419921875
2016-01-22,31.142824172973633
2016-01-25,32.56028366088867
2016-01-27,31.976621627807617
2016-01-28,31.89324951171875
2016-01-29,32.935516357421875
2016-02-01,34.10284423828125
2016-02-02,33.43579864501953
2016-02-03,32.43522644042969
2016-02-04,33.43579864501953
2016-02-05,33.727630615234375
2016-02-08,33.811012268066406
2016-02-09,32.935516357421875
2016-02-10,31.43465805053711
2016-02-11,29.189329147338867
2016-02-12,29.824785232543945
2016-02-15,31.22282600402832
2016-02-16,30.163707733154297
2016-02-17,30.290803909301758
2016-02-18,30.544992446899414
2016-02-19,30.799171447753906
2016-02-22,30.163707733154297
2016-02-23,29.443510055541992
2016-02-24,29.274049758911133
2016-02-25,29.31641960144043
2016-02-26,29.358779907226562
2016-02-29,30.502628326416016
2016-03-01,31.85828971862793
2016-03-02,32.19721221923828
2016-03-03,33.764705657958984
2016-03-04,33.341068267822266
2016-03-08,34.145999908447266
2016-03-09,34.484920501708984
2016-03-10,34.35782241821289
2016-03-11,33.84944152832031
2016-03-14,34.01890182495117
2016-03-15,32.747962951660156
2016-03-16,32.87504959106445
2016-03-17,33.679988861083984
2016-03-18,32.87504959106445
2016-03-21,34.90856170654297
2016-03-22,33.891807556152344
2016-03-23,33.637611389160156
2016-03-28,32.409027099609375
2016-03-29,31.85828971862793
2016-03-30,32.493770599365234
2016-03-31,32.23958206176758
2016-04-01,32.5361328125
2016-04-04,33.00215148925781
2016-04-05,32.45140838623047
2016-04-06,32.57849884033203
2016-04-07,33.00215148925781
2016-04-08,33.42580032348633
2016-04-11,33.51052474975586
2016-04-12,34.273094177246094
2016-04-13,34.06126403808594
2016-04-18,33.934165954589844
2016-04-20,33.722347259521484
2016-04-21,34.18836212158203
2016-04-22,34.69673538208008
2016-04-25,34.78146743774414
2016-04-26,35.12038803100586
2016-04-27,34.78146743774414
2016-04-28,34.78146743774414
2016-04-29,34.8661994934082
2016-05-02,34.82383346557617
2016-05-03,34.950927734375
2016-05-04,34.739105224609375
2016-05-05,34.8661994934082
2016-05-06,34.78146743774414
2016-05-09,35.03565216064453
2016-05-10,36.010040283203125
2016-05-11,35.75585174560547
2016-05-12,35.45930099487305
2016-05-13,36.34896469116211
2016-05-16,37.83172607421875
2016-05-17,38.12828063964844
2016-05-18,38.170650482177734
2016-05-19,38.2130126953125
2016-05-20,38.170650482177734
2016-05-23,38.6456184387207
2016-05-24,38.60243606567383
2016-05-25,38.6456184387207
2016-05-26,39.25013732910156
