Date,CRISIL.NS
2015-08-21,1703.082763671875
2015-08-24,1552.843505859375
2015-08-25,1629.5506591796875
2015-08-26,1572.2344970703125
2015-08-27,1617.4521484375
2015-08-28,1613.6341552734375
2015-08-31,1660.910888671875
2015-09-01,1595.5303955078125
2015-09-02,1602.2652587890625
2015-09-03,1607.4993896484375
2015-09-04,1572.277587890625
2015-09-07,1534.0958251953125
2015-09-08,1541.0885009765625
2015-09-09,1559.535888671875
2015-09-10,1531.650146484375
2015-09-11,1572.964111328125
2015-09-14,1624.5738525390625
2015-09-15,1574.46533203125
2015-09-16,1540.273681640625
2015-09-18,1650.0142822265625
2015-09-21,1581.029541015625
2015-09-22,1568.888671875
2015-09-23,1550.4840087890625
2015-09-24,1554.43115234375
2015-09-28,1542.2904052734375
2015-09-29,1559.45068359375
2015-09-30,1572.964111328125
2015-10-01,1598.404541015625
2015-10-05,1633.068359375
2015-10-06,1629.5936279296875
2015-10-07,1694.888671875
2015-10-08,1695.189208984375
2015-10-09,1691.2421875
2015-10-12,1697.634521484375
2015-10-13,1703.4691162109375
2015-10-14,1704.841552734375
2015-10-15,1704.58447265625
2015-10-16,1702.3104248046875
2015-10-19,1718.61279296875
2015-10-20,1717.7119140625
2015-10-21,1744.0762939453125
2015-10-23,1720.7655029296875
2015-10-26,1721.1097412109375
2015-10-27,1727.001953125
2015-10-28,1683.4342041015625
2015-10-29,1695.6915283203125
2015-10-30,1687.218994140625
2015-11-02,1662.5751953125
2015-11-03,1652.5113525390625
2015-11-04,1656.984130859375
2015-11-05,1640.08203125
2015-11-06,1647.865966796875
2015-11-09,1647.6082763671875
2015-11-10,1649.930908203125
2015-11-13,1659.9090576171875
2015-11-16,1657.3282470703125
2015-11-17,1670.403076171875
2015-11-18,1677.80029296875
2015-11-19,1653.1134033203125
2015-11-20,1708.9810791015625
2015-11-23,1659.4783935546875
2015-11-24,1649.8448486328125
2015-11-26,1672.295166015625
2015-11-27,1727.6038818359375
2015-11-30,1718.615234375
2015-12-01,1691.90673828125
2015-12-02,1670.1875
2015-12-03,1657.586181640625
2015-12-04,1681.7999267578125
2015-12-07,1680.1226806640625
2015-12-08,1645.930908203125
2015-12-09,1619.0509033203125
