Date,KMI
2015-08-03,20.237380981445312
2015-08-04,20.183412551879883
2015-08-05,19.331941604614258
2015-08-06,19.60177230834961
2015-08-07,19.271982192993164
2015-08-10,19.48784637451172
2015-08-11,19.721702575683594
2015-08-12,20.29734230041504
2015-08-13,19.87160873413086
2015-08-14,20.363296508789062
2015-08-17,20.603151321411133
2015-08-18,20.35131072998047
2015-08-19,20.13544273376465
2015-08-20,19.60177230834961
2015-08-21,19.06211280822754
2015-08-24,18.156681060791016
2015-08-25,17.94681167602539
2015-08-26,18.462482452392578
2015-08-27,19.188037872314453
2015-08-28,19.565797805786133
2015-08-31,19.43387794494629
2015-09-01,18.822261810302734
2015-09-02,18.7742919921875
2015-09-03,18.63637351989746
2015-09-04,18.450496673583984
2015-09-08,18.642375946044922
2015-09-09,18.372541427612305
2015-09-10,18.288597106933594
2015-09-11,18.048742294311523
2015-09-14,17.904836654663086
2015-09-15,18.10271453857422
2015-09-16,18.402524948120117
2015-09-17,18.486469268798828
2015-09-18,18.216644287109375
2015-09-21,18.390533447265625
2015-09-22,18.05474281311035
2015-09-23,17.425138473510742
2015-09-24,17.593032836914062
2015-09-25,17.640995025634766
2015-09-28,16.519699096679688
2015-09-29,15.6862154006958
2015-09-30,16.5976505279541
2015-10-01,16.86747932434082
2015-10-02,17.766923904418945
2015-10-05,18.55842399597168
2015-10-06,19.05611801147461
2015-10-07,19.271982192993164
2015-10-08,19.595779418945312
2015-10-09,19.39790153503418
2015-10-12,19.36192512512207
2015-10-13,18.876224517822266
2015-10-14,19.026132583618164
2015-10-15,19.325944900512695
2015-10-16,19.313955307006836
2015-10-19,19.02013397216797
2015-10-20,19.146059036254883
2015-10-21,18.840253829956055
2015-10-22,17.838876724243164
2015-10-23,17.527070999145508
2015-10-26,16.525693893432617
2015-10-27,16.35779571533203
2015-10-28,16.633628845214844
2015-10-29,16.61530303955078
2015-10-30,16.706932067871094
2015-11-02,16.261005401611328
2015-11-03,16.804668426513672
2015-11-04,16.37706756591797
2015-11-05,15.827298164367676
2015-11-06,15.918925285339355
2015-11-09,15.613495826721191
2015-11-10,15.546300888061523
2015-11-11,14.90490436553955
2015-11-12,14.330700874328613
2015-11-13,14.26350212097168
2015-11-16,14.678886413574219
2015-11-17,14.269610404968262
2015-11-18,14.843814849853516
2015-11-19,14.452872276306152
2015-11-20,14.287935256958008
2015-11-23,14.458974838256836
2015-11-24,14.91100788116455
2015-11-25,14.721648216247559
2015-11-27,14.581146240234375
2015-11-30,14.397897720336914
2015-12-01,13.695403099060059
2015-12-02,12.620296478271484
2015-12-03,11.76509952545166
2015-12-04,10.27461051940918
2015-12-07,10.030265808105469
2015-12-08,9.602668762207031
2015-12-09,10.268501281738281
2015-12-10,10.39067268371582
2015-12-11,10.176874160766602
2015-12-14,9.773709297180176
2015-12-15,9.675969123840332
