Date,LATO-B.ST
2015-08-24,51.34245300292969
2015-08-25,51.977088928222656
2015-08-26,51.65977478027344
2015-08-27,53.457923889160156
2015-08-28,54.70604705810547
2015-08-31,54.45219039916992
2015-09-01,52.7386589050293
2015-09-02,51.6809196472168
2015-09-03,53.58485794067383
2015-09-04,52.88674545288086
2015-09-07,53.58485794067383
2015-09-08,54.76951217651367
2015-09-09,55.721473693847656
2015-09-10,55.573394775390625
2015-09-11,56.038795471191406
2015-09-14,56.16572570800781
2015-09-15,56.56766128540039
2015-09-16,56.90613555908203
2015-09-17,57.01190948486328
2015-09-18,56.08110046386719
2015-09-21,56.1868782043457
2015-09-22,55.679168701171875
2015-09-23,56.01763153076172
2015-09-24,54.87528610229492
2015-09-25,55.50992202758789
2015-09-28,55.065670013427734
2015-09-29,54.70604705810547
2015-09-30,56.038795471191406
2015-10-01,57.0330696105957
2015-10-02,56.01763153076172
2015-10-05,58.429283142089844
2015-10-06,59.465850830078125
2015-10-07,59.0216064453125
2015-10-08,58.386962890625
2015-10-09,58.936988830566406
2015-10-12,58.74659729003906
2015-10-13,58.111942291259766
2015-10-14,57.117679595947266
2015-10-15,58.00617980957031
2015-10-16,57.85809326171875
2015-10-19,58.23888397216797
2015-10-20,59.0216064453125
2015-10-21,58.97929763793945
2015-10-22,59.0850715637207
2015-10-23,60.01588439941406
2015-10-26,60.81975555419922
2015-10-27,61.05246353149414
2015-10-28,62.110198974609375
2015-10-29,61.940956115722656
2015-10-30,61.581336975097656
2015-11-02,62.68136215209961
2015-11-03,64.64876556396484
2015-11-04,65.64302825927734
2015-11-05,65.57957458496094
2015-11-06,65.57957458496094
2015-11-09,67.1661605834961
2015-11-10,63.35832214355469
2015-11-11,63.717952728271484
2015-11-12,62.38520431518555
2015-11-13,61.03129196166992
2015-11-16,61.24285125732422
2015-11-17,62.36404800415039
2015-11-18,62.36404800415039
2015-11-19,61.623634338378906
2015-11-20,62.19480895996094
2015-11-23,62.82944869995117
2015-11-24,61.771724700927734
2015-11-25,61.03129196166992
2015-11-26,61.03129196166992
2015-11-27,60.75629806518555
2015-11-30,60.58705139160156
2015-12-01,62.04671096801758
2015-12-02,63.12561798095703
2015-12-03,62.30059051513672
2015-12-04,61.81402587890625
2015-12-07,62.89291000366211
2015-12-08,61.390926361083984
2015-12-09,60.88322448730469
2015-12-10,60.92552185058594
2015-12-11,60.079341888427734
2015-12-14,60.01588439941406
2015-12-15,61.79287338256836
2015-12-16,61.9832649230957
2015-12-17,61.9832649230957
2015-12-18,62.765987396240234
2015-12-21,63.273712158203125
2015-12-22,63.273712158203125
2015-12-23,63.717952728271484
2015-12-28,63.717952728271484
2015-12-29,64.98723602294922
2015-12-30,65.93920135498047
2016-01-04,63.92950439453125
2016-01-05,63.59103012084961
2016-01-07,62.512123107910156
2016-01-08,62.512123107910156
2016-01-11,63.35832214355469
2016-01-12,63.82371520996094
2016-01-13,63.52756118774414
2016-01-14,61.390926361083984
2016-01-15,59.48700714111328
2016-01-18,58.5985107421875
2016-01-19,59.5081672668457
2016-01-20,58.28120040893555
2016-01-21,58.1754150390625
2016-01-22,59.82548522949219
2016-01-25,60.75629806518555
2016-01-26,61.306297302246094
2016-01-27,61.05246353149414
2016-01-28,60.65052795410156
2016-01-29,59.360076904296875
2016-02-01,61.1370849609375
2016-02-02,60.079341888427734
2016-02-03,59.317771911621094
2016-02-04,59.04275894165039
2016-02-05,58.704280853271484
2016-02-08,54.79066848754883
2016-02-09,55.044532775878906
2016-02-10,55.86956024169922
2016-02-11,54.60027313232422
2016-02-12,55.99648666381836
2016-02-15,57.942718505859375
2016-02-16,57.117679595947266
2016-02-17,59.317771911621094
2016-02-18,60.29088592529297
2016-02-19,60.50242614746094
2016-02-22,62.72367477416992
2016-02-23,62.08903121948242
2016-02-24,61.81402587890625
2016-02-25,62.279422760009766
2016-02-26,62.85060501098633
2016-02-29,63.506404876708984
2016-03-01,64.28911590576172
2016-03-02,64.3102798461914
2016-03-03,65.70649719238281
2016-03-04,66.84882354736328
2016-03-07,66.63729858398438
2016-03-08,65.70649719238281
2016-03-09,65.05069732666016
2016-03-10,65.11415100097656
2016-03-11,66.53153991699219
2016-03-14,65.62187957763672
2016-03-15,65.64302825927734
2016-03-16,66.9546127319336
2016-03-17,66.19304656982422
2016-03-18,66.4469223022461
2016-03-21,67.31425476074219
2016-03-22,67.65272521972656
2016-03-23,67.8008041381836
2016-03-24,67.97004699707031
2016-03-29,69.979736328125
2016-03-30,71.14324951171875
2016-03-31,71.18555450439453
2016-04-01,70.12782287597656
2016-04-04,69.556640625
2016-04-05,68.52007293701172
2016-04-06,69.36625671386719
2016-04-07,69.00663757324219
2016-04-08,70.19127655029297
2016-04-11,70.63554382324219
2016-04-12,70.59323120117188
2016-04-13,71.4605712890625
2016-04-14,72.01058959960938
2016-04-15,71.0586166381836
2016-04-18,71.01631927490234
2016-04-19,71.71442413330078
2016-04-20,71.82019805908203
2016-04-21,72.81446838378906
2016-04-22,72.03174591064453
2016-04-25,72.6029281616211
2016-04-26,73.8721923828125
2016-04-27,74.04145050048828
2016-04-28,73.89335632324219
2016-04-29,72.62408447265625
2016-05-02,71.6509780883789
2016-05-03,72.13750457763672
2016-05-04,72.5583724975586
2016-05-06,71.52243041992188
2016-05-09,73.83169555664062
2016-05-10,73.74537658691406
2016-05-11,74.3064956665039
2016-05-12,72.73101043701172
2016-05-13,73.6374740600586
2016-05-16,74.09068298339844
2016-05-17,73.85328674316406
2016-05-18,74.45757293701172
2016-05-19,74.3064956665039
