Date,OML.L
2018-05-16,2.5139999389648438
2018-05-17,2.496999979019165
2018-05-18,2.4600000381469727
2018-05-21,2.502000093460083
2018-05-22,2.5179998874664307
2018-05-23,2.496000051498413
2018-05-24,2.447000026702881
2018-05-25,2.4660000801086426
2018-05-29,2.4100000858306885
2018-05-30,2.4130001068115234
2018-05-31,2.3980000019073486
2018-06-01,2.38700008392334
2018-06-04,2.4100000858306885
2018-06-05,2.3289999961853027
2018-06-06,2.3239998817443848
2018-06-07,2.2690000534057617
2018-06-08,2.2239999771118164
2018-06-11,2.181999921798706
2018-06-12,2.2249999046325684
2018-06-13,2.250999927520752
2018-06-14,2.2690000534057617
2018-06-15,2.1549999713897705
2018-06-18,2.138000011444092
2018-06-19,2.109999895095825
2018-06-20,2.117000102996826
2018-06-21,2.0889999866485596
2018-06-22,2.1089999675750732
2018-06-25,2.1089999675750732
