Date,IMI.L
2015-08-24,974.4046630859375
2015-08-25,997.3434448242188
2015-08-26,999.3382568359375
2015-08-27,1012.3035888671875
2015-08-28,1035.2425537109375
2015-09-01,1014.29833984375
2015-09-02,1016.2930908203125
2015-09-03,1027.263671875
2015-09-04,1017.2904052734375
2015-09-07,1018.2876586914062
2015-09-08,1031.253173828125
2015-09-09,1022.2771606445312
2015-09-10,1012.3035888671875
2015-09-11,1026.2664794921875
2015-09-14,1027.263671875
2015-09-15,1047.210693359375
2015-09-16,1077.1309814453125
2015-09-17,1046.21337890625
2015-09-18,1032.250732421875
2015-09-21,1014.29833984375
2015-09-22,966.9244995117188
2015-09-23,971.9113159179688
2015-09-24,950.4683837890625
2015-09-25,956.9510498046875
2015-09-28,935.009521484375
2015-09-29,941.9909057617188
2015-09-30,945.9802856445312
2015-10-01,961.9378051757812
2015-10-02,968.4204711914062
2015-10-05,1007.3169555664062
2015-10-06,1005.3222045898438
2015-10-07,1047.210693359375
2015-10-08,1054.1922607421875
2015-10-09,1073.141357421875
2015-10-12,1053.194580078125
2015-10-13,1007.3169555664062
2015-10-14,1003.3275146484375
2015-10-15,994.8502807617188
2015-10-16,948.4736938476562
2015-10-19,949.9697875976562
2015-10-20,958.9457397460938
2015-10-21,952.961669921875
2015-10-22,970.4152221679688
2015-10-23,985.8740844726562
2015-10-26,977.8953857421875
2015-10-27,972.4098510742188
2015-10-28,955.9536743164062
2015-10-29,952.961669921875
2015-10-30,950.4683837890625
2015-11-02,965.428466796875
2015-11-03,973.4072875976562
2015-11-04,995.3488159179688
2015-11-05,975.4019165039062
2015-11-06,980.8873901367188
2015-11-09,995.3488159179688
2015-11-10,978.3941040039062
2015-11-11,972.9085693359375
2015-11-12,896.6119384765625
2015-11-13,868.6862182617188
2015-11-16,867.6888427734375
2015-11-17,887.6358032226562
2015-11-18,906.0866088867188
2015-11-19,914.56396484375
2015-11-20,936.0067138671875
2015-11-23,934.0121459960938
2015-11-24,926.5323486328125
2015-11-25,932.51611328125
2015-11-26,938.9989624023438
2015-11-27,938.0015258789062
2015-11-30,951.4656372070312
2015-12-01,946.9775390625
2015-12-02,918.0546875
2015-12-03,924.5374145507812
2015-12-04,923.04150390625
2015-12-07,916.0599975585938
2015-12-08,891.12646484375
2015-12-09,898.1078491210938
2015-12-10,894.6171264648438
2015-12-11,896.1130981445312
2015-12-14,875.667724609375
2015-12-15,876.1663818359375
2015-12-16,876.1663818359375
2015-12-17,851.232666015625
2015-12-18,845.2484741210938
2015-12-21,845.2484741210938
2015-12-22,842.7551879882812
2015-12-23,877.16357421875
2015-12-24,879.158203125
2015-12-29,874.6702880859375
2015-12-30,859.7101440429688
2015-12-31,859.21142578125
2016-01-04,838.7659301757812
2016-01-05,840.7605590820312
2016-01-06,811.8377685546875
2016-01-07,794.8827514648438
2016-01-08,793.3867797851562
