Date,POLYMED.NS
2015-08-21,205.3090362548828
2015-08-24,199.4275360107422
2015-08-25,194.51449584960938
2015-08-26,191.23123168945312
2015-08-27,193.73500061035156
2015-08-28,191.08953857421875
2015-08-31,187.75901794433594
2015-09-01,182.89321899414062
2015-09-02,179.6099853515625
2015-09-03,179.75169372558594
2015-09-04,177.86204528808594
2015-09-07,172.5238494873047
2015-09-08,171.7207489013672
2015-09-09,171.1538543701172
2015-09-10,172.09864807128906
2015-09-11,177.3660125732422
2015-09-14,172.87815856933594
2015-09-15,170.84677124023438
2015-09-16,171.27195739746094
2015-09-18,173.6741943359375
2015-09-21,172.9606475830078
2015-09-22,171.9617156982422
2015-09-23,172.86550903320312
2015-09-24,178.2645721435547
2015-09-28,183.8539276123047
2015-09-29,185.70912170410156
2015-09-30,182.9025421142578
2015-10-01,182.14144897460938
2015-10-05,185.4237060546875
2015-10-06,188.30160522460938
2015-10-07,188.4680938720703
2015-10-08,186.82699584960938
2015-10-09,187.84971618652344
2015-10-12,188.68215942382812
2015-10-13,186.35128784179688
2015-10-14,184.06800842285156
2015-10-15,185.89938354492188
2015-10-16,184.2820587158203
2015-10-19,189.8476104736328
2015-10-20,187.70703125
2015-10-21,188.99136352539062
2015-10-23,194.17640686035156
2015-10-26,187.7545928955078
2015-10-27,188.0162353515625
2015-10-28,182.87876892089844
2015-10-29,175.67205810546875
2015-10-30,162.94737243652344
2015-11-02,162.30520629882812
2015-11-03,162.7571258544922
2015-11-04,156.97750854492188
2015-11-05,158.57106018066406
2015-11-06,158.64242553710938
2015-11-09,157.42938232421875
2015-11-10,155.122314453125
2015-11-13,156.47801208496094
2015-11-16,156.9061279296875
2015-11-17,159.45108032226562
2015-11-18,155.0985107421875
2015-11-19,154.62281799316406
2015-11-20,154.81309509277344
2015-11-23,155.3601531982422
2015-11-24,154.5990447998047
2015-11-26,154.64663696289062
2015-11-27,154.5990447998047
2015-11-30,155.74070739746094
2015-12-01,154.9795684814453
2015-12-02,155.45529174804688
2015-12-03,154.93199157714844
2015-12-04,154.64663696289062
2015-12-07,155.3126220703125
2015-12-08,156.24017333984375
2015-12-09,155.0985107421875
2015-12-10,154.64663696289062
2015-12-11,154.83688354492188
2015-12-14,157.57211303710938
2015-12-15,155.0033721923828
2015-12-16,185.99452209472656
2015-12-17,196.00779724121094
2015-12-18,185.32858276367188
2015-12-21,192.2022705078125
2015-12-22,188.68215942382812
2015-12-23,205.80699157714844
2015-12-24,202.07284545898438
2015-12-28,194.31907653808594
2015-12-29,192.24984741210938
2015-12-30,189.68116760253906
2015-12-31,189.70489501953125
2016-01-01,184.80531311035156
2016-01-04,185.9707489013672
2016-01-05,185.2572021484375
2016-01-06,184.18692016601562
2016-01-07,177.52723693847656
2016-01-08,181.26141357421875
2016-01-11,176.8612823486328
2016-01-12,174.31634521484375
2016-01-13,168.2513427734375
2016-01-14,167.5377960205078
2016-01-15,163.63714599609375
2016-01-18,153.05308532714844
2016-01-19,153.14817810058594
2016-01-20,152.22059631347656
2016-01-21,159.52244567871094
2016-01-22,160.02188110351562
2016-01-25,159.35592651367188
2016-01-27,159.54620361328125
2016-01-28,154.5990447998047
2016-01-29,156.19261169433594
2016-02-01,156.88230895996094
2016-02-02,154.5990447998047
2016-02-03,151.69729614257812
2016-02-04,150.46055603027344
2016-02-05,151.88760375976562
2016-02-08,145.7274169921875
2016-02-09,138.02127075195312
2016-02-10,132.00381469726562
2016-02-11,128.1745147705078
2016-02-12,118.75582885742188
2016-02-15,126.6760482788086
2016-02-16,118.2325668334961
2016-02-17,128.4361114501953
2016-02-18,125.48684692382812
2016-02-19,125.70091247558594
2016-02-22,126.9377212524414
2016-02-23,121.77647399902344
2016-02-24,124.55924224853516
2016-02-25,126.31929016113281
2016-02-26,127.08039093017578
2016-02-29,120.61103057861328
2016-03-01,130.2437286376953
2016-03-02,133.40708923339844
2016-03-03,129.2447967529297
2016-03-04,129.86318969726562
2016-03-08,145.70364379882812
2016-03-09,149.366455078125
2016-03-10,142.04086303710938
2016-03-11,139.995361328125
2016-03-14,143.87222290039062
2016-03-15,142.20730590820312
2016-03-16,141.8743438720703
2016-03-17,141.1307830810547
2016-03-18,140.2433319091797
2016-03-21,139.691650390625
2016-03-22,138.37245178222656
2016-03-23,133.93515014648438
2016-03-28,131.05685424804688
2016-03-29,132.20819091796875
2016-03-30,134.60671997070312
2016-03-31,136.18978881835938
2016-04-01,137.38906860351562
2016-04-04,137.3650665283203
2016-04-05,135.03846740722656
2016-04-06,133.9830780029297
2016-04-07,135.2783203125
2016-04-08,137.43702697753906
2016-04-11,138.01268005371094
2016-04-12,141.05882263183594
2016-04-13,136.93333435058594
2016-04-18,139.5237579345703
2016-04-20,140.17138671875
2016-04-21,138.5883331298828
2016-04-22,137.82080078125
2016-04-25,133.2875213623047
2016-04-26,134.1749725341797
2016-04-27,134.2229461669922
2016-04-28,134.00709533691406
2016-04-29,133.09564208984375
2016-05-02,127.0992660522461
2016-05-03,128.34646606445312
2016-05-04,128.0826416015625
2016-05-05,129.0900421142578
2016-05-06,130.00149536132812
2016-05-09,135.4941864013672
2016-05-10,136.88534545898438
2016-05-11,137.9407196044922
2016-05-12,146.11978149414062
2016-05-13,150.02940368652344
2016-05-16,160.15130615234375
2016-05-17,163.02960205078125
2016-05-18,163.98895263671875
2016-05-19,168.25840759277344
2016-05-20,169.38577270507812
2016-05-23,170.82484436035156
2016-05-24,167.89865112304688
2016-05-25,171.64035034179688
2016-05-26,167.41891479492188
2016-05-27,169.21783447265625
2016-05-30,167.92262268066406
2016-05-31,167.85064697265625
2016-06-01,165.2362518310547
2016-06-02,169.2418212890625
2016-06-03,168.3783416748047
2016-06-06,168.01856994628906
2016-06-07,167.5628204345703
2016-06-08,166.8912353515625
2016-06-09,165.8118896484375
2016-06-10,165.5960235595703
2016-06-13,168.4743194580078
