Date,NBCC.NS
2015-08-21,40.05777359008789
2015-08-24,36.171390533447266
2015-08-25,36.81645584106445
2015-08-26,37.593727111816406
2015-08-27,39.12825012207031
2015-08-28,39.44477462768555
2015-08-31,39.15630340576172
2015-09-01,38.33495330810547
2015-09-02,38.8417854309082
2015-09-03,39.73725128173828
2015-09-04,38.783687591552734
2015-09-07,37.81009292602539
2015-09-08,37.88621139526367
2015-09-09,38.43111038208008
2015-09-10,37.90523910522461
2015-09-11,37.86695098876953
2015-09-14,37.96165084838867
2015-09-15,37.218170166015625
2015-09-16,36.87363052368164
2015-09-18,37.4559326171875
2015-09-21,37.89314651489258
2015-09-22,37.226234436035156
2015-09-23,37.468017578125
2015-09-24,37.756134033203125
2015-09-28,38.03821563720703
2015-09-29,38.58423614501953
2015-09-30,38.664825439453125
2015-10-01,38.5479621887207
2015-10-05,39.23704147338867
2015-10-06,39.60978317260742
2015-10-07,39.370018005371094
2015-10-08,39.51508712768555
2015-10-09,40.828773498535156
2015-10-12,40.671607971191406
2015-10-13,40.812644958496094
2015-10-14,40.885189056396484
2015-10-15,40.82675552368164
2015-10-16,40.98189163208008
2015-10-19,41.1269645690918
2015-10-20,40.31498718261719
2015-10-21,39.6561279296875
2015-10-23,39.16450881958008
2015-10-26,38.576175689697266
2015-10-27,37.95761489868164
2015-10-28,38.53990936279297
2015-10-29,37.81254577636719
2015-10-30,37.56472396850586
2015-11-02,38.209476470947266
2015-11-03,38.04829406738281
2015-11-04,38.07044219970703
2015-11-05,37.4801025390625
2015-11-06,37.15772247314453
2015-11-09,36.041500091552734
2015-11-10,36.06768798828125
2015-11-13,35.958892822265625
2015-11-16,36.61775207519531
2015-11-17,36.53110885620117
2015-11-18,36.595577239990234
2015-11-19,37.4599609375
2015-11-20,37.6836051940918
2015-11-23,37.8790397644043
2015-11-24,40.06917190551758
2015-11-26,40.351253509521484
2015-11-27,40.165889739990234
2015-11-30,40.59303665161133
2015-12-01,40.274681091308594
2015-12-02,40.22230529785156
2015-12-03,39.662174224853516
2015-12-04,39.015411376953125
2015-12-07,39.222938537597656
2015-12-08,38.1611213684082
2015-12-09,37.11138153076172
2015-12-10,38.09463119506836
2015-12-11,38.201416015625
