Date,CAMPUS.NS
2022-05-09,377.91253662109375
2022-05-10,366.6918640136719
2022-05-11,347.54193115234375
2022-05-12,339.1139221191406
2022-05-13,331.73321533203125
2022-05-16,325.64910888671875
2022-05-17,329.2895812988281
2022-05-18,341.3081970214844
2022-05-19,333.32904052734375
2022-05-20,342.0562438964844
2022-05-23,339.2635192871094
2022-05-24,329.8880310058594
2022-05-25,338.76483154296875
2022-05-26,336.37109375
2022-05-27,354.9226379394531
2022-05-30,358.263916015625
2022-05-31,367.0908203125
2022-06-01,361.9043884277344
2022-06-02,357.01715087890625
2022-06-03,339.7123718261719
2022-06-06,333.9274597167969
2022-06-07,325.94830322265625
2022-06-08,327.74365234375
2022-06-09,323.6044616699219
2022-06-10,324.202880859375
2022-06-13,319.26580810546875
2022-06-14,314.5780334472656
2022-06-15,317.12139892578125
2022-06-16,313.8299865722656
2022-06-17,308.8929138183594
2022-06-20,317.86944580078125
2022-06-21,321.3603210449219
2022-06-22,329.23974609375
2022-06-23,324.7015686035156
2022-06-24,327.3446960449219
2022-06-27,329.0901184082031
2022-06-28,335.3238525390625
2022-06-29,331.5836181640625
2022-06-30,325.0008239746094
2022-07-01,336.1217346191406
2022-07-04,343.80169677734375
2022-07-05,347.2925720214844
2022-07-06,353.97509765625
2022-07-07,358.8623046875
2022-07-08,355.0223693847656
2022-07-11,369.2352294921875
2022-07-12,378.9598388671875
2022-07-13,363.151123046875
2022-07-14,369.135498046875
2022-07-15,367.1407165527344
2022-07-18,377.3141174316406
2022-07-19,376.86529541015625
2022-07-20,373.32452392578125
2022-07-21,375.1198425292969
2022-07-22,378.7603454589844
2022-07-25,399.6058654785156
2022-07-26,412.771484375
2022-07-27,409.2806091308594
2022-07-28,444.1394958496094
2022-07-29,439.15252685546875
2022-08-01,435.3125915527344
2022-08-02,435.21282958984375
2022-08-03,428.0315856933594
2022-08-04,424.39111328125
2022-08-05,412.7215881347656
2022-08-08,414.3174133300781
2022-08-10,419.4041442871094
2022-08-11,417.9080505371094
2022-08-12,434.2154541015625
2022-08-16,421.6981201171875
2022-08-17,432.6694641113281
2022-08-18,458.05316162109375
2022-08-19,489.3713073730469
2022-08-22,505.2797546386719
2022-08-23,489.57080078125
2022-08-24,478.9485778808594
2022-08-25,485.1822814941406
2022-08-26,485.78070068359375
2022-08-29,479.79632568359375
2022-08-30,492.5130920410156
2022-09-01,483.2872009277344
2022-09-02,493.46063232421875
2022-09-05,488.22430419921875
2022-09-06,475.85662841796875
2022-09-07,488.02484130859375
2022-09-08,484.135009765625
2022-09-09,493.1115417480469
2022-09-12,540.8368530273438
2022-09-13,549.4144287109375
2022-09-14,536.9968872070312
2022-09-15,551.0601196289062
2022-09-16,552.3567504882812
2022-09-19,576.8427124023438
2022-09-20,570.4096069335938
2022-09-21,577.1420288085938
2022-09-22,602.2264404296875
2022-09-23,595.9927368164062
2022-09-26,576.1944580078125
2022-09-27,569.0132446289062
2022-09-28,547.5692749023438
2022-09-29,550.3120727539062
2022-09-30,570.0106201171875
2022-10-03,570.0604858398438
2022-10-04,594.6961059570312
2022-10-06,588.0135498046875
2022-10-07,596.9402465820312
2022-10-10,590.2078247070312
2022-10-11,585.0712280273438
2022-10-12,581.0816650390625
2022-10-13,580.034423828125
2022-10-14,588.312744140625
2022-10-17,589.010986328125
2022-10-18,593.4494018554688
2022-10-19,630.2033081054688
2022-10-20,612.1006469726562
2022-10-21,588.46240234375
2022-10-24,592.5018310546875
2022-10-25,571.406982421875
2022-10-27,568.4646606445312
2022-10-28,557.74267578125
