Date,DIVISLAB.NS
2015-08-03,903.1242065429688
2015-08-04,897.5612182617188
2015-08-05,914.2501220703125
2015-08-06,923.268798828125
2015-08-07,911.2670288085938
2015-08-10,954.0011596679688
2015-08-11,990.3298950195312
2015-08-12,1008.1356201171875
2015-08-13,1009.3152465820312
2015-08-14,1009.5925903320312
2015-08-17,1021.6635131835938
2015-08-18,1059.44873046875
2015-08-19,1117.46826171875
2015-08-20,1111.872314453125
2015-08-21,1128.42919921875
2015-08-24,1028.94775390625
2015-08-25,999.7415771484375
2015-08-26,997.8684692382812
2015-08-27,1023.2359619140625
2015-08-28,1039.561767578125
2015-08-31,1093.3726806640625
2015-09-01,1061.229736328125
2015-09-02,1040.7642822265625
2015-09-03,1036.3707275390625
2015-09-04,1006.7252197265625
2015-09-07,968.5465087890625
2015-09-08,968.2919921875
2015-09-09,958.1173095703125
2015-09-10,998.5157470703125
2015-09-11,990.4224243164062
2015-09-14,1013.8242797851562
2015-09-15,1010.425048828125
2015-09-16,1022.8428344726562
2015-09-18,1029.2020263671875
2015-09-21,1032.9713134765625
2015-09-22,1021.6865844726562
2015-09-23,1031.0750732421875
2015-09-24,1037.2724609375
2015-09-28,1025.47900390625
2015-09-29,1019.5128784179688
2015-09-30,1031.306396484375
2015-10-01,1041.4810791015625
2015-10-05,1054.153564453125
2015-10-06,1051.6561279296875
2015-10-07,1050.45361328125
2015-10-08,1007.7656860351562
2015-10-09,1013.2232666015625
2015-10-12,1014.98046875
2015-10-13,1013.8242797851562
2015-10-14,990.7922973632812
2015-10-15,983.80859375
2015-10-16,989.4049682617188
2015-10-19,1018.5418090820312
2015-10-20,998.00732421875
2015-10-21,1006.7019653320312
2015-10-23,1008.2280883789062
2015-10-26,1011.373046875
2015-10-27,1015.905517578125
2015-10-28,1026.49658203125
2015-10-29,1036.9949951171875
2015-10-30,1067.2882080078125
2015-11-02,1069.2305908203125
2015-11-03,1100.3560791015625
2015-11-04,1087.5450439453125
2015-11-05,1067.2882080078125
2015-11-06,1037.2264404296875
2015-11-09,1053.69091796875
2015-11-10,1031.4453125
2015-11-13,1059.42578125
2015-11-16,1042.3135986328125
2015-11-17,1039.908935546875
2015-11-18,1047.30859375
2015-11-19,1066.1781005859375
2015-11-20,1062.8480224609375
2015-11-23,1064.0045166015625
2015-11-24,1059.1483154296875
2015-11-26,1044.3948974609375
2015-11-27,1059.7957763671875
2015-11-30,1064.0045166015625
2015-12-01,1050.638671875
2015-12-02,1052.7196044921875
2015-12-03,1042.128662109375
2015-12-04,1045.0887451171875
2015-12-07,1043.6085205078125
2015-12-08,1045.2275390625
2015-12-09,1038.7987060546875
2015-12-10,1023.3513793945312
2015-12-11,1041.4349365234375
2015-12-14,1044.25634765625
2015-12-15,1035.0987548828125
2015-12-16,1032.509033203125
2015-12-17,1045.6434326171875
2015-12-18,1061.9696044921875
2015-12-21,1073.947998046875
2015-12-22,1076.76904296875
2015-12-23,1079.0352783203125
2015-12-24,1079.1279296875
2015-12-28,1084.9552001953125
2015-12-29,1079.3590087890625
2015-12-30,1071.681640625
2015-12-31,1068.2130126953125
2016-01-01,1075.2891845703125
2016-01-04,1063.4493408203125
2016-01-05,1061.41455078125
2016-01-06,1051.88720703125
2016-01-07,1042.4061279296875
2016-01-08,1044.94970703125
2016-01-11,1017.0153198242188
2016-01-12,1017.7554931640625
2016-01-13,1003.094482421875
2016-01-14,1005.869384765625
2016-01-15,996.2958984375
2016-01-18,987.3236694335938
2016-01-19,990.3760375976562
2016-01-20,980.6638793945312
2016-01-21,978.5824584960938
2016-01-22,1000.6896362304688
2016-01-25,1005.545654296875
2016-01-27,1058.3619384765625
2016-01-28,1044.4410400390625
2016-01-29,1055.3558349609375
2016-02-01,1056.28076171875
2016-02-02,1040.1397705078125
2016-02-03,1023.5364379882812
2016-02-04,1005.7308349609375
2016-02-05,1027.1439208984375
2016-02-08,988.47998046875
2016-02-09,956.1055908203125
2016-02-10,941.305908203125
2016-02-11,943.0632934570312
2016-02-12,913.093994140625
2016-02-15,918.2738037109375
2016-02-16,896.9991455078125
2016-02-17,914.3427124023438
2016-02-18,902.17919921875
2016-02-19,920.956298828125
2016-02-22,917.025146484375
2016-02-23,906.48046875
2016-02-24,871.2385864257812
2016-02-25,870.2673950195312
2016-02-26,863.9776000976562
2016-02-29,879.2396850585938
2016-03-01,885.6220092773438
2016-03-02,897.6467895507812
2016-03-03,904.2603759765625
2016-03-04,934.8309326171875
2016-03-08,946.0233154296875
2016-03-09,933.8596801757812
2016-03-10,940.1495971679688
2016-03-11,928.9573974609375
2016-03-14,936.5884399414062
2016-03-15,891.4031372070312
2016-03-16,902.6416625976562
2016-03-17,911.3797607421875
2016-03-18,919.4636840820312
2016-03-21,927.03369140625
2016-03-22,914.9778442382812
2016-03-23,905.9594116210938
2016-03-28,908.5761108398438
2016-03-29,913.06201171875
2016-03-30,917.9684448242188
2016-03-31,922.6411743164062
2016-04-01,942.5472412109375
2016-04-04,944.4630126953125
2016-04-05,947.0330810546875
2016-04-06,930.0242919921875
2016-04-07,947.547119140625
2016-04-08,947.1266479492188
2016-04-11,953.3414306640625
2016-04-12,955.0237426757812
2016-04-13,956.0983276367188
2016-04-18,971.0513916015625
2016-04-20,979.9295654296875
2016-04-21,1019.6482543945312
2016-04-22,999.4617309570312
2016-04-25,990.5833129882812
2016-04-26,989.1813354492188
2016-04-27,974.0418090820312
2016-04-28,981.4248046875
2016-04-29,982.3126220703125
2016-05-02,986.705078125
2016-05-03,972.0792846679688
2016-05-04,982.21923828125
