Date,NAVINFLUOR.NS
2015-08-21,257.9173583984375
2015-08-24,216.4090118408203
2015-08-25,217.66375732421875
2015-08-26,224.3118133544922
2015-08-27,232.32691955566406
2015-08-28,225.72567749023438
2015-08-31,224.89231872558594
2015-09-01,228.10400390625
2015-09-02,225.29498291015625
2015-09-03,230.90370178222656
2015-09-04,228.9186248779297
2015-09-07,221.35289001464844
2015-09-08,217.5607147216797
2015-09-09,218.20681762695312
2015-09-10,219.39593505859375
2015-09-11,215.46328735351562
2015-09-14,215.83782958984375
2015-09-15,223.03834533691406
2015-09-16,224.77996826171875
2015-09-18,230.22012329101562
2015-09-21,225.8286895751953
2015-09-22,226.71820068359375
2015-09-23,222.46717834472656
2015-09-24,223.16012573242188
2015-09-28,224.8736114501953
2015-09-29,221.75558471679688
2015-09-30,227.48602294921875
2015-10-01,234.56480407714844
2015-10-05,247.77670288085938
2015-10-06,245.1549072265625
2015-10-07,240.14549255371094
2015-10-08,238.9188995361328
2015-10-09,245.48263549804688
2015-10-12,244.94894409179688
2015-10-13,245.6605224609375
2015-10-14,249.08761596679688
2015-10-15,245.88528442382812
2015-10-16,247.24298095703125
2015-10-19,247.5332794189453
2015-10-20,249.3123016357422
2015-10-21,256.1195983886719
2015-10-23,256.4753112792969
2015-10-26,256.20379638671875
2015-10-27,259.2843933105469
2015-10-28,309.9222106933594
2015-10-29,295.6428527832031
2015-10-30,302.5999755859375
2015-11-02,331.96380615234375
2015-11-03,333.47137451171875
2015-11-04,322.14154052734375
2015-11-05,314.87548828125
2015-11-06,318.5774230957031
2015-11-09,328.86346435546875
2015-11-10,330.8415832519531
2015-11-13,323.49432373046875
2015-11-16,342.37109375
2015-11-17,372.17431640625
2015-11-18,366.9088134765625
2015-11-19,349.7935485839844
2015-11-20,343.8875732421875
2015-11-23,364.72357177734375
2015-11-24,361.4832763671875
2015-11-26,355.19097900390625
2015-11-27,354.9931335449219
2015-11-30,346.82647705078125
2015-12-01,356.6039733886719
2015-12-02,352.2238464355469
2015-12-03,351.74346923828125
2015-12-04,350.0856018066406
2015-12-07,346.2613220214844
2015-12-08,328.9388427734375
2015-12-09,312.71832275390625
2015-12-10,326.1789245605469
2015-12-11,322.5429382324219
2015-12-14,332.555908203125
2015-12-15,338.1793212890625
2015-12-16,356.7828369140625
2015-12-17,362.67950439453125
2015-12-18,364.0641784667969
2015-12-21,369.6687316894531
2015-12-22,365.1285400390625
2015-12-23,358.0733337402344
2015-12-24,357.4892883300781
2015-12-28,349.35089111328125
2015-12-29,353.4766540527344
2015-12-30,354.23016357421875
2015-12-31,352.74200439453125
2016-01-01,367.2102966308594
2016-01-04,363.7910461425781
2016-01-05,354.5409851074219
2016-01-06,357.3291931152344
2016-01-07,347.0054931640625
2016-01-08,355.69964599609375
2016-01-11,353.2976989746094
2016-01-12,345.86566162109375
2016-01-13,345.2534484863281
2016-01-14,347.5517578125
2016-01-15,338.39605712890625
2016-01-18,314.50811767578125
2016-01-19,319.877197265625
2016-01-20,320.7061462402344
2016-01-21,314.762451171875
2016-01-22,312.822021484375
2016-01-25,314.272705078125
2016-01-27,323.7298278808594
2016-01-28,336.4933166503906
2016-01-29,331.227783203125
2016-02-01,290.4129638671875
2016-02-02,292.6171569824219
2016-02-03,296.3190002441406
2016-02-04,299.8607482910156
2016-02-05,300.43536376953125
2016-02-08,301.72589111328125
2016-02-09,302.6206970214844
2016-02-10,288.0863342285156
2016-02-11,290.0267028808594
2016-02-12,281.6622314453125
2016-02-15,302.5830078125
2016-02-16,289.8196105957031
2016-02-17,287.3045654296875
2016-02-18,287.9073791503906
2016-02-19,286.682861328125
2016-02-22,282.283935546875
2016-02-23,273.61798095703125
2016-02-24,256.6346435546875
2016-02-25,251.1712646484375
2016-02-26,254.1007843017578
2016-02-29,242.55242919921875
2016-03-01,255.9187774658203
2016-03-02,269.4734191894531
2016-03-03,269.61468505859375
2016-03-04,264.03839111328125
2016-03-08,259.71478271484375
2016-03-09,272.7043151855469
2016-03-10,264.03839111328125
2016-03-11,266.5251770019531
2016-03-14,269.9632568359375
2016-03-15,265.6867980957031
2016-03-16,265.2628479003906
2016-03-17,265.4983825683594
2016-03-18,265.9881591796875
2016-03-21,266.2519836425781
2016-03-22,266.5345458984375
2016-03-23,319.8395690917969
2016-03-28,330.4459533691406
2016-03-29,330.82269287109375
2016-03-30,324.502197265625
2016-03-31,318.1346130371094
2016-04-01,321.1017761230469
2016-04-04,319.001220703125
2016-04-05,312.2662658691406
2016-04-06,310.9192810058594
2016-04-07,306.18121337890625
2016-04-08,302.6678466796875
2016-04-11,301.4244384765625
2016-04-12,304.4386901855469
2016-04-13,318.47381591796875
2016-04-18,316.7216796875
2016-04-20,323.85223388671875
2016-04-21,317.3340148925781
2016-04-22,315.214599609375
2016-04-25,317.4093322753906
2016-04-26,320.3011474609375
2016-04-27,329.76776123046875
2016-04-28,329.2590637207031
2016-04-29,328.3359375
2016-05-02,378.7303466796875
2016-05-03,380.8874206542969
2016-05-04,377.6753234863281
2016-05-05,379.0317077636719
2016-05-06,376.77117919921875
2016-05-09,380.9439697265625
2016-05-10,399.0294189453125
2016-05-11,404.9355163574219
2016-05-12,412.25445556640625
2016-05-13,396.5520324707031
2016-05-16,396.4295959472656
2016-05-17,388.6962585449219
2016-05-18,391.6539611816406
2016-05-19,384.3443908691406
2016-05-20,376.6863098144531
2016-05-23,370.49774169921875
2016-05-24,365.4488525390625
2016-05-25,373.5495910644531
2016-05-26,371.4302062988281
2016-05-27,393.5848693847656
2016-05-30,391.92706298828125
