Date,POLL.BA
2015-08-24,5.400000095367432
2015-08-25,5.099999904632568
2015-08-26,5.099999904632568
2015-08-27,5.300000190734863
2015-08-28,5.300000190734863
2015-08-31,5.21999979019165
2015-09-01,5.199999809265137
2015-09-02,5.099999904632568
2015-09-03,5.099999904632568
2015-09-04,5.0
2015-09-07,4.900000095367432
2015-09-08,4.900000095367432
2015-09-09,4.800000190734863
2015-09-10,4.599999904632568
2015-09-11,4.599999904632568
2015-09-14,4.449999809265137
2015-09-15,4.199999809265137
2015-09-16,4.400000095367432
2015-09-17,4.449999809265137
2015-09-18,4.550000190734863
2015-09-21,4.550000190734863
2015-09-22,4.190000057220459
2015-09-23,4.190000057220459
2015-09-24,4.190000057220459
2015-09-25,4.190000057220459
2015-09-28,4.199999809265137
2015-09-29,4.0
2015-09-30,4.0
2015-10-01,4.25
2015-10-02,4.400000095367432
2015-10-05,4.599999904632568
2015-10-06,4.599999904632568
2015-10-07,4.599999904632568
2015-10-08,4.599999904632568
2015-10-09,4.099999904632568
2015-10-13,4.150000095367432
2015-10-14,4.150000095367432
2015-10-15,4.349999904632568
2015-10-16,4.349999904632568
2015-10-19,4.349999904632568
2015-10-20,4.349999904632568
2015-10-21,4.349999904632568
2015-10-22,4.349999904632568
2015-10-23,4.5
2015-10-26,4.5
2015-10-27,4.800000190734863
2015-10-28,5.5
2015-10-29,6.0
2015-10-30,6.599999904632568
2015-11-02,7.75
2015-11-03,7.599999904632568
2015-11-04,7.5
2015-11-05,7.400000095367432
2015-11-09,7.980000019073486
2015-11-10,7.900000095367432
2015-11-11,8.050000190734863
2015-11-12,7.800000190734863
2015-11-13,7.550000190734863
2015-11-16,7.849999904632568
2015-11-17,7.670000076293945
2015-11-18,7.25
2015-11-19,7.25
2015-11-20,8.100000381469727
2015-11-24,8.050000190734863
2015-11-25,7.699999809265137
2015-11-26,7.599999904632568
2015-11-27,7.599999904632568
2015-11-30,8.350000381469727
2015-12-01,9.75
2015-12-02,10.800000190734863
