Date,NLCINDIA.NS
2015-08-21,49.0284309387207
2015-08-24,43.70915985107422
2015-08-25,44.43864822387695
2015-08-26,43.89152908325195
2015-08-27,44.894596099853516
2015-08-28,45.04657745361328
2015-08-31,45.198551177978516
2015-09-01,45.016178131103516
2015-09-02,45.41132354736328
2015-09-03,45.62409210205078
2015-09-04,44.28667449951172
2015-09-07,43.64836883544922
2015-09-08,44.234046936035156
2015-09-09,44.81972885131836
2015-09-10,44.41899490356445
2015-09-11,44.881378173828125
2015-09-14,45.09714889526367
2015-09-15,44.7580680847168
2015-09-16,44.54229736328125
2015-09-18,45.282100677490234
2015-09-21,45.52870178222656
2015-09-22,45.2204475402832
2015-09-23,45.4670524597168
2015-09-24,45.5903434753418
2015-09-28,45.343746185302734
2015-09-29,44.881378173828125
2015-09-30,44.60394287109375
2015-10-01,44.850547790527344
2015-10-05,45.49787902832031
2015-10-06,47.90222930908203
2015-10-07,49.2585334777832
2015-10-08,49.1352424621582
2015-10-09,48.025535583496094
2015-10-12,48.70368194580078
2015-10-13,48.6728630065918
2015-10-14,49.10441970825195
2015-10-15,50.79979705810547
2015-10-16,50.029170989990234
2015-10-19,49.38184356689453
2015-10-20,49.75174331665039
2015-10-21,49.41266632080078
2015-10-23,49.50514602661133
2015-10-26,49.53596496582031
2015-10-27,49.5667839050293
2015-10-28,49.22772216796875
2015-10-29,49.19688415527344
2015-10-30,49.289371490478516
2015-11-02,49.5667839050293
2015-11-03,49.75174331665039
2015-11-04,49.813392639160156
2015-11-05,51.07722091674805
2015-11-06,49.69009017944336
2015-11-09,49.813392639160156
2015-11-10,48.76533126831055
2015-11-13,48.76533126831055
2015-11-16,48.91946029663086
2015-11-17,48.79616928100586
2015-11-18,48.549556732177734
2015-11-19,48.73452377319336
2015-11-20,49.47431945800781
2015-11-23,49.10441970825195
2015-11-24,50.39906692504883
2015-11-26,50.42989730834961
2015-11-27,49.41266632080078
2015-11-30,50.923095703125
2015-12-01,53.26580810546875
2015-12-02,52.71095275878906
2015-12-03,51.44711685180664
2015-12-04,50.27577590942383
2015-12-07,49.1352424621582
2015-12-08,49.35100555419922
2015-12-09,48.88864517211914
2015-12-10,50.029170989990234
2015-12-11,50.152469635009766
2015-12-14,49.813392639160156
2015-12-15,49.78257369995117
2015-12-16,49.75174331665039
2015-12-17,50.953922271728516
2015-12-18,50.33741760253906
2015-12-21,51.01557159423828
2015-12-22,52.032806396484375
2015-12-23,50.522377014160156
2015-12-24,49.443485260009766
2015-12-28,49.75174331665039
2015-12-29,49.84421157836914
2015-12-30,49.50514602661133
2015-12-31,50.36824035644531
2016-01-01,50.33741760253906
2016-01-04,49.96751022338867
2016-01-05,51.16969680786133
2016-01-06,51.385475158691406
2016-01-07,49.38184356689453
2016-01-08,50.090824127197266
2016-01-11,49.50514602661133
2016-01-12,49.1352424621582
2016-01-13,48.42626190185547
2016-01-14,48.27213668823242
2016-01-15,47.25489807128906
2016-01-18,45.68282699584961
2016-01-19,46.0527229309082
2016-01-20,44.94301986694336
2016-01-21,45.00467300415039
2016-01-22,45.621177673339844
2016-01-25,45.867767333984375
2016-01-27,46.70005798339844
2016-01-28,44.788902282714844
2016-01-29,44.7580680847168
2016-02-01,46.33015823364258
2016-02-02,44.079917907714844
2016-02-03,42.9085693359375
2016-02-04,43.031864166259766
2016-02-05,44.01826858520508
2016-02-08,43.401771545410156
2016-02-09,43.34012222290039
2016-02-10,43.12434005737305
2016-02-11,42.24231719970703
2016-02-12,41.265804290771484
2016-02-15,42.1478271484375
2016-02-16,41.83281707763672
2016-02-17,41.265804290771484
2016-02-18,41.423309326171875
2016-02-19,41.612308502197266
2016-02-22,41.454811096191406
2016-02-23,45.64439010620117
2016-02-24,42.55733108520508
2016-02-25,42.02180862426758
2016-02-26,41.20280075073242
2016-02-29,40.41529083251953
2016-03-01,39.31276321411133
2016-03-02,39.7852783203125
2016-03-03,40.3522834777832
2016-03-04,40.25778579711914
2016-03-08,41.36030197143555
2016-03-09,41.92731857299805
2016-03-10,41.83281707763672
2016-03-11,41.17129898071289
2016-03-14,41.17131042480469
2016-03-15,41.07637405395508
2016-03-16,41.04471206665039
2016-03-17,41.804222106933594
2016-03-18,42.02573776245117
2016-03-21,42.595375061035156
2016-03-22,42.658668518066406
2016-03-23,47.46883773803711
2016-03-28,44.81058120727539
2016-03-29,44.146018981933594
2016-03-30,44.68399429321289
2016-03-31,45.032100677490234
2016-04-01,44.68399429321289
2016-04-04,44.81058120727539
2016-04-05,43.63968276977539
2016-04-06,44.146018981933594
2016-04-07,44.114376068115234
2016-04-08,44.39917755126953
2016-04-11,44.335906982421875
2016-04-12,44.43082809448242
2016-04-13,44.96881103515625
2016-04-18,44.71564865112305
2016-04-20,44.81058120727539
2016-04-21,44.937164306640625
2016-04-22,45.19032669067383
2016-04-25,44.589054107666016
2016-04-26,45.06374740600586
2016-04-27,44.905517578125
2016-04-28,44.335906982421875
2016-04-29,44.2409553527832
2016-05-02,42.94346618652344
2016-05-03,43.35487365722656
2016-05-04,43.16498565673828
2016-05-05,43.16498565673828
2016-05-06,42.88018035888672
2016-05-09,43.10169982910156
2016-05-10,43.19664001464844
2016-05-11,43.16498565673828
2016-05-12,43.32322692871094
2016-05-13,43.10169982910156
2016-05-16,43.19664001464844
2016-05-17,44.30424499511719
2016-05-18,44.114376068115234
2016-05-19,43.702980041503906
2016-05-20,43.41816329956055
2016-05-23,43.19664001464844
2016-05-24,45.285274505615234
2016-05-25,44.114376068115234
2016-05-26,44.873878479003906
