Date,BBTC.NS
2015-08-21,547.2830810546875
2015-08-24,451.8690185546875
2015-08-25,460.400390625
2015-08-26,457.164306640625
2015-08-27,468.14727783203125
2015-08-28,468.98077392578125
2015-08-31,463.4403076171875
2015-09-01,451.4277648925781
2015-09-02,451.67291259765625
2015-09-03,457.99786376953125
2015-09-04,442.3570556640625
2015-09-07,438.18939208984375
2015-09-08,436.3752136230469
2015-09-09,440.1996154785156
2015-09-10,436.6694030761719
2015-09-11,444.0240478515625
2015-09-14,445.9363098144531
2015-09-15,455.98760986328125
2015-09-16,453.388916015625
2015-09-18,455.2521667480469
2015-09-21,455.84051513671875
2015-09-22,448.9271240234375
2015-09-23,450.69232177734375
2015-09-24,449.711669921875
2015-09-28,454.4185485839844
2015-09-29,453.92828369140625
2015-09-30,471.9226379394531
2015-10-01,473.0504150390625
2015-10-05,488.15185546875
2015-10-06,478.1495666503906
2015-10-07,473.5897216796875
2015-10-08,478.1495666503906
2015-10-09,509.2351379394531
2015-10-12,504.6754150390625
2015-10-13,500.89990234375
2015-10-14,506.58746337890625
2015-10-15,514.3834838867188
2015-10-16,504.7243347167969
2015-10-19,508.6958923339844
2015-10-20,503.25341796875
2015-10-21,507.1268615722656
2015-10-23,499.428955078125
2015-10-26,495.3594055175781
2015-10-27,493.3491516113281
2015-10-28,492.221435546875
2015-10-29,488.9364013671875
2015-10-30,488.7402038574219
2015-11-02,484.8667907714844
2015-11-03,489.13250732421875
2015-11-04,510.2158508300781
2015-11-05,501.73345947265625
2015-11-06,495.2613220214844
2015-11-09,490.0640869140625
2015-11-10,484.47454833984375
2015-11-13,479.71856689453125
2015-11-16,472.5600280761719
2015-11-17,486.4848327636719
2015-11-18,484.2294006347656
2015-11-19,486.09259033203125
2015-11-20,484.81781005859375
2015-11-23,484.47454833984375
2015-11-24,476.7276611328125
2015-11-26,475.8941955566406
2015-11-27,474.96258544921875
2015-11-30,478.54180908203125
2015-12-01,479.9146728515625
2015-12-02,485.21002197265625
2015-12-03,488.49505615234375
2015-12-04,475.697998046875
2015-12-07,473.83489990234375
2015-12-08,458.3901062011719
2015-12-09,439.4642028808594
2015-12-10,440.34674072265625
2015-12-11,429.70703125
2015-12-14,433.0901794433594
2015-12-15,434.9042663574219
2015-12-16,436.17913818359375
2015-12-17,458.4881591796875
2015-12-18,453.4380187988281
2015-12-21,452.898681640625
2015-12-22,461.92034912109375
2015-12-23,464.0286865234375
2015-12-24,462.1164855957031
2015-12-28,466.5782775878906
2015-12-29,475.7470397949219
2015-12-30,481.67987060546875
2015-12-31,488.3479919433594
2016-01-01,483.1997985839844
2016-01-04,473.5897216796875
2016-01-05,482.7095031738281
2016-01-06,479.9637756347656
2016-01-07,459.9100646972656
2016-01-08,462.16546630859375
2016-01-11,457.8997802734375
2016-01-12,452.898681640625
2016-01-13,435.7378234863281
2016-01-14,432.6979064941406
2016-01-15,417.05706787109375
2016-01-18,402.1516418457031
2016-01-19,406.1721496582031
2016-01-20,388.52105712890625
2016-01-21,387.34429931640625
2016-01-22,395.6795654296875
2016-01-25,395.7776184082031
2016-01-27,398.37628173828125
2016-01-28,394.0615539550781
2016-01-29,399.1607360839844
2016-02-01,410.5849914550781
2016-02-02,409.4572448730469
2016-02-03,398.719482421875
2016-02-04,400.5335998535156
2016-02-05,399.89617919921875
2016-02-08,394.64990234375
2016-02-09,383.8631286621094
2016-02-10,367.7809143066406
2016-02-11,329.3407287597656
2016-02-12,314.4843444824219
2016-02-15,341.2062683105469
2016-02-16,325.2221374511719
2016-02-17,326.7420959472656
2016-02-18,333.802490234375
2016-02-19,345.86419677734375
2016-02-22,354.4936218261719
2016-02-23,339.39202880859375
2016-02-24,330.6154479980469
2016-02-25,322.2802734375
2016-02-26,329.04644775390625
2016-02-29,323.8002014160156
2016-03-01,336.3521728515625
2016-03-02,342.77520751953125
2016-03-03,347.38409423828125
2016-03-04,365.96685791015625
2016-03-08,353.9051818847656
2016-03-09,359.641845703125
2016-03-10,358.8083190917969
