Date,NH.NS
2016-01-06,331.2363586425781
2016-01-07,325.09234619140625
2016-01-08,321.8482666015625
2016-01-11,321.9465637207031
2016-01-12,326.17364501953125
2016-01-13,319.4398498535156
2016-01-14,314.6720275878906
2016-01-15,301.4010009765625
2016-01-18,294.2247314453125
2016-01-19,299.43487548828125
2016-01-20,296.09259033203125
2016-01-21,306.5127868652344
2016-01-22,311.57550048828125
2016-01-25,324.60076904296875
2016-01-27,328.2872009277344
2016-01-28,324.9939880371094
2016-01-29,327.9922790527344
2016-02-01,325.09234619140625
2016-02-02,326.1244812011719
2016-02-03,315.2618713378906
2016-02-04,316.4415283203125
2016-02-05,315.3110046386719
2016-02-08,322.8312683105469
2016-02-09,327.59906005859375
2016-02-10,315.6551208496094
2016-02-11,289.50616455078125
2016-02-12,281.64178466796875
2016-02-15,289.7519226074219
2016-02-16,285.5740051269531
2016-02-17,285.1807556152344
2016-02-18,285.52484130859375
2016-02-19,285.279052734375
2016-02-22,284.836669921875
2016-02-23,283.4112854003906
2016-02-24,280.4129638671875
2016-02-25,283.2146911621094
2016-02-26,279.6265869140625
2016-02-29,275.1536865234375
2016-03-01,290.390869140625
2016-03-02,293.68408203125
2016-03-03,294.6671142578125
2016-03-04,291.8162841796875
2016-03-08,293.78240966796875
2016-03-09,292.06207275390625
2016-03-10,288.6214294433594
2016-03-11,284.05023193359375
2016-03-14,288.8671875
2016-03-15,288.7688903808594
2016-03-16,290.4400634765625
2016-03-17,290.8332824707031
2016-03-18,288.6705627441406
2016-03-21,292.6519470214844
2016-03-22,289.2112731933594
2016-03-23,287.98248291015625
2016-03-28,280.167236328125
2016-03-29,279.1841735839844
2016-03-30,282.1824951171875
2016-03-31,281.4451904296875
2016-04-01,285.1807556152344
2016-04-04,284.73834228515625
2016-04-05,291.1773376464844
2016-04-06,296.48577880859375
2016-04-07,294.3722229003906
2016-04-08,290.7349548339844
2016-04-11,294.76544189453125
2016-04-12,294.47052001953125
2016-04-13,290.4892578125
2016-04-18,291.128173828125
2016-04-20,291.02984619140625
2016-04-21,297.22308349609375
