Date,AEP
2015-08-03,39.943878173828125
2015-08-04,39.474876403808594
2015-08-05,39.656883239746094
2015-08-06,39.755802154541016
2015-08-07,40.11619567871094
2015-08-10,40.07380676269531
2015-08-11,40.1727294921875
2015-08-12,40.6815071105957
2015-08-13,40.667381286621094
2015-08-14,41.12669372558594
2015-08-17,41.23270034790039
2015-08-18,41.176170349121094
2015-08-19,41.55067825317383
2015-08-20,41.246829986572266
2015-08-21,40.48366165161133
2015-08-24,38.74531173706055
2015-08-25,37.46628189086914
2015-08-26,38.16585159301758
2015-08-27,38.80183792114258
2015-08-28,38.79476547241211
2015-08-31,38.363712310791016
2015-09-01,37.445072174072266
2015-09-02,37.45921325683594
2015-09-03,37.6994743347168
2015-09-04,37.127098083496094
2015-09-08,38.21532440185547
2015-09-09,37.71360397338867
2015-09-10,37.72773742675781
2015-09-11,38.003326416015625
2015-09-14,37.93266677856445
2015-09-15,38.05278396606445
2015-09-16,38.60397720336914
2015-09-17,39.48021697998047
2015-09-18,39.20461654663086
2015-09-21,39.289432525634766
2015-09-22,38.66758346557617
2015-09-23,38.879573822021484
2015-09-24,39.190486907958984
2015-09-25,39.56502151489258
2015-09-28,39.473148345947266
2015-09-29,39.6639404296875
2015-09-30,40.1797981262207
2015-10-01,39.67100143432617
2015-10-02,39.79819869995117
2015-10-05,40.60378646850586
2015-10-06,40.010196685791016
2015-10-07,39.600345611572266
2015-10-08,40.186859130859375
2015-10-09,40.095001220703125
2015-10-12,40.67444610595703
2015-10-13,40.73804473876953
2015-10-14,41.09135437011719
2015-10-15,41.49414825439453
2015-10-16,41.366947174072266
2015-10-19,41.40228271484375
2015-10-20,41.451744079589844
2015-10-21,41.64960861206055
2015-10-22,41.81214141845703
2015-10-23,40.6179084777832
2015-10-26,40.85816955566406
2015-10-27,40.752166748046875
2015-10-28,40.32819366455078
2015-10-29,39.72048568725586
2015-10-30,40.03139877319336
2015-11-02,40.20098114013672
2015-11-03,40.1020622253418
2015-11-04,40.07380676269531
2015-11-05,39.918338775634766
2015-11-06,38.51230239868164
2015-11-09,38.847755432128906
2015-11-10,39.325950622558594
2015-11-11,39.65425491333008
2015-11-12,39.48297119140625
2015-11-13,39.29739761352539
2015-11-16,40.11819076538086
2015-11-17,39.29025650024414
2015-11-18,39.54718780517578
2015-11-19,40.19668197631836
2015-11-20,40.35371398925781
2015-11-23,39.961158752441406
2015-11-24,39.818416595458984
2015-11-25,39.6899528503418
2015-11-27,39.92546844482422
2015-11-30,39.975440979003906
2015-12-01,40.489315032958984
2015-12-02,39.490108489990234
2015-12-03,39.04046630859375
2015-12-04,39.85410690307617
2015-12-07,40.146728515625
2015-12-08,39.88265609741211
2015-12-09,40.146728515625
2015-12-10,39.16893005371094
2015-12-11,38.9405403137207
2015-12-14,38.92626190185547
2015-12-15,39.99684524536133
2015-12-16,40.689151763916016
2015-12-17,40.981773376464844
2015-12-18,40.16813278198242
2015-12-21,40.360843658447266
2015-12-22,40.83189010620117
2015-12-23,41.57416534423828
2015-12-24,41.68123245239258
2015-12-28,41.82395553588867
2015-12-29,42.03095245361328
2015-12-30,42.038082122802734
2015-12-31,41.588436126708984
2016-01-04,41.63125991821289
2016-01-05,41.97384262084961
2016-01-06,42.130863189697266
2016-01-07,41.64553451538086
2016-01-08,41.581298828125
2016-01-11,41.9453010559082
2016-01-12,41.51707458496094
2016-01-13,41.360042572021484
2016-01-14,42.20936584472656
2016-01-15,41.8881950378418
2016-01-19,42.51626968383789
2016-01-20,41.33864212036133
2016-01-21,41.138797760009766
2016-01-22,41.77400207519531
2016-01-25,41.21730422973633
2016-01-26,41.538475036621094
2016-01-27,41.53133773803711
2016-01-28,42.430633544921875
2016-01-29,43.51548767089844
2016-02-01,44.10072708129883
2016-02-02,44.2506103515625
2016-02-03,45.18558883666992
2016-02-04,44.457584381103516
2016-02-05,44.85013198852539
2016-02-08,45.00136947631836
2016-02-09,44.914947509765625
2016-02-10,45.296627044677734
2016-02-11,44.151611328125
2016-02-12,43.640316009521484
2016-02-16,43.99317932128906
2016-02-17,44.00038528442383
2016-02-18,44.972564697265625
2016-02-19,44.58368682861328
2016-02-22,45.2606086730957
2016-02-23,45.1958122253418
2016-02-24,45.375831604003906
2016-02-25,46.00955581665039
2016-02-26,44.2668342590332
2016-02-29,44.468467712402344
2016-03-01,44.45406723022461
2016-03-02,44.56928253173828
2016-03-03,44.48286437988281
2016-03-04,44.958168029785156
2016-03-07,45.541473388671875
2016-03-08,45.80791473388672
2016-03-09,46.30481719970703
2016-03-10,46.18238830566406
2016-03-11,46.2544059753418
2016-03-14,46.24720764160156
2016-03-15,46.38404083251953
2016-03-16,46.90251159667969
2016-03-17,47.11857604980469
2016-03-18,46.657684326171875
2016-03-21,46.664878845214844
2016-03-22,46.64328384399414
2016-03-23,46.86652374267578
2016-03-24,46.852115631103516
2016-03-28,46.80890655517578
2016-03-29,47.550655364990234
2016-03-30,47.543460845947266
2016-03-31,47.817100524902344
2016-04-01,48.25638961791992
2016-04-04,47.94672393798828
2016-04-05,47.09696578979492
2016-04-06,47.262596130371094
2016-04-07,47.168975830078125
2016-04-08,47.5362548828125
2016-04-11,47.29860305786133
2016-04-12,47.75227737426758
2016-04-13,47.37782287597656
2016-04-14,47.23379898071289
2016-04-15,47.565059661865234
2016-04-18,47.701873779296875
2016-04-19,47.413818359375
2016-04-20,45.872737884521484
2016-04-21,44.835731506347656
2016-04-22,45.1814079284668
2016-04-25,45.2318115234375
2016-04-26,45.296627044677734
2016-04-27,46.03837203979492
