Date,FLS.CO
2015-08-24,235.8876953125
2015-08-25,212.4358673095703
2015-08-26,203.1064910888672
2015-08-27,207.98513793945312
2015-08-28,215.68832397460938
2015-08-31,215.5171356201172
2015-09-01,214.4900360107422
2015-09-02,217.74246215820312
2015-09-03,213.2061767578125
2015-09-04,207.64279174804688
2015-09-07,203.27767944335938
2015-09-08,208.1563262939453
2015-09-09,210.55287170410156
2015-09-10,205.8453826904297
2015-09-11,203.70562744140625
2015-09-14,201.5658721923828
2015-09-15,200.02523803710938
2015-09-16,206.0165557861328
2015-09-17,204.1335906982422
2015-09-18,196.43040466308594
2015-09-21,196.68719482421875
2015-09-22,191.20938110351562
2015-09-23,188.4705047607422
2015-09-24,189.32640075683594
2015-09-25,192.9211883544922
2015-09-28,186.8442840576172
2015-09-29,187.52899169921875
2015-09-30,189.58316040039062
2015-10-01,195.14654541015625
2015-10-02,200.881103515625
2015-10-05,208.84104919433594
2015-10-06,208.58428955078125
2015-10-07,216.97216796875
2015-10-08,218.51280212402344
2015-10-09,230.2387237548828
2015-10-12,227.6709747314453
2015-10-13,220.73814392089844
2015-10-14,223.81942749023438
2015-10-15,224.07615661621094
2015-10-16,222.02200317382812
2015-10-19,218.51280212402344
2015-10-20,220.0534210205078
2015-10-21,217.22894287109375
2015-10-22,218.25601196289062
2015-10-23,222.7923126220703
2015-10-26,220.90933227539062
2015-10-27,216.37303161621094
2015-10-28,219.62548828125
2015-10-29,217.4001007080078
2015-10-30,219.79664611816406
2015-11-02,225.53121948242188
2015-11-03,227.32861328125
2015-11-04,233.40554809570312
2015-11-05,230.2387237548828
2015-11-06,232.29286193847656
2015-11-09,232.5496368408203
2015-11-10,224.07615661621094
2015-11-11,230.1531524658203
2015-11-12,215.5171356201172
2015-11-13,214.74681091308594
2015-11-16,213.71971130371094
2015-11-17,218.598388671875
2015-11-18,218.25601196289062
2015-11-19,218.25601196289062
2015-11-20,217.65689086914062
2015-11-23,219.28309631347656
2015-11-24,217.8280487060547
2015-11-25,221.3372802734375
2015-11-26,219.96783447265625
2015-11-27,219.197509765625
2015-11-30,219.7110595703125
2015-12-01,220.3957977294922
2015-12-02,219.11192321777344
2015-12-03,219.11192321777344
2015-12-04,214.91798400878906
2015-12-07,215.34593200683594
2015-12-08,208.2418975830078
2015-12-09,206.44448852539062
2015-12-10,205.7598114013672
2015-12-11,200.3675994873047
2015-12-14,199.51170349121094
2015-12-15,198.39901733398438
2015-12-16,201.05230712890625
2015-12-17,197.71429443359375
2015-12-18,199.93963623046875
2015-12-21,199.68287658691406
2015-12-22,201.6514434814453
2015-12-23,209.6969757080078
2015-12-28,208.07073974609375
2015-12-29,207.81399536132812
2015-12-30,207.81399536132812
2016-01-04,195.91685485839844
2016-01-05,191.63734436035156
2016-01-06,191.63734436035156
2016-01-07,189.24082946777344
2016-01-08,189.24082946777344
2016-01-11,193.86270141601562
2016-01-12,190.2678985595703
2016-01-13,194.20506286621094
2016-01-14,194.11949157714844
2016-01-15,187.27223205566406
2016-01-18,183.420654296875
2016-01-19,186.58750915527344
2016-01-20,184.61891174316406
2016-01-21,187.87135314941406
2016-01-22,200.281982421875
2016-01-25,196.6016082763672
2016-01-26,197.37193298339844
2016-01-27,201.82264709472656
2016-01-28,201.1378936767578
2016-01-29,205.58860778808594
2016-02-01,201.05230712890625
2016-02-02,195.31771850585938
2016-02-03,192.66445922851562
2016-02-04,198.65579223632812
2016-02-05,199.68287658691406
2016-02-08,191.72293090820312
2016-02-09,184.01976013183594
2016-02-10,185.81719970703125
2016-02-11,187.18661499023438
2016-02-12,197.8854522705078
2016-02-15,207.98513793945312
2016-02-16,213.71971130371094
2016-02-17,219.96783447265625
2016-02-18,218.76956176757812
2016-02-19,212.17906188964844
2016-02-22,216.45863342285156
2016-02-23,213.8052978515625
2016-02-24,206.44448852539062
2016-02-25,208.2418975830078
2016-02-26,215.26034545898438
2016-02-29,217.8280487060547
2016-03-01,217.5712890625
2016-03-02,214.14767456054688
2016-03-03,223.39144897460938
2016-03-04,223.64822387695312
2016-03-07,222.70675659179688
2016-03-08,216.88656616210938
2016-03-09,218.94073486328125
2016-03-10,219.96783447265625
2016-03-11,223.81942749023438
2016-03-14,222.27880859375
2016-03-15,218.85516357421875
2016-03-16,218.08485412597656
2016-03-17,223.22024536132812
2016-03-18,227.84217834472656
2016-03-21,229.12603759765625
2016-03-22,227.92774963378906
2016-03-23,231.8649444580078
2016-03-29,231.8649444580078
2016-03-30,238.3697967529297
2016-03-31,234.9462127685547
2016-04-01,236.6580047607422
2016-04-04,236.14442443847656
2016-04-05,229.04043579101562
2016-04-06,228.4321746826172
2016-04-07,223.56637573242188
2016-04-08,227.73712158203125
2016-04-11,227.38955688476562
2016-04-12,226.6944122314453
2016-04-13,229.64866638183594
