Date,ROUTE.NS
2020-09-21,632.3939208984375
2020-09-22,674.0972900390625
2020-09-23,800.323486328125
2020-09-24,877.3699951171875
2020-09-25,911.5482788085938
2020-09-28,892.9542846679688
2020-09-29,803.6732788085938
2020-09-30,783.3313598632812
2020-10-01,760.7078857421875
2020-10-05,803.3821411132812
2020-10-06,783.234375
2020-10-07,761.7759399414062
2020-10-08,775.7093505859375
2020-10-09,765.1256713867188
2020-10-12,742.890380859375
2020-10-13,755.5617065429688
2020-10-14,750.1727294921875
2020-10-15,741.7738037109375
2020-10-16,687.83642578125
2020-10-19,694.9730834960938
2020-10-20,699.439453125
2020-10-21,730.8504638671875
2020-10-22,797.9931640625
2020-10-23,779.8845825195312
2020-10-26,772.3595581054688
2020-10-27,805.566650390625
2020-10-28,886.1087036132812
2020-10-29,921.597900390625
2020-10-30,968.2531127929688
2020-11-02,1065.0587158203125
2020-11-03,1011.8497314453125
2020-11-04,961.2620239257812
2020-11-05,913.1987915039062
2020-11-06,899.3140869140625
2020-11-09,906.402099609375
2020-11-10,888.002197265625
2020-11-11,874.5542602539062
2020-11-12,897.1293334960938
2020-11-13,892.7599487304688
2020-11-14,906.4992065429688
2020-11-17,913.6358642578125
2020-11-18,904.1690063476562
2020-11-19,917.8596801757812
2020-11-20,963.7379760742188
2020-11-23,947.134521484375
2020-11-24,958.2034912109375
2020-11-25,928.4915771484375
2020-11-26,974.9042358398438
2020-11-27,1023.64697265625
2020-12-01,1074.81689453125
2020-12-02,1071.7099609375
2020-12-03,1125.259521484375
2020-12-04,1181.478759765625
2020-12-07,1151.71826171875
2020-12-08,1157.7867431640625
2020-12-09,1161.622314453125
2020-12-10,1102.68408203125
2020-12-11,1093.556884765625
2020-12-14,1077.681640625
2020-12-15,1084.1868896484375
2020-12-16,1092.7801513671875
2020-12-17,1091.177978515625
2020-12-18,1125.0164794921875
2020-12-21,1038.6968994140625
2020-12-22,1031.4149169921875
2020-12-23,1092.2947998046875
2020-12-24,1088.4591064453125
2020-12-28,1113.8502197265625
2020-12-29,1096.6639404296875
2020-12-30,1075.2540283203125
2020-12-31,1066.709716796875
2021-01-01,1079.720703125
2021-01-04,1151.8153076171875
2021-01-05,1140.4549560546875
2021-01-06,1164.5350341796875
2021-01-07,1151.0870361328125
2021-01-08,1169.6812744140625
2021-01-11,1154.2913818359375
2021-01-12,1137.6390380859375
2021-01-13,1108.5582275390625
2021-01-14,1147.494384765625
2021-01-15,1115.8406982421875
2021-01-18,1090.546875
2021-01-19,1112.976318359375
2021-01-20,1150.35888671875
2021-01-21,1164.632080078125
2021-01-22,1179.2454833984375
2021-01-25,1203.1798095703125
2021-01-27,1232.79443359375
2021-01-28,1114.6756591796875
2021-01-29,1101.2275390625
2021-02-01,1108.9952392578125
2021-02-02,1086.71142578125
2021-02-03,1097.8775634765625
2021-02-04,1097.1494140625
2021-02-05,1124.2880859375
2021-02-08,1159.146240234375
2021-02-09,1189.24609375
