Date,BHARATFORG.NS
2015-08-21,565.5287475585938
2015-08-24,518.28564453125
2015-08-25,539.8441162109375
2015-08-26,513.6492309570312
2015-08-27,546.960693359375
2015-08-28,548.3282470703125
2015-08-31,541.4666137695312
2015-09-01,524.3126831054688
2015-09-02,516.59326171875
2015-09-03,523.2230834960938
2015-09-04,499.46234130859375
2015-09-07,470.8335266113281
2015-09-08,473.75439453125
2015-09-09,488.6366882324219
2015-09-10,473.9166564941406
2015-09-11,477.8574523925781
2015-09-14,475.7480163574219
2015-09-15,444.3606262207031
2015-09-16,435.8763122558594
2015-09-18,429.1306457519531
2015-09-21,418.4440002441406
2015-09-22,421.96759033203125
2015-09-23,425.32879638671875
2015-09-24,418.6758728027344
2015-09-28,420.62298583984375
2015-09-29,415.7086486816406
2015-09-30,420.7621154785156
2015-10-01,429.6173400878906
2015-10-05,439.63165283203125
2015-10-06,432.0745544433594
2015-10-07,432.0281982421875
2015-10-08,431.40234375
2015-10-09,439.7939147949219
2015-10-12,443.3638000488281
2015-10-13,433.46539306640625
2015-10-14,412.8109436035156
2015-10-15,410.4464416503906
2015-10-16,415.6390380859375
2015-10-19,415.5
2015-10-20,432.65411376953125
2015-10-21,429.43194580078125
2015-10-23,427.6005554199219
2015-10-26,418.1426086425781
2015-10-27,423.8915710449219
2015-10-28,402.402587890625
2015-10-29,377.5291748046875
2015-10-30,398.41546630859375
2015-11-02,399.25
2015-11-03,396.7696533203125
2015-11-04,401.4521789550781
2015-11-05,399.0413818359375
2015-11-06,401.7071533203125
2015-11-09,408.3833312988281
2015-11-10,408.5456848144531
2015-11-13,416.450439453125
2015-11-16,412.1387023925781
2015-11-17,407.57196044921875
2015-11-18,390.7888488769531
2015-11-19,398.62408447265625
2015-11-20,403.4689636230469
2015-11-23,410.6550598144531
2015-11-24,406.8765563964844
2015-11-26,398.22998046875
2015-11-27,395.4482421875
2015-11-30,395.42510986328125
2015-12-01,393.0605163574219
2015-12-02,392.96783447265625
2015-12-03,401.1044616699219
2015-12-04,389.30523681640625
2015-12-07,385.31805419921875
2015-12-08,383.74176025390625
2015-12-09,367.8394470214844
2015-12-10,372.5220031738281
2015-12-11,371.363037109375
2015-12-14,368.30303955078125
2015-12-15,381.37725830078125
2015-12-16,389.7224426269531
2015-12-17,389.0502014160156
2015-12-18,386.8016052246094
2015-12-21,396.14373779296875
2015-12-22,400.8958740234375
2015-12-23,394.8687438964844
2015-12-24,398.8326416015625
2015-12-28,419.44073486328125
2015-12-29,414.10906982421875
2015-12-30,415.3145446777344
2015-12-31,413.5528259277344
2016-01-01,411.5592041015625
2016-01-04,403.770263671875
2016-01-05,397.5345153808594
2016-01-06,406.2969665527344
2016-01-07,382.32769775390625
2016-01-08,385.5035095214844
2016-01-11,383.5563049316406
2016-01-12,378.1318359375
2016-01-13,379.0591125488281
2016-01-14,378.7346496582031
2016-01-15,367.5381164550781
2016-01-18,359.7259826660156
2016-01-19,366.30950927734375
2016-01-20,359.1927795410156
2016-01-21,361.67327880859375
2016-01-22,370.1806640625
2016-01-25,377.0191955566406
2016-01-27,383.20855712890625
2016-01-28,380.6354064941406
2016-01-29,386.4538879394531
2016-02-01,389.42108154296875
2016-02-02,378.0854797363281
2016-02-03,366.9585876464844
2016-02-04,367.4454345703125
2016-02-05,357.61651611328125
2016-02-08,357.57012939453125
2016-02-09,360.6996154785156
2016-02-10,363.06414794921875
2016-02-11,354.8115539550781
2016-02-12,345.4000549316406
2016-02-15,364.31591796875
2016-02-16,359.2623291015625
2016-02-17,365.406005859375
2016-02-18,358.58758544921875
2016-02-19,359.1693115234375
2016-02-22,366.0574951171875
2016-02-23,357.0282897949219
2016-02-24,353.165283203125
2016-02-25,343.0655212402344
2016-02-26,345.8348083496094
2016-02-29,347.3939514160156
2016-03-01,361.17059326171875
2016-03-02,367.8028869628906
2016-03-03,384.7676696777344
2016-03-04,380.718505859375
2016-03-08,373.7371826171875
2016-03-09,384.7910461425781
2016-03-10,382.2777099609375
2016-03-11,379.99713134765625
2016-03-14,378.9964599609375
2016-03-15,374.2026062011719
2016-03-16,377.25103759765625
2016-03-17,384.1859436035156
2016-03-18,397.0942687988281
2016-03-21,409.60498046875
2016-03-22,410.51702880859375
2016-03-23,415.544677734375
2016-03-28,411.00811767578125
2016-03-29,417.1582946777344
2016-03-30,416.17608642578125
2016-03-31,408.3422546386719
2016-04-01,403.4782409667969
2016-04-04,396.1354675292969
2016-04-05,388.2782897949219
2016-04-06,368.61187744140625
2016-04-07,363.1865539550781
2016-04-08,360.076416015625
2016-04-11,363.1631774902344
2016-04-12,376.4222412109375
2016-04-13,388.2080993652344
2016-04-18,389.35394287109375
2016-04-20,382.104736328125
2016-04-21,384.3262023925781
2016-04-22,381.44989013671875
2016-04-25,371.488037109375
2016-04-26,377.2640686035156
2016-04-27,375.5570068359375
2016-04-28,370.8800964355469
2016-04-29,373.2652587890625
2016-05-02,378.3631286621094
2016-05-03,372.9847106933594
2016-05-04,362.6955261230469
2016-05-05,364.9169616699219
2016-05-06,364.589599609375
2016-05-09,369.781005859375
2016-05-10,367.60614013671875
2016-05-11,365.08074951171875
2016-05-12,362.1810607910156
2016-05-13,351.3772888183594
2016-05-16,352.523193359375
2016-05-17,351.0499572753906
2016-05-18,344.24505615234375
2016-05-19,336.01361083984375
2016-05-20,336.08380126953125
2016-05-23,333.2308654785156
2016-05-24,339.6849670410156
2016-05-25,346.77056884765625
2016-05-26,351.4241027832031
2016-05-27,348.2906188964844
2016-05-30,348.6881408691406
2016-05-31,353.2948913574219
