Date,SBIETFQLTY.NS
2018-12-10,100.0
2018-12-11,100.0
2018-12-12,100.0
2018-12-13,100.0
2018-12-14,95.59829711914062
2018-12-17,95.87110137939453
2018-12-18,95.96720123291016
2018-12-19,96.89510345458984
2018-12-20,96.63909912109375
2018-12-21,94.81780242919922
2018-12-24,93.59130096435547
2018-12-26,93.4302978515625
2018-12-27,94.2490005493164
2018-12-28,94.69439697265625
2018-12-31,94.8906021118164
2019-01-01,94.76229858398438
2019-01-02,93.69750213623047
2019-01-03,93.02660369873047
2019-01-04,92.74669647216797
2019-01-07,93.06890106201172
2019-01-08,93.05660247802734
2019-01-09,93.3541030883789
2019-01-10,93.65730285644531
2019-01-11,93.506103515625
2019-01-14,93.46739959716797
2019-01-15,94.6249008178711
2019-01-16,94.21099853515625
2019-01-17,94.26180267333984
2019-01-18,94.03170013427734
2019-01-21,93.88819885253906
2019-01-22,93.56999969482422
2019-01-23,93.52999877929688
2019-01-24,93.4000015258789
2019-01-25,92.5199966430664
2019-01-28,92.01000213623047
2019-01-29,92.41999816894531
2019-01-30,92.12000274658203
2019-01-31,93.25
2019-02-01,95.31999969482422
2019-02-04,95.22000122070312
2019-02-05,95.9000015258789
2019-02-06,96.73999786376953
2019-02-07,97.8499984741211
2019-02-08,96.7699966430664
2019-02-11,96.68000030517578
2019-02-12,96.25
2019-02-14,94.83999633789062
2019-02-15,94.22000122070312
2019-02-18,93.33000183105469
2019-02-19,92.63999938964844
2019-02-20,92.8499984741211
2019-02-21,93.4800033569336
2019-02-22,94.0
2019-02-25,94.69999694824219
2019-02-26,94.80000305175781
2019-02-27,94.69999694824219
2019-02-28,94.75
2019-03-01,95.5199966430664
2019-03-05,96.33000183105469
2019-03-06,96.43000030517578
2019-03-07,95.88999938964844
2019-03-08,95.9000015258789
2019-03-11,97.08000183105469
2019-03-12,97.7300033569336
2019-03-13,97.19999694824219
2019-03-14,97.23999786376953
2019-03-15,97.43000030517578
2019-03-18,97.02999877929688
2019-03-19,97.20999908447266
2019-03-20,96.72000122070312
2019-03-22,96.37000274658203
2019-03-25,95.91000366210938
2019-03-26,96.19000244140625
2019-03-27,96.08999633789062
2019-03-28,96.2699966430664
2019-04-01,97.30999755859375
2019-04-02,97.52999877929688
2019-04-03,97.30000305175781
2019-04-04,96.87000274658203
2019-04-05,97.5
2019-04-08,97.27999877929688
2019-04-09,97.69000244140625
2019-04-10,97.3499984741211
2019-04-11,97.33000183105469
2019-04-12,97.9000015258789
2019-04-15,98.58999633789062
2019-04-16,99.33000183105469
2019-04-18,99.0
2019-04-22,98.22000122070312
2019-04-23,97.97000122070312
2019-04-24,98.44999694824219
2019-04-25,98.16000366210938
2019-04-26,98.31999969482422
2019-04-30,98.38999938964844
2019-05-02,97.52999877929688
2019-05-03,96.94999694824219
2019-05-06,96.0199966430664
2019-05-07,95.8499984741211
2019-05-08,95.12999725341797
2019-05-09,95.30000305175781
2019-05-10,94.6500015258789
2019-05-13,93.98999786376953
2019-05-14,93.68000030517578
2019-05-15,93.66000366210938
2019-05-16,93.9800033569336
2019-05-17,95.05000305175781
2019-05-20,96.83999633789062
2019-05-21,96.06999969482422
2019-05-22,96.68000030517578
2019-05-23,96.18000030517578
2019-05-24,96.75
2019-05-27,96.4000015258789
2019-05-28,96.63999938964844
2019-05-29,96.44000244140625
2019-05-30,96.29000091552734
2019-05-31,97.23999786376953
2019-06-03,98.7300033569336
2019-06-04,97.62999725341797
2019-06-06,97.66999816894531
2019-06-07,97.68000030517578
2019-06-10,98.19000244140625
2019-06-11,98.83999633789062
2019-06-12,98.38999938964844
2019-06-13,97.7300033569336
2019-06-14,97.11000061035156
2019-06-17,96.33000183105469
2019-06-18,96.30000305175781
2019-06-19,96.12000274658203
2019-06-20,96.41000366210938
2019-06-21,96.05999755859375
2019-06-24,95.98999786376953
2019-06-25,96.29000091552734
2019-06-26,96.05000305175781
2019-06-27,96.0
2019-06-28,95.58000183105469
2019-07-01,95.75
2019-07-02,95.93000030517578
2019-07-03,96.41999816894531
2019-07-04,96.16999816894531
2019-07-05,95.37000274658203
2019-07-08,93.68000030517578
2019-07-09,92.66000366210938
2019-07-10,92.18000030517578
2019-07-11,92.2300033569336
2019-07-12,93.04000091552734
2019-07-15,93.23999786376953
2019-07-16,93.5999984741211
2019-07-17,94.0199966430664
2019-07-18,93.58999633789062
2019-07-19,92.0199966430664
2019-07-22,92.16999816894531
2019-07-23,92.12000274658203
2019-07-24,91.11000061035156
2019-07-25,91.68000030517578
2019-07-26,92.01000213623047
2019-07-29,91.31999969482422
2019-07-30,90.29000091552734
2019-07-31,90.8499984741211
2019-08-01,90.16000366210938
2019-08-02,90.5
2019-08-05,89.95999908447266
2019-08-06,91.44999694824219
2019-08-07,91.26000213623047
2019-08-08,92.26000213623047
2019-08-09,93.3499984741211
2019-08-13,92.20999908447266
2019-08-14,92.31999969482422
2019-08-16,92.48999786376953
2019-08-19,93.05000305175781
2019-08-20,92.30000305175781
2019-08-21,92.16999816894531
2019-08-22,91.5999984741211
2019-08-23,92.30999755859375
2019-08-26,93.08999633789062
2019-08-27,93.7300033569336
2019-08-28,93.5
2019-08-29,93.44000244140625
2019-08-30,93.8499984741211
2019-09-03,93.0199966430664
2019-09-04,92.5
2019-09-05,92.91999816894531
2019-09-06,93.16999816894531
2019-09-09,93.94999694824219
2019-09-11,94.25
2019-09-12,94.75
2019-09-13,94.36000061035156
2019-09-16,94.4800033569336
2019-09-17,93.55999755859375
2019-09-18,93.47000122070312
2019-09-19,92.61000061035156
