Date,EASEMYTRIP.NS
2021-03-19,6.41507625579834
2021-03-22,6.082704544067383
2021-03-23,5.690322399139404
2021-03-24,5.550295352935791
2021-03-25,5.527214050292969
2021-03-26,6.430463790893555
2021-03-30,6.485858917236328
2021-03-31,6.373530387878418
2021-04-01,6.585878849029541
2021-04-05,6.110402584075928
2021-04-06,5.933445930480957
2021-04-07,6.199650287628174
2021-04-08,6.191957473754883
2021-04-09,6.196573257446289
2021-04-12,5.784185886383057
2021-04-13,5.910364151000977
2021-04-15,5.334869384765625
2021-04-16,5.336408615112305
2021-04-19,5.296400547027588
2021-04-20,5.2671637535095215
2021-04-22,5.30871057510376
2021-04-23,5.462585926055908
2021-04-26,5.705709457397461
2021-04-27,5.67926549911499
2021-04-28,5.974817276000977
2021-04-29,5.839486122131348
2021-04-30,5.83015251159668
2021-05-03,5.735264778137207
2021-05-04,5.870596408843994
2021-05-05,6.127260208129883
2021-05-06,5.939040184020996
2021-05-07,5.837930202484131
2021-05-10,5.85504150390625
2021-05-11,5.892374515533447
2021-05-12,6.075927734375
2021-05-14,5.8954854011535645
2021-05-17,5.960817813873291
2021-05-18,7.1523590087890625
2021-05-19,7.237913131713867
2021-05-20,7.024805545806885
2021-05-21,7.4867987632751465
2021-05-24,8.228791236877441
2021-05-25,8.510342597961426
2021-05-26,9.110779762268066
2021-05-27,9.071891784667969
2021-05-28,8.66589641571045
2021-05-31,10.204322814941406
2021-06-01,10.34121036529541
2021-06-02,11.283865928649902
2021-06-03,11.64941692352295
2021-06-04,11.607417106628418
2021-06-07,11.612083435058594
2021-06-08,11.753637313842773
2021-06-09,12.192299842834473
2021-06-10,13.410284996032715
2021-06-11,13.794503211975098
2021-06-14,13.058732986450195
2021-06-15,13.106955528259277
2021-06-16,13.071178436279297
2021-06-17,12.122300148010254
2021-06-18,11.932523727416992
2021-06-21,12.179855346679688
2021-06-22,12.452073097229004
2021-06-23,12.249853134155273
2021-06-24,12.114521980285645
