Date,CANFINHOME.NS
2015-08-21,149.31195068359375
2015-08-24,136.5855712890625
2015-08-25,141.0496368408203
2015-08-26,136.0228729248047
2015-08-27,138.87388610839844
2015-08-28,142.62518310546875
2015-08-31,145.86068725585938
2015-09-01,143.38485717773438
2015-09-02,138.6206512451172
2015-09-03,143.46926879882812
2015-09-04,138.76133728027344
2015-09-07,139.38027954101562
2015-09-08,139.68038940429688
2015-09-09,143.2254180908203
2015-09-10,150.40919494628906
2015-09-11,152.48178100585938
2015-09-14,152.26608276367188
2015-09-15,152.20980834960938
2015-09-16,153.56968688964844
2015-09-18,155.782958984375
2015-09-21,155.03269958496094
2015-09-22,153.832275390625
2015-09-23,152.11602783203125
2015-09-24,163.97958374023438
2015-09-28,162.32899475097656
2015-09-29,170.89138793945312
2015-09-30,171.38841247558594
2015-10-01,165.00180053710938
2015-10-05,171.15399169921875
2015-10-06,177.97201538085938
2015-10-07,177.86886596679688
2015-10-08,181.16998291015625
2015-10-09,186.21554565429688
2015-10-12,184.02099609375
2015-10-13,183.13006591796875
2015-10-14,181.60140991210938
2015-10-15,187.56600952148438
2015-10-16,187.37844848632812
2015-10-19,182.79244995117188
2015-10-20,186.13113403320312
2015-10-21,186.9189453125
2015-10-23,186.40310668945312
2015-10-26,184.9775848388672
2015-10-27,184.75247192382812
2015-10-28,183.93661499023438
2015-10-29,182.26727294921875
2015-10-30,179.1912078857422
2015-11-02,174.26756286621094
2015-11-03,177.5031280517578
2015-11-04,179.48191833496094
2015-11-05,176.36834716796875
2015-11-06,174.2394256591797
2015-11-09,177.2873992919922
2015-11-10,175.3648223876953
2015-11-13,179.8851776123047
2015-11-16,183.3082733154297
2015-11-17,181.20755004882812
2015-11-18,179.8195343017578
2015-11-19,181.4513397216797
2015-11-20,185.35275268554688
2015-11-23,187.59414672851562
2015-11-24,185.69973754882812
2015-11-26,184.1804656982422
2015-11-27,183.71151733398438
2015-11-30,181.3762969970703
2015-12-01,181.29190063476562
2015-12-02,185.66221618652344
2015-12-03,183.205078125
2015-12-04,180.88865661621094
2015-12-07,184.4148712158203
2015-12-08,184.46177673339844
2015-12-09,185.3433380126953
2015-12-10,183.79592895507812
2015-12-11,184.88380432128906
2015-12-14,183.89907836914062
2015-12-15,185.88731384277344
2015-12-16,184.9869842529297
2015-12-17,186.15924072265625
2015-12-18,193.7556915283203
2015-12-21,196.66294860839844
2015-12-22,201.28646850585938
2015-12-23,205.8255615234375
2015-12-24,206.3413848876953
2015-12-28,204.85958862304688
2015-12-29,205.43167114257812
2015-12-30,203.49038696289062
2015-12-31,202.32742309570312
2016-01-01,205.78805541992188
2016-01-04,201.00511169433594
2016-01-05,200.44241333007812
2016-01-06,200.16104125976562
2016-01-07,192.27391052246094
2016-01-08,196.49415588378906
2016-01-11,194.9092254638672
2016-01-12,189.9668426513672
2016-01-13,185.47462463378906
2016-01-14,179.73513793945312
2016-01-15,178.49720764160156
2016-01-18,168.80003356933594
2016-01-19,164.57037353515625
2016-01-20,164.5422821044922
2016-01-21,168.9594268798828
2016-01-22,191.72996520996094
2016-01-25,193.38992309570312
2016-01-27,192.08633422851562
2016-01-28,197.7602081298828
2016-01-29,198.78245544433594
2016-02-01,197.57266235351562
2016-02-02,190.06063842773438
2016-02-03,188.6070098876953
2016-02-04,188.02554321289062
2016-02-05,197.20689392089844
2016-02-08,192.3770751953125
2016-02-09,187.37844848632812
2016-02-10,185.35275268554688
2016-02-11,175.43051147460938
2016-02-12,162.6853790283203
2016-02-15,174.8677978515625
2016-02-16,175.61802673339844
2016-02-17,174.40823364257812
2016-02-18,175.70245361328125
2016-02-19,177.84071350097656
2016-02-22,180.8511199951172
2016-02-23,175.2616729736328
2016-02-24,173.47979736328125
2016-02-25,176.58399963378906
2016-02-26,179.25682067871094
2016-02-29,177.02476501464844
2016-03-01,186.59066772460938
2016-03-02,191.842529296875
2016-03-03,190.77340698242188
2016-03-04,190.48265075683594
2016-03-08,191.95504760742188
2016-03-09,191.0453643798828
2016-03-10,190.20130920410156
2016-03-11,189.34786987304688
2016-03-14,194.36529541015625
2016-03-15,192.9022674560547
2016-03-16,194.39337158203125
2016-03-17,190.97972106933594
2016-03-18,192.001953125
2016-03-21,193.66189575195312
2016-03-22,193.3242950439453
2016-03-23,196.49415588378906
2016-03-28,197.150634765625
2016-03-29,210.07395935058594
2016-03-30,214.92250061035156
2016-03-31,216.5824737548828
2016-04-01,222.2187957763672
2016-04-04,222.80027770996094
2016-04-05,215.5696258544922
2016-04-06,219.97738647460938
2016-04-07,217.16390991210938
2016-04-08,216.0948028564453
2016-04-11,221.13092041015625
2016-04-12,228.97120666503906
2016-04-13,245.47695922851562
2016-04-18,233.26646423339844
2016-04-20,230.3498077392578
2016-04-21,224.84474182128906
2016-04-22,228.1177978515625
2016-04-25,229.41197204589844
2016-04-26,229.2056427001953
2016-04-27,229.9746856689453
2016-04-28,222.11563110351562
2016-04-29,225.48245239257812
2016-05-02,230.94998168945312
2016-05-03,238.33074951171875
2016-05-04,231.5126953125
2016-05-05,223.0628662109375
2016-05-06,221.28097534179688
2016-05-09,221.3184814453125
2016-05-10,220.78396606445312
2016-05-11,219.25527954101562
2016-05-12,222.96910095214844
2016-05-13,229.02748107910156
2016-05-16,228.17404174804688
2016-05-17,228.539794921875
2016-05-18,228.4459991455078
2016-05-19,225.7919464111328
2016-05-20,222.39700317382812
2016-05-23,218.7769775390625
2016-05-24,213.0093536376953
2016-05-25,214.4066925048828
2016-05-26,219.2364959716797
2016-05-27,219.90240478515625
