Price,Close
Ticker,^RUT
Date,
2015-07-31,1238.6800537109375
2015-08-03,1231.7900390625
2015-08-04,1228.8499755859375
2015-08-05,1231.75
2015-08-06,1215.8499755859375
2015-08-07,1206.9000244140625
2015-08-10,1222.6700439453125
2015-08-11,1211.1400146484375
2015-08-12,1208.97998046875
2015-08-13,1204.739990234375
2015-08-14,1212.68994140625
2015-08-17,1225.0899658203125
2015-08-18,1214.8900146484375
2015-08-19,1202.97998046875
2015-08-20,1172.52001953125
2015-08-21,1156.7900390625
2015-08-24,1111.68994140625
2015-08-25,1104.0999755859375
2015-08-26,1132.18994140625
2015-08-27,1153.6099853515625
2015-08-28,1162.9100341796875
2015-08-31,1159.449951171875
2015-09-01,1128.050048828125
2015-09-02,1146.030029296875
2015-09-03,1145.1500244140625
2015-09-04,1136.1700439453125
2015-09-08,1161.760009765625
2015-09-09,1148.22998046875
2015-09-10,1153.030029296875
2015-09-11,1157.7900390625
2015-09-14,1153.5
2015-09-15,1166.0
2015-09-16,1175.199951171875
2015-09-17,1180.68994140625
2015-09-18,1163.3499755859375
2015-09-21,1161.0899658203125
2015-09-22,1143.030029296875
2015-09-23,1140.050048828125
2015-09-24,1137.5400390625
2015-09-25,1122.7900390625
2015-09-28,1090.5699462890625
2015-09-29,1083.9100341796875
2015-09-30,1100.68994140625
2015-10-01,1097.550048828125
2015-10-02,1114.1199951171875
2015-10-05,1141.6400146484375
2015-10-06,1133.68994140625
2015-10-07,1152.5999755859375
2015-10-08,1163.239990234375
2015-10-09,1165.3599853515625
2015-10-12,1164.4000244140625
2015-10-13,1147.8399658203125
2015-10-14,1136.969970703125
2015-10-15,1162.77001953125
2015-10-16,1162.31005859375
2015-10-19,1164.300048828125
2015-10-20,1163.27001953125
2015-10-21,1144.949951171875
2015-10-22,1154.52001953125
2015-10-23,1166.06005859375
2015-10-26,1159.5
2015-10-27,1145.2900390625
2015-10-28,1178.719970703125
2015-10-29,1165.6300048828125
2015-10-30,1161.8599853515625
2015-11-02,1186.0899658203125
2015-11-03,1191.5799560546875
2015-11-04,1190.3800048828125
2015-11-05,1190.68994140625
2015-11-06,1199.75
2015-11-09,1184.4300537109375
2015-11-10,1187.699951171875
2015-11-11,1178.0699462890625
2015-11-12,1154.81005859375
2015-11-13,1146.550048828125
2015-11-16,1156.0799560546875
2015-11-17,1153.2099609375
2015-11-18,1171.75
2015-11-19,1166.72998046875
2015-11-20,1175.1500244140625
2015-11-23,1180.3599853515625
2015-11-24,1188.81005859375
2015-11-25,1198.02001953125
