Date,BDL.NS
2018-03-23,170.5255889892578
2018-03-26,173.65350341796875
2018-03-27,177.41575622558594
2018-03-28,173.5222930908203
2018-04-02,171.59742736816406
2018-04-03,171.59742736816406
2018-04-04,171.5317840576172
2018-04-05,170.13189697265625
2018-04-06,170.94122314453125
2018-04-09,170.59124755859375
2018-04-10,168.38201904296875
2018-04-11,166.76336669921875
2018-04-12,164.31356811523438
2018-04-13,164.35733032226562
2018-04-16,174.7909393310547
2018-04-17,177.2407684326172
2018-04-18,177.04393005371094
2018-04-19,181.5498504638672
2018-04-20,181.81231689453125
2018-04-23,178.5313262939453
2018-04-24,178.75006103515625
2018-04-25,178.59689331054688
2018-04-26,177.2407684326172
2018-04-27,177.1751708984375
2018-04-30,176.01585388183594
2018-05-02,170.65687561035156
2018-05-03,171.61929321289062
2018-05-04,170.11001586914062
2018-05-07,169.84751892089844
2018-05-08,169.7819366455078
2018-05-09,169.67254638671875
2018-05-10,169.7819366455078
2018-05-11,169.760009765625
2018-05-14,169.760009765625
2018-05-15,167.17897033691406
2018-05-16,165.80096435546875
2018-05-17,166.4134063720703
2018-05-18,162.25746154785156
2018-05-21,162.86988830566406
2018-05-22,164.6635284423828
2018-05-23,166.0196990966797
2018-05-24,166.17279052734375
2018-05-25,167.63832092285156
2018-05-28,173.34725952148438
2018-05-29,176.12522888183594
2018-05-30,175.99400329589844
2018-05-31,177.3501434326172
2018-06-01,175.5127410888672
2018-06-04,173.0847930908203
2018-06-05,169.760009765625
2018-06-06,170.0006561279297
2018-06-07,175.35963439941406
2018-06-08,174.20034790039062
2018-06-11,173.56602478027344
2018-06-12,174.59408569335938
2018-06-13,173.06292724609375
2018-06-14,173.7847442626953
2018-06-15,175.9502410888672
2018-06-18,172.14425659179688
2018-06-19,170.04440307617188
2018-06-20,168.92886352539062
2018-06-21,167.22268676757812
2018-06-22,166.54466247558594
2018-06-25,167.4196014404297
2018-06-26,164.16041564941406
2018-06-27,164.2041778564453
2018-06-28,162.6949005126953
2018-06-29,164.5541534423828
2018-07-02,162.36680603027344
2018-07-03,165.2322540283203
2018-07-04,164.64163208007812
2018-07-05,162.80426025390625
2018-07-06,163.9635467529297
2018-07-09,163.04489135742188
2018-07-10,165.4509735107422
2018-07-11,166.107177734375
2018-07-12,164.81661987304688
2018-07-13,161.31689453125
2018-07-16,158.12335205078125
2018-07-17,156.8984375
2018-07-18,156.28598022460938
2018-07-19,153.98927307128906
2018-07-20,150.00830078125
2018-07-23,147.14288330078125
2018-07-24,150.68637084960938
2018-07-25,151.21133422851562
2018-07-26,150.3145294189453
2018-07-27,149.76771545410156
2018-07-30,164.35733032226562
2018-07-31,168.0757598876953
2018-08-01,166.78524780273438
2018-08-02,164.88226318359375
2018-08-03,164.7291259765625
2018-08-06,163.76670837402344
2018-08-07,162.23556518554688
2018-08-08,161.6231231689453
2018-08-09,163.9854278564453
2018-08-10,165.31971740722656
2018-08-13,166.12905883789062
2018-08-14,162.23556518554688
2018-08-16,161.12002563476562
2018-08-17,160.5513458251953
2018-08-20,160.9231719970703
2018-08-21,159.32640075683594
2018-08-23,158.40771484375
2018-08-24,156.94216918945312
2018-08-27,157.7515106201172
2018-08-28,155.49851989746094
2018-08-29,154.9298553466797
2018-08-30,153.8361358642578
2018-08-31,153.0924530029297
2018-09-03,156.81094360351562
2018-09-04,156.7015838623047
