Date,KGF.L
2015-08-24,339.6424865722656
2015-08-25,349.4063415527344
2015-08-26,344.42486572265625
2015-08-27,352.2956848144531
2015-08-28,354.8861083984375
2015-09-01,344.22552490234375
2015-09-02,346.2181091308594
2015-09-03,353.19232177734375
2015-09-04,348.31036376953125
2015-09-07,349.6056213378906
2015-09-08,350.9008483886719
2015-09-09,357.6756591796875
2015-09-10,358.970947265625
2015-09-11,363.95245361328125
2015-09-14,358.970947265625
2015-09-15,350.0040588378906
2015-09-16,357.1775817871094
2015-09-17,353.19232177734375
2015-09-18,349.80487060546875
2015-09-21,346.3177795410156
2015-09-22,336.7532043457031
2015-09-23,344.6239929199219
2015-09-24,342.3324890136719
2015-09-25,351.69781494140625
2015-09-28,349.4063415527344
2015-09-29,346.61669921875
2015-09-30,357.2772216796875
2015-10-01,355.8824157714844
2015-10-02,359.6683654785156
2015-10-05,363.7532653808594
2015-10-06,364.5501708984375
2015-10-07,357.1775817871094
2015-10-08,352.4265441894531
2015-10-09,349.7362365722656
2015-10-12,352.52618408203125
2015-10-13,353.52252197265625
2015-10-14,351.3304443359375
2015-10-15,358.2055969238281
2015-10-16,359.7998352050781
2015-10-19,361.19488525390625
2015-10-20,362.4901428222656
2015-10-21,365.080810546875
2015-10-22,349.7362365722656
2015-10-23,360.1984558105469
2015-10-26,357.0099182128906
2015-10-27,347.9427795410156
2015-10-28,350.63299560546875
2015-10-29,348.24169921875
2015-10-30,351.8287048339844
2015-11-02,354.2200622558594
2015-11-03,348.7398986816406
2015-11-04,348.93914794921875
2015-11-05,350.433837890625
2015-11-06,352.4265441894531
2015-11-09,352.7254333496094
2015-11-10,351.4301452636719
2015-11-11,352.52618408203125
2015-11-12,351.6293640136719
2015-11-13,340.27044677734375
2015-11-16,337.2812805175781
2015-11-17,349.23809814453125
2015-11-18,347.9427795410156
2015-11-19,355.1168212890625
2015-11-20,350.63299560546875
2015-11-23,343.85748291015625
2015-11-24,340.8682861328125
2015-11-25,347.3449401855469
2015-11-26,347.9427795410156
2015-11-27,348.83941650390625
2015-11-30,352.1275939941406
2015-12-01,353.2236328125
2015-12-02,355.4157409667969
2015-12-03,349.53692626953125
2015-12-04,352.1275939941406
2015-12-07,343.85748291015625
2015-12-08,338.37738037109375
2015-12-09,333.4949035644531
2015-12-10,328.81182861328125
2015-12-11,322.13592529296875
2015-12-14,318.6485900878906
2015-12-15,324.3280029296875
2015-12-16,325.224853515625
2015-12-17,328.2140808105469
2015-12-18,322.83349609375
2015-12-21,324.9259338378906
2015-12-22,326.22119140625
2015-12-23,329.4097595214844
2015-12-24,328.51300048828125
2015-12-29,331.2032165527344
2015-12-30,332.5981140136719
2015-12-31,328.3136901855469
2016-01-04,320.74102783203125
2016-01-05,326.5201416015625
2016-01-06,336.7830810546875
2016-01-07,328.0147705078125
2016-01-08,329.7085876464844
2016-01-11,329.4097595214844
2016-01-12,335.2884521484375
2016-01-13,337.87908935546875
2016-01-14,332.9967346191406
2016-01-15,332.9967346191406
2016-01-18,326.32086181640625
2016-01-19,332.3988342285156
2016-01-20,324.5273742675781
2016-01-21,335.089111328125
2016-01-22,343.75787353515625
2016-01-25,322.7338562011719
2016-01-26,316.2572937011719
2016-01-27,319.2463684082031
2016-01-28,318.6485900878906
2016-01-29,324.9259338378906
2016-02-01,323.33160400390625
2016-02-02,319.2463684082031
2016-02-03,315.1611328125
2016-02-04,318.4493408203125
2016-02-05,322.3352355957031
2016-02-08,313.5668640136719
2016-02-09,319.44573974609375
2016-02-10,321.9367370605469
2016-02-11,316.95465087890625
2016-02-12,326.71942138671875
2016-02-15,330.0075378417969
2016-02-16,332.5981140136719
2016-02-17,339.07476806640625
2016-02-18,341.0675354003906
2016-02-19,340.8682861328125
2016-02-22,329.31005859375
2016-02-23,329.11077880859375
2016-02-24,323.53094482421875
2016-02-25,331.0039367675781
2016-02-26,334.9895935058594
2016-02-29,333.0963439941406
2016-03-01,340.5693664550781
2016-03-02,341.3664855957031
2016-03-03,338.9751281738281
2016-03-04,341.16717529296875
2016-03-07,343.5585021972656
2016-03-08,342.9607238769531
2016-03-09,347.0458984375
2016-03-10,338.078369140625
2016-03-11,341.0675354003906
2016-03-14,349.23809814453125
2016-03-15,351.4301452636719
2016-03-16,353.72186279296875
2016-03-17,354.1203918457031
2016-03-18,351.3304443359375
2016-03-21,349.23809814453125
2016-03-22,349.3376770019531
2016-03-23,369.8634948730469
2016-03-24,371.358154296875
2016-03-29,370.0628662109375
2016-03-30,376.04119873046875
2016-03-31,375.3437194824219
2016-04-01,377.2369079589844
2016-04-04,374.74591064453125
2016-04-05,372.15521240234375
2016-04-06,376.340087890625
2016-04-07,378.3329772949219
2016-04-08,376.43975830078125
2016-04-11,375.8419494628906
2016-04-12,371.95599365234375
2016-04-13,371.358154296875
2016-04-14,366.8743591308594
2016-04-15,356.0135192871094
2016-04-18,357.50811767578125
2016-04-19,362.0915832519531
