Date,CSCO
2015-08-03,20.792512893676758
2015-08-04,20.55056381225586
2015-08-05,20.72652244567871
2015-08-06,20.68252944946289
2015-08-07,20.638547897338867
2015-08-10,20.961139678955078
2015-08-11,20.543235778808594
2015-08-12,20.455251693725586
2015-08-13,21.04178810119629
2015-08-14,21.283729553222656
2015-08-17,21.137094497680664
2015-08-18,20.71185874938965
2015-08-19,20.38193702697754
2015-08-20,19.82473373413086
2015-08-21,19.40682601928711
2015-08-24,18.468385696411133
2015-08-25,18.050477981567383
2015-08-26,18.827638626098633
2015-08-27,19.18688201904297
2015-08-28,19.062238693237305
2015-08-31,18.97426414489746
2015-09-01,18.417062759399414
2015-09-02,18.805631637573242
2015-09-03,18.98892593383789
2015-09-04,18.710329055786133
2015-09-08,19.282190322875977
2015-09-09,19.01824951171875
2015-09-10,19.25286293029785
2015-09-11,19.076904296875
2015-09-14,18.842294692993164
2015-09-15,19.04758071899414
2015-09-16,19.113561630249023
2015-09-17,18.97426414489746
2015-09-18,18.724987030029297
2015-09-21,18.724987030029297
2015-09-22,18.431716918945312
2015-09-23,18.534364700317383
2015-09-24,18.629676818847656
2015-09-25,19.084238052368164
2015-09-28,18.81296730041504
2015-09-29,18.79830551147461
2015-09-30,19.24553108215332
2015-10-01,19.016416549682617
2015-10-02,19.038589477539062
2015-10-05,19.844181060791016
2015-10-06,20.12503433227539
2015-10-07,20.35414695739746
2015-10-08,20.627605438232422
2015-10-09,20.627605438232422
2015-10-12,20.664554595947266
2015-10-13,20.5832576751709
2015-10-14,20.56108856201172
2015-10-15,20.804983139038086
2015-10-16,20.878889083862305
2015-10-19,20.878889083862305
2015-10-20,21.063663482666016
2015-10-21,20.901060104370117
2015-10-22,21.440587997436523
2015-10-23,21.691871643066406
2015-10-26,21.3962459564209
2015-10-27,21.47014808654785
2015-10-28,21.699262619018555
2015-10-29,21.53666877746582
2015-10-30,21.32233428955078
2015-11-02,21.263206481933594
2015-11-03,21.14495849609375
2015-11-04,21.041486740112305
2015-11-05,21.011926651000977
2015-11-06,21.02670669555664
2015-11-09,20.827157974243164
