Date,SWED-A.ST
2015-08-24,93.56642150878906
2015-08-25,97.6638412475586
2015-08-26,96.83396911621094
2015-08-27,100.51647186279297
2015-08-28,100.77581024169922
2015-08-31,100.30901336669922
2015-09-01,98.23436737060547
2015-09-02,98.23436737060547
2015-09-03,99.89408874511719
2015-09-04,97.14518737792969
2015-09-07,97.87129974365234
2015-09-08,100.36088562011719
2015-09-09,101.5019302368164
2015-09-10,101.29448699951172
2015-09-11,100.87954711914062
2015-09-14,100.04965209960938
2015-09-15,100.67206573486328
2015-09-16,101.19074249267578
2015-09-17,102.22807312011719
2015-09-18,100.04965209960938
2015-09-21,101.08699798583984
2015-09-22,98.28623962402344
2015-09-23,96.67839050292969
2015-09-24,94.65560913085938
2015-09-25,97.92317199707031
2015-09-28,95.58917999267578
2015-09-29,95.43358612060547
2015-09-30,95.90037536621094
2015-10-01,95.12240600585938
2015-10-02,96.41905975341797
2015-10-05,99.11609649658203
2015-10-06,99.42729949951172
2015-10-07,99.94593048095703
2015-10-08,101.08699798583984
2015-10-09,102.07244873046875
2015-10-12,101.76126098632812
2015-10-13,100.4127426147461
2015-10-14,98.38995361328125
2015-10-15,99.21983337402344
2015-10-16,100.25714874267578
2015-10-19,101.3463134765625
2015-10-20,101.29448699951172
2015-10-21,100.77581024169922
2015-10-22,102.17619323730469
2015-10-23,102.48738861083984
2015-10-26,102.7467269897461
2015-10-27,101.13886260986328
2015-10-28,101.76126098632812
2015-10-29,101.19074249267578
2015-10-30,101.70940399169922
2015-11-02,101.29448699951172
2015-11-03,100.77581024169922
2015-11-04,101.70940399169922
2015-11-05,100.56835174560547
2015-11-06,101.70940399169922
2015-11-09,99.84220886230469
2015-11-10,99.58289337158203
2015-11-11,101.08699798583984
2015-11-12,100.30901336669922
2015-11-13,99.5310287475586
2015-11-16,99.06422424316406
2015-11-17,101.76126098632812
2015-11-18,101.60566711425781
2015-11-19,100.98326873779297
2015-11-20,99.99781799316406
2015-11-23,99.73847961425781
2015-11-24,97.97503662109375
2015-11-25,97.97503662109375
2015-11-26,99.89408874511719
2015-11-27,99.63475799560547
2015-11-30,100.20528411865234
2015-12-01,100.04965209960938
2015-12-02,100.04965209960938
2015-12-03,99.0123519897461
2015-12-04,97.71571350097656
2015-12-07,98.49369049072266
2015-12-08,95.69292449951172
2015-12-09,94.60374450683594
2015-12-10,94.81121063232422
2015-12-11,92.3216323852539
2015-12-14,92.11416625976562
2015-12-15,96.62653350830078
2015-12-16,96.2634506225586
