Date,ENELAM.SN
2015-08-24,105.38196563720703
2015-08-25,106.25094604492188
2015-08-26,105.49207305908203
2015-08-27,110.03962707519531
2015-08-28,109.3966064453125
2015-08-31,111.38360595703125
2015-09-01,108.32487487792969
2015-09-02,107.61811828613281
2015-09-03,109.59355926513672
2015-09-04,106.47108459472656
2015-09-07,106.41895294189453
2015-09-08,104.37398529052734
2015-09-09,105.34722137451172
2015-09-10,104.30445861816406
2015-09-11,103.04157257080078
2015-09-14,102.03358459472656
2015-09-15,103.93370819091797
2015-09-16,107.27052307128906
2015-09-17,106.45369720458984
2015-09-21,106.8012924194336
2015-09-22,105.70060729980469
2015-09-23,104.36819458007812
2015-09-24,104.78529357910156
2015-09-25,103.47027587890625
2015-09-28,101.62227630615234
2015-09-29,101.73234558105469
2015-09-30,101.54695892333984
2015-10-01,101.5527572631836
2015-10-02,101.18199157714844
2015-10-05,101.22254943847656
2015-10-06,102.32902526855469
2015-10-07,103.3718032836914
2015-10-08,103.2501449584961
2015-10-09,104.54779052734375
2015-10-13,104.8721923828125
2015-10-14,103.59770965576172
2015-10-15,103.47027587890625
2015-10-16,103.61508178710938
2015-10-19,104.18861389160156
2015-10-20,105.44571685791016
2015-10-21,106.52323150634766
2015-10-22,108.05259704589844
2015-10-23,108.29589080810547
2015-10-26,109.0721664428711
2015-10-27,107.71659851074219
2015-10-28,106.70860290527344
2015-10-29,106.05399322509766
2015-10-30,105.68323516845703
2015-11-02,105.52681732177734
2015-11-03,106.71440887451172
2015-11-04,105.90914916992188
2015-11-05,104.78529357910156
2015-11-06,102.7403335571289
2015-11-09,102.13207244873047
2015-11-10,102.56656646728516
2015-11-11,102.7403335571289
2015-11-12,103.5629653930664
2015-11-13,102.39275360107422
2015-11-16,102.26531219482422
2015-11-17,101.38477325439453
2015-11-18,101.16460418701172
2015-11-19,101.71495819091797
2015-11-20,104.55937957763672
2015-11-23,103.26751708984375
2015-11-24,104.54779052734375
2015-11-25,105.23135375976562
2015-11-26,105.69480895996094
2015-11-27,103.1226806640625
2015-11-30,100.2667007446289
2015-12-01,99.33399200439453
2015-12-02,97.4280776977539
2015-12-03,96.79083251953125
2015-12-04,97.07471466064453
2015-12-07,97.81621551513672
2015-12-09,98.08273315429688
2015-12-10,97.607666015625
2015-12-11,94.44464874267578
2015-12-14,94.46202850341797
2015-12-15,94.68216705322266
2015-12-16,97.3643569946289
2015-12-17,102.4101333618164
2015-12-18,101.10088348388672
2015-12-21,100.7127456665039
2015-12-22,99.22972869873047
2015-12-23,100.13925170898438
2015-12-24,99.97705078125
2015-12-28,99.95967864990234
2015-12-29,99.484619140625
2015-12-30,99.102294921875
2015-12-31,99.102294921875
2016-01-04,96.51856994628906
2016-01-05,96.49539947509766
2016-01-06,95.19194793701172
2016-01-07,92.58505249023438
2016-01-08,93.94064331054688
2016-01-11,93.48298645019531
2016-01-12,92.89210510253906
2016-01-13,93.77265930175781
2016-01-14,95.43525695800781
2016-01-15,92.6487808227539
2016-01-18,91.71029663085938
2016-01-19,90.84716033935547
2016-01-20,89.72907257080078
2016-01-21,92.50395965576172
2016-01-22,95.3773193359375
2016-01-25,95.26058197021484
2016-01-26,94.55681610107422
2016-01-27,94.87351989746094
2016-01-28,95.38959503173828
2016-01-29,99.84093475341797
2016-02-01,100.2807846069336
2016-02-02,100.1107177734375
2016-02-03,99.03160858154297
2016-02-04,99.90544128417969
2016-02-05,101.60620880126953
2016-02-08,101.47132110595703
2016-02-09,101.48304748535156
2016-02-10,103.1075668334961
2016-02-11,100.25147247314453
2016-02-12,100.74409484863281
2016-02-15,101.46544647216797
2016-02-16,103.82308197021484
2016-02-17,105.17781066894531
2016-02-18,106.93136596679688
2016-02-19,105.31859588623047
2016-02-22,104.74970245361328
2016-02-23,103.74095916748047
2016-02-24,102.73223114013672
2016-02-25,103.67058563232422
2016-02-26,103.746826171875
2016-02-29,103.1838150024414
2016-03-01,104.41541290283203
2016-03-02,104.99014282226562
2016-03-03,107.94010162353516
2016-03-04,108.19815063476562
2016-03-07,107.50025177001953
2016-03-08,107.00174713134766
2016-03-09,106.22760009765625
2016-03-10,106.80236053466797
2016-03-11,106.5794906616211
2016-03-14,108.06913757324219
2016-03-15,107.18354797363281
2016-03-16,106.45047760009766
2016-03-17,107.6292724609375
2016-03-18,109.32418060302734
2016-03-21,109.16580963134766
2016-03-22,108.87261199951172
