Date,SHREECEM.NS
2015-08-03,11079.361328125
2015-08-04,11092.8447265625
2015-08-05,11243.28515625
2015-08-06,11236.521484375
2015-08-07,10905.583984375
2015-08-10,10856.4345703125
2015-08-11,10838.4091796875
2015-08-12,10594.216796875
2015-08-13,10631.3779296875
2015-08-14,10560.2919921875
2015-08-17,10564.880859375
2015-08-18,10651.482421875
2015-08-19,10829.85546875
2015-08-20,10633.9892578125
2015-08-21,10707.009765625
2015-08-24,10445.177734375
2015-08-25,10187.9833984375
2015-08-26,9993.4716796875
2015-08-27,10501.236328125
2015-08-28,10645.83203125
2015-08-31,10418.8408203125
2015-09-01,10564.78515625
2015-09-02,10532.6962890625
2015-09-03,10512.689453125
2015-09-04,10442.8115234375
2015-09-07,10291.6943359375
2015-09-08,10095.9736328125
2015-09-09,10262.9892578125
2015-09-10,10859.6728515625
2015-09-11,11099.8056640625
2015-09-14,11113.2861328125
2015-09-15,10931.388671875
2015-09-16,11112.998046875
2015-09-18,11643.185546875
2015-09-21,11651.7861328125
2015-09-22,11538.7509765625
2015-09-23,11102.7998046875
2015-09-24,10779.6416015625
2015-09-28,10949.65625
2015-09-29,10799.69921875
2015-09-30,11347.0400390625
2015-10-01,11615.4931640625
2015-10-05,12175.4501953125
2015-10-06,12145.3896484375
2015-10-07,12070.435546875
2015-10-08,12026.7490234375
2015-10-09,12062.9443359375
2015-10-12,11989.3447265625
2015-10-13,11764.8212890625
2015-10-14,11481.09765625
2015-10-15,11286.9736328125
2015-10-16,11424.3623046875
2015-10-19,11899.216796875
2015-10-20,12422.6396484375
2015-10-21,12402.9208984375
2015-10-23,12218.990234375
2015-10-26,12311.779296875
2015-10-27,11773.859375
2015-10-28,11811.1181640625
2015-10-29,12156.41015625
2015-10-30,11861.2314453125
2015-11-02,11896.947265625
2015-11-03,12299.55078125
2015-11-04,11996.3515625
2015-11-05,11594.3583984375
2015-11-06,11611.384765625
2015-11-09,11410.26953125
2015-11-10,11431.7958984375
2015-11-13,10916.9287109375
2015-11-16,10519.4326171875
2015-11-17,10461.1826171875
2015-11-18,10483.2939453125
2015-11-19,10549.5234375
2015-11-20,10545.3642578125
2015-11-23,10550.5888671875
2015-11-24,10776.0908203125
2015-11-26,10933.0869140625
2015-11-27,10884.9013671875
2015-11-30,10837.2939453125
2015-12-01,10987.8564453125
2015-12-02,10937.87890625
2015-12-03,10934.3466796875
2015-12-04,10784.1689453125
2015-12-07,10875.1767578125
2015-12-08,10579.1826171875
2015-12-09,10216.568359375
2015-12-10,10304.5263671875
2015-12-11,10360.8896484375
2015-12-14,10506.2265625
2015-12-15,10458.71484375
2015-12-16,10499.5947265625
2015-12-17,10804.6357421875
2015-12-18,10619.96875
2015-12-21,10552.091796875
2015-12-22,10528.8662109375
2015-12-23,10547.8818359375
2015-12-24,10572.3583984375
2015-12-28,10674.4921875
2015-12-29,10840.9697265625
2015-12-30,10908.802734375
2015-12-31,11126.8046875
2016-01-01,11014.9013671875
2016-01-04,10701.1513671875
2016-01-05,10764.044921875
2016-01-06,11081.47265625
2016-01-07,10623.4033203125
2016-01-08,10791.71875
2016-01-11,10558.669921875
2016-01-12,10252.9501953125
2016-01-13,10198.8134765625
2016-01-14,9862.6650390625
2016-01-15,9483.9892578125
2016-01-18,9389.451171875
2016-01-19,9524.240234375
2016-01-20,9401.833984375
2016-01-21,9216.8271484375
2016-01-22,9601.794921875
2016-01-25,9690.7197265625
2016-01-27,9642.4345703125
2016-01-28,9789.0283203125
2016-01-29,10208.1025390625
2016-02-01,10335.2001953125
2016-02-02,10074.376953125
2016-02-03,9837.7001953125
2016-02-04,10198.57421875
2016-02-05,10047.7685546875
2016-02-08,9969.537109375
2016-02-09,9970.9892578125
2016-02-10,10002.5205078125
2016-02-11,10017.24609375
2016-02-12,10163.6240234375
2016-02-15,10170.9384765625
2016-02-16,9902.7880859375
2016-02-17,9759.4619140625
2016-02-18,10553.4921875
2016-02-19,10320.8974609375
2016-02-22,10463.4482421875
2016-02-23,10164.7373046875
2016-02-24,10168.7080078125
2016-02-25,10168.658203125
2016-02-26,10016.1787109375
2016-02-29,9691.0205078125
2016-03-01,10081.2314453125
2016-03-02,10476.23828125
2016-03-03,10839.2724609375
2016-03-04,10710.283203125
2016-03-08,11002.0712890625
2016-03-09,10792.0478515625
2016-03-10,10785.1669921875
2016-03-11,10906.939453125
2016-03-14,11190.8779296875
2016-03-15,10964.1923828125
2016-03-16,11131.298828125
2016-03-17,11296.7890625
2016-03-18,11891.927734375
2016-03-21,12218.3486328125
2016-03-22,12248.798828125
2016-03-23,12119.9677734375
2016-03-28,11865.357421875
2016-03-29,11745.109375
2016-03-30,11828.3603515625
2016-03-31,12044.859375
2016-04-01,11881.8896484375
2016-04-04,12065.12890625
2016-04-05,11779.7275390625
2016-04-06,12033.173828125
2016-04-07,11951.859375
2016-04-08,11861.1875
2016-04-11,12108.234375
2016-04-12,12122.0029296875
2016-04-13,12370.94140625
2016-04-18,12564.74609375
2016-04-20,12607.125
2016-04-21,12410.16796875
2016-04-22,12336.8525390625
2016-04-25,12285.1171875
2016-04-26,12158.126953125
2016-04-27,12341.16796875
2016-04-28,12412.494140625
2016-04-29,12309.9912109375
2016-05-02,12182.2236328125
