Date,PFRM3.SA
2015-08-24,5.316788196563721
2015-08-25,5.20336389541626
2015-08-26,5.33805513381958
2015-08-27,5.245898246765137
2015-08-28,5.245898246765137
2015-08-31,5.508193492889404
2015-09-01,5.437302112579346
2015-09-02,5.494015216827393
2015-09-03,5.316788196563721
2015-09-04,5.508193492889404
2015-09-08,5.522370338439941
2015-09-09,5.472748756408691
2015-09-10,5.6357951164245605
2015-09-11,5.67124080657959
2015-09-14,5.571994304656982
2015-09-15,5.550726890563965
2015-09-16,5.621617794036865
2015-09-17,5.600350856781006
2015-09-18,5.430213451385498
2015-09-21,5.288432598114014
2015-09-22,5.033226013183594
2015-09-23,4.678774356842041
2015-09-24,4.678774356842041
2015-09-25,4.926889896392822
2015-09-28,5.01904821395874
2015-09-29,4.863089084625244
2015-09-30,5.033226013183594
2015-10-01,4.813465595245361
2015-10-02,4.614972114562988
2015-10-05,4.848910808563232
2015-10-06,4.8063764572143555
2015-10-07,4.855999946594238
2015-10-08,4.770930767059326
2015-10-09,4.8063764572143555
2015-10-13,4.536992073059082
2015-10-14,4.522814750671387
2015-10-15,4.459012985229492
2015-10-16,4.423567771911621
2015-10-19,4.423567771911621
2015-10-20,4.4448347091674805
2015-10-21,4.402300834655762
2015-10-22,4.324321269989014
2015-10-23,4.295965194702148
2015-10-26,4.2534308433532715
2015-10-27,4.111650466918945
2015-10-28,4.1470947265625
2015-10-29,4.1470947265625
2015-10-30,4.239253044128418
2015-11-03,4.884356498718262
2015-11-04,5.210452556610107
2015-11-05,5.302610874176025
2015-11-06,5.082849979400635
2015-11-09,4.841822147369385
2015-11-10,4.671684741973877
2015-11-11,4.501547336578369
2015-11-12,4.2534308433532715
2015-11-13,4.154183864593506
2015-11-16,4.295965194702148
2015-11-17,4.756752967834473
2015-11-18,4.395211696624756
2015-11-19,4.395211696624756
2015-11-23,4.175450801849365
2015-11-24,4.2179856300354
2015-11-25,4.118739128112793
2015-11-26,4.104560375213623
2015-11-27,4.161273002624512
2015-11-30,3.991136074066162
