Date,ACE.NS
2015-08-21,41.502017974853516
2015-08-24,34.73590087890625
2015-08-25,36.2130126953125
2015-08-26,37.35658264160156
2015-08-27,39.69136428833008
2015-08-28,39.50077438354492
2015-08-31,38.78603744506836
2015-09-01,37.35658264160156
2015-09-02,36.9277458190918
2015-09-03,36.9277458190918
2015-09-04,36.117713928222656
2015-09-07,34.02117156982422
2015-09-08,33.68762969970703
2015-09-09,34.45000457763672
2015-09-10,35.59357452392578
2015-09-11,35.974769592285156
2015-09-14,36.784793853759766
2015-09-15,36.30583190917969
2015-09-16,37.359554290771484
2015-09-18,37.31166076660156
2015-09-21,37.50325012207031
2015-09-22,36.545310974121094
2015-09-23,35.63528060913086
2015-09-24,35.58737564086914
2015-09-28,35.204200744628906
2015-09-29,34.677330017089844
2015-09-30,35.73106002807617
2015-10-01,35.25209426879883
2015-10-05,36.92848587036133
2015-10-06,39.41912078857422
2015-10-07,39.80229949951172
2015-10-08,38.98805236816406
2015-10-09,39.035945892333984
2015-10-12,38.55698013305664
2015-10-13,38.748565673828125
2015-10-14,39.275428771972656
2015-10-15,41.14341735839844
2015-10-16,44.83147048950195
2015-10-19,44.16091537475586
2015-10-20,43.3466682434082
2015-10-21,42.48452377319336
2015-10-23,43.011390686035156
2015-10-26,41.0476188659668
2015-10-27,42.724002838134766
2015-10-28,41.430789947509766
2015-10-29,41.334999084472656
2015-10-30,40.712337493896484
2015-11-02,42.38872528076172
2015-11-03,43.25087356567383
2015-11-04,42.05344772338867
2015-11-05,42.245033264160156
2015-11-06,41.47869110107422
2015-11-09,41.76606369018555
2015-11-10,41.14341735839844
2015-11-13,43.44245910644531
2015-11-16,42.245033264160156
2015-11-17,41.6702766418457
2015-11-18,41.28709411621094
2015-11-19,42.38872528076172
2015-11-20,42.53242874145508
2015-11-23,42.34083557128906
2015-11-24,41.23920822143555
2015-11-26,41.6702766418457
2015-11-27,41.86186599731445
2015-11-30,45.11885070800781
2015-12-01,44.92726516723633
