Date,CYBG.L
2022-12-02,20.188499450683594
2022-12-05,19.867599487304688
2022-12-06,19.50029945373535
2022-12-07,16.190000534057617
2022-12-08,16.520000457763672
2022-12-09,16.350000381469727
2022-12-12,16.43000030517578
2022-12-13,16.6299991607666
2022-12-14,16.639999389648438
2022-12-15,16.264999389648438
2022-12-16,16.020000457763672
2022-12-19,15.895000457763672
2022-12-20,15.975000381469727
2022-12-21,16.375
2022-12-22,16.209999084472656
2022-12-23,16.375
2022-12-28,16.25
2022-12-29,16.5
2022-12-30,16.399999618530273
2023-01-03,16.53499984741211
2023-01-04,16.795000076293945
2023-01-05,16.94499969482422
2023-01-06,16.774999618530273
2023-01-09,16.78499984741211
2023-01-10,16.7549991607666
2023-01-11,16.795000076293945
2023-01-12,16.71500015258789
2023-01-13,16.924999237060547
2023-01-16,17.045000076293945
2023-01-17,16.875
2023-01-18,16.709999084472656
2023-01-19,16.506999969482422
2023-01-20,16.562999725341797
2023-01-23,16.91699981689453
2023-01-24,16.851999282836914
2023-01-25,16.51799964904785
2023-01-26,16.65999984741211
2023-01-27,16.756999969482422
2023-01-30,16.645999908447266
2023-01-31,16.667999267578125
2023-02-01,16.996000289916992
2023-02-02,17.68600082397461
2023-02-03,18.134000778198242
2023-02-06,17.792999267578125
2023-02-07,17.659000396728516
2023-02-08,17.687999725341797
2023-02-09,17.312999725341797
2023-02-10,17.246000289916992
2023-02-13,17.31999969482422
2023-02-14,17.132999420166016
2023-02-15,17.527000427246094
2023-02-16,17.65999984741211
2023-02-17,17.43000030517578
2023-02-20,17.423999786376953
2023-02-21,17.21299934387207
2023-02-22,17.229000091552734
2023-02-23,17.013999938964844
2023-02-24,17.033000946044922
2023-02-27,17.062999725341797
2023-02-28,16.886999130249023
2023-03-01,16.891000747680664
2023-03-02,17.152999877929688
2023-03-03,17.49799919128418
2023-03-06,17.336999893188477
2023-03-07,17.384000778198242
2023-03-08,17.191999435424805
2023-03-09,17.29800033569336
2023-03-10,16.697999954223633
2023-03-13,16.645000457763672
2023-03-14,16.8700008392334
2023-03-15,16.826000213623047
2023-03-16,17.03499984741211
2023-03-17,16.934999465942383
2023-03-20,16.822999954223633
2023-03-21,17.201000213623047
2023-03-22,17.201000213623047
2023-03-23,16.95400047302246
2023-03-24,16.913000106811523
2023-03-27,17.106000900268555
2023-03-28,16.982999801635742
2023-03-29,17.003000259399414
2023-03-30,17.118000030517578
2023-03-31,17.325000762939453
