Date,MTO.L
2015-08-24,144.9840850830078
2015-08-25,149.9711151123047
2015-08-26,148.3259735107422
2015-08-27,151.97630310058594
2015-08-28,152.54173278808594
2015-09-01,150.84510803222656
2015-09-02,151.30787658691406
2015-09-03,153.26153564453125
2015-09-04,151.61639404296875
2015-09-07,149.55984497070312
2015-09-08,151.56492614746094
2015-09-09,153.21014404296875
2015-09-10,152.6959228515625
2015-09-11,151.97630310058594
2015-09-14,151.05079650878906
2015-09-15,150.63954162597656
2015-09-16,149.45701599121094
2015-09-17,146.78355407714844
2015-09-18,146.06373596191406
2015-09-21,144.72702026367188
2015-09-22,141.07669067382812
2015-09-23,142.97900390625
2015-09-24,143.49313354492188
2015-09-25,145.96090698242188
2015-09-28,147.7603759765625
2015-09-29,151.10215759277344
2015-09-30,156.9118194580078
2015-10-01,156.29489135742188
2015-10-02,156.65481567382812
2015-10-05,160.04806518554688
2015-10-06,160.66500854492188
2015-10-07,161.7446746826172
2015-10-08,160.8192138671875
2015-10-09,162.3101806640625
2015-10-12,162.56732177734375
2015-10-13,161.5389862060547
2015-10-14,162.7215118408203
2015-10-15,163.8011932373047
2015-10-16,162.36163330078125
2015-10-19,162.61868286132812
2015-10-20,162.9785614013672
2015-10-21,165.0351104736328
2015-10-22,166.2174835205078
2015-10-23,169.66221618652344
2015-10-26,167.19444274902344
2015-10-27,167.29721069335938
2015-10-28,166.06332397460938
2015-10-29,163.9039306640625
2015-10-30,165.2406768798828
2015-11-02,167.1430206298828
2015-11-03,167.1430206298828
2015-11-04,169.40521240234375
2015-11-05,172.54132080078125
2015-11-06,171.71878051757812
2015-11-09,170.74191284179688
2015-11-10,169.55941772460938
2015-11-11,170.4849090576172
2015-11-12,168.9938507080078
2015-11-13,166.2174835205078
2015-11-16,166.6288604736328
2015-11-17,168.58258056640625
2015-11-18,168.58258056640625
2015-11-19,169.40521240234375
2015-11-20,170.74191284179688
2015-11-23,155.67796325683594
2015-11-24,152.59323120117188
2015-11-25,157.0146942138672
