Date,AVON.L
2015-08-24,801.7101440429688
2015-08-25,827.4188842773438
2015-08-26,838.6507568359375
2015-08-27,849.134033203125
2015-08-28,863.6107177734375
2015-09-01,854.6251220703125
2015-09-02,887.0728759765625
2015-09-03,876.0906372070312
2015-09-04,887.0728759765625
2015-09-07,904.0455932617188
2015-09-08,907.5399169921875
2015-09-09,943.4820556640625
2015-09-10,949.4722900390625
2015-09-11,935.4949951171875
2015-09-14,932.9990234375
2015-09-15,898.5543823242188
2015-09-16,895.0599975585938
2015-09-17,888.5703735351562
2015-09-18,879.5850219726562
2015-09-21,888.5703735351562
2015-09-22,900.55126953125
2015-09-23,915.0278930664062
2015-09-24,908.538330078125
2015-09-25,905.5431518554688
2015-09-28,915.527099609375
2015-09-29,908.538330078125
2015-09-30,912.5318603515625
2015-10-01,927.5078125
2015-10-02,932.9990234375
2015-10-05,958.4580078125
2015-10-06,997.8944702148438
2015-10-07,1027.34716796875
2015-10-08,1033.33740234375
2015-10-09,1038.3294677734375
2015-10-12,1032.3389892578125
2015-10-13,1042.322998046875
2015-10-14,1062.290771484375
2015-10-15,1068.2813720703125
2015-10-16,1066.2845458984375
2015-10-19,1063.2894287109375
2015-10-20,1053.305419921875
2015-10-21,1034.3360595703125
2015-10-22,1071.2764892578125
2015-10-23,1125.1898193359375
2015-10-26,1138.169189453125
2015-10-27,1131.1800537109375
2015-10-28,1133.1768798828125
2015-10-29,1137.17041015625
2015-10-30,1134.1751708984375
2015-11-02,1165.12548828125
2015-11-03,1148.15283203125
2015-11-04,1153.14453125
2015-11-05,1158.1368408203125
2015-11-06,1156.1397705078125
2015-11-09,1149.151123046875
2015-11-10,1139.1673583984375
2015-11-11,1122.1947021484375
2015-11-12,1095.2376708984375
2015-11-13,1072.27490234375
2015-11-16,1115.205810546875
2015-11-17,1088.2491455078125
2015-11-18,1087.2508544921875
2015-11-19,1082.2587890625
2015-11-20,1078.2655029296875
2015-11-23,1080.26220703125
2015-11-24,1088.2491455078125
2015-11-25,1078.2655029296875
2015-11-26,1071.2764892578125
2015-11-27,1043.3214111328125
2015-11-30,1063.2894287109375
2015-12-01,1070.2781982421875
2015-12-02,1054.3038330078125
2015-12-03,1088.2491455078125
2015-12-04,1088.2491455078125
2015-12-07,1098.2330322265625
2015-12-08,1098.2330322265625
2015-12-09,1083.2572021484375
2015-12-10,1072.27490234375
2015-12-11,1068.2813720703125
2015-12-14,1041.3248291015625
2015-12-15,1046.317138671875
2015-12-16,1043.3214111328125
2015-12-17,1046.317138671875
2015-12-18,1043.3214111328125
2015-12-21,1033.33740234375
2015-12-22,1009.376220703125
2015-12-23,987.4113159179688
2015-12-24,1001.388916015625
2015-12-29,998.3937377929688
2015-12-30,995.8978881835938
2015-12-31,988.409912109375
2016-01-04,988.409912109375
2016-01-05,991.9041748046875
2016-01-06,1008.3777465820312
2016-01-07,1007.3793334960938
2016-01-08,1011.3729248046875
2016-01-11,1011.3729248046875
2016-01-12,1009.376220703125
2016-01-13,1012.3712158203125
2016-01-14,1016.3649291992188
2016-01-15,1008.3777465820312
2016-01-18,1013.3695678710938
2016-01-19,1000.3906860351562
2016-01-20,968.44189453125
2016-01-21,966.4450073242188
2016-01-22,974.432373046875
2016-01-25,999.3919677734375
2016-01-26,824.6731567382812
2016-01-27,839.6492309570312
2016-01-28,814.6892700195312
2016-01-29,798.2158203125
2016-02-01,773.7552490234375
2016-02-02,790.2286987304688
2016-02-03,783.7391357421875
2016-02-04,798.7150268554688
2016-02-05,809.1980590820312
2016-02-08,765.7681274414062
2016-02-09,726.33154296875
2016-02-10,735.816162109375
2016-02-11,755.7842407226562
2016-02-12,775.7518920898438
2016-02-15,763.771240234375
2016-02-16,779.7454833984375
2016-02-17,780.2448120117188
2016-02-18,773.8034057617188
2016-02-19,777.2979736328125
2016-02-22,785.784912109375
2016-02-23,763.3195190429688
2016-02-24,751.8372192382812
2016-02-25,760.8233642578125
2016-02-26,761.82177734375
2016-02-29,758.8264770507812
2016-03-01,758.8264770507812
2016-03-02,758.8264770507812
2016-03-03,757.8279418945312
2016-03-04,758.8264770507812
2016-03-07,756.82958984375
2016-03-08,763.8187255859375
2016-03-09,758.8264770507812
2016-03-10,759.3255004882812
2016-03-11,765.31640625
2016-03-14,758.8264770507812
2016-03-15,768.3116455078125
2016-03-16,754.83251953125
2016-03-17,748.842041015625
2016-03-18,755.8312377929688
2016-03-21,799.7630004882812
2016-03-22,808.2500610351562
2016-03-23,834.2098388671875
2016-03-24,822.7275390625
2016-03-29,816.7368774414062
2016-03-30,792.7738647460938
2016-03-31,803.2576904296875
2016-04-01,786.7832641601562
2016-04-04,810.7462158203125
2016-04-05,783.787841796875
2016-04-06,785.784912109375
2016-04-07,807.750732421875
2016-04-08,803.2576904296875
2016-04-11,785.784912109375
2016-04-12,778.7955322265625
2016-04-13,774.8018188476562
2016-04-14,743.350341796875
2016-04-15,752.3365478515625
2016-04-18,753.8342895507812
2016-04-19,784.2870483398438
2016-04-20,783.787841796875
2016-04-21,782.04052734375
2016-04-22,769.3103637695312
2016-04-25,748.842041015625
2016-04-26,753.8342895507812
2016-04-27,759.3255004882812
2016-04-28,764.3179931640625
2016-04-29,740.8543701171875
2016-05-03,716.8912353515625
2016-05-04,836.7059936523438
2016-05-05,818.7337646484375
2016-05-06,834.2098388671875
2016-05-09,859.6705932617188
2016-05-10,881.1372680664062
2016-05-11,878.6409301757812
2016-05-12,879.1405029296875
2016-05-13,875.6458129882812
2016-05-16,871.6519775390625
2016-05-17,888.6256713867188
