Date,EQUITASBNK.NS
2020-11-02,32.057823181152344
2020-11-03,32.204429626464844
2020-11-04,31.960084915161133
2020-11-05,32.2532958984375
2020-11-06,32.106689453125
2020-11-09,31.911216735839844
2020-11-10,32.595375061035156
2020-11-11,32.204429626464844
2020-11-12,32.79085159301758
2020-11-13,33.719356536865234
2020-11-14,33.426143646240234
2020-11-17,33.52388000488281
2020-11-18,33.181800842285156
2020-11-19,32.44877243041992
2020-11-20,32.30216598510742
2020-11-23,36.455997467041016
2020-11-24,35.380889892578125
2020-11-25,34.15917205810547
2020-11-26,33.67048645019531
2020-11-27,33.572750091552734
2020-12-01,34.01256561279297
2020-12-02,33.621620178222656
2020-12-03,34.01256561279297
2020-12-04,34.11030578613281
2020-12-07,34.40351486206055
2020-12-08,33.91482925415039
2020-12-09,36.749210357666016
2020-12-10,36.21165466308594
2020-12-11,36.65147399902344
2020-12-14,36.749210357666016
2020-12-15,37.23789596557617
2020-12-16,38.06866455078125
2020-12-17,38.16639709472656
2020-12-18,38.65509033203125
2020-12-21,35.380889892578125
2020-12-22,35.96731185913086
2020-12-23,35.380889892578125
2020-12-24,35.67409896850586
2020-12-28,36.26052474975586
2020-12-29,36.700340270996094
2020-12-30,36.65147399902344
2020-12-31,36.84695053100586
2021-01-01,36.895816802978516
2021-01-04,37.09129333496094
2021-01-05,36.60260772705078
2021-01-06,36.79808044433594
2021-01-07,38.997169494628906
2021-01-08,38.557350158691406
2021-01-11,40.02341079711914
2021-01-12,40.26775360107422
2021-01-13,40.5120964050293
2021-01-14,40.85417556762695
2021-01-15,40.316619873046875
2021-01-18,40.02341079711914
2021-01-19,40.609832763671875
2021-01-20,40.5120964050293
2021-01-21,40.02341079711914
2021-01-22,40.5120964050293
2021-01-25,38.45960998535156
2021-01-27,38.36187744140625
2021-01-28,38.997169494628906
2021-01-29,38.557350158691406
2021-02-01,39.97454071044922
2021-02-02,42.02702331542969
2021-02-03,41.978153228759766
2021-02-04,42.662315368652344
2021-02-05,43.98176956176758
2021-02-08,46.13199234008789
2021-02-09,45.15461730957031
2021-02-10,44.470455169677734
2021-02-11,45.252349853515625
2021-02-12,45.64330291748047
2021-02-15,46.42519760131836
2021-02-16,45.545562744140625
2021-02-17,46.47406768798828
2021-02-18,48.91749954223633
2021-02-19,47.01162338256836
2021-02-22,45.20348358154297
2021-02-23,46.2297248840332
2021-02-24,46.2297248840332
2021-02-25,46.42519760131836
2021-02-26,45.7899055480957
2021-03-01,48.331077575683594
2021-03-02,48.28221130371094
2021-03-03,48.57542037963867
2021-03-04,58.251407623291016
2021-03-05,62.06316375732422
2021-03-08,58.837833404541016
2021-03-09,56.78534698486328
2021-03-10,59.76633834838867
2021-03-12,58.05593490600586
2021-03-15,57.71385192871094
2021-03-16,57.07856369018555
2021-03-17,56.00345230102539
2021-03-18,53.7554931640625
2021-03-19,53.99983596801758
2021-03-22,56.63874816894531
2021-03-23,59.76633834838867
2021-03-24,58.69122314453125
2021-03-25,58.69122314453125
2021-03-26,59.22877883911133
2021-03-30,58.64236068725586
2021-03-31,58.88670349121094
2021-04-01,60.45049285888672
2021-04-05,57.81159210205078
2021-04-06,57.46950912475586
2021-04-07,55.80797576904297
2021-04-08,55.31929016113281
2021-04-09,55.074947357177734
2021-04-12,50.87224578857422
2021-04-13,52.63151550292969
2021-04-15,51.507537841796875
2021-04-16,51.800750732421875
2021-04-19,49.846004486083984
2021-04-20,49.894874572753906
2021-04-22,49.992610931396484
2021-04-23,49.9437370300293
2021-04-26,50.62790298461914
2021-04-27,51.99622344970703
2021-04-28,53.022464752197266
2021-04-29,53.51115036010742
2021-04-30,54.244178771972656
2021-05-03,53.41341781616211
2021-05-04,54.73286819458008
2021-05-05,56.736480712890625
2021-05-06,56.443267822265625
2021-05-07,56.05231857299805
2021-05-10,55.51476287841797
2021-05-11,54.830604553222656
2021-05-12,55.02607727050781
2021-05-14,54.537391662597656
2021-05-17,54.3419189453125
2021-05-18,54.244178771972656
2021-05-19,54.146446228027344
2021-05-20,55.3681640625
2021-05-21,56.736480712890625
2021-05-24,58.1536750793457
2021-05-25,58.69122314453125
2021-05-26,62.35637283325195
2021-05-27,61.13465881347656
2021-05-28,59.668601989746094
2021-05-31,57.81159210205078
2021-06-01,58.74009323120117
2021-06-02,59.082176208496094
2021-06-03,59.521995544433594
2021-06-04,59.57086181640625
2021-06-07,58.93556594848633
2021-06-08,59.03330993652344
2021-06-09,57.5672492980957
2021-06-10,58.251407623291016
2021-06-11,59.179908752441406
2021-06-14,58.544620513916016
2021-06-15,58.69122314453125
2021-06-16,58.44688034057617
2021-06-17,57.66498565673828
2021-06-18,56.63874816894531
2021-06-21,57.616119384765625
2021-06-22,58.69122314453125
2021-06-23,57.90932846069336
2021-06-24,57.37177658081055
2021-06-25,57.4206428527832
2021-06-28,59.277652740478516
2021-06-29,58.05593490600586
2021-06-30,57.616119384765625
2021-07-01,57.5672492980957
2021-07-02,57.07856369018555
2021-07-05,57.51837921142578
2021-07-06,57.2740364074707
2021-07-07,65.77718353271484
2021-07-08,62.551849365234375
2021-07-09,63.67583084106445
2021-07-12,68.31834411621094
2021-07-13,66.90115356445312
2021-07-14,64.70206451416016
2021-07-15,63.96903610229492
2021-07-16,64.26225280761719
2021-07-19,64.26225280761719
2021-07-20,60.6948356628418
2021-07-22,63.626956939697266
2021-07-23,62.698455810546875
2021-07-26,61.67221450805664
2021-07-27,64.60433197021484
2021-07-28,62.64958572387695
2021-07-29,61.81882095336914
2021-07-30,61.57447814941406
