Date,ABCB4.SA
2015-08-24,3.309765577316284
2015-08-25,3.25417160987854
2015-08-26,3.324591636657715
2015-08-27,3.4283695220947266
2015-08-28,3.3320045471191406
2015-08-31,3.3653626441955566
2015-09-01,3.2430522441864014
2015-09-02,3.298646926879883
2015-09-03,3.3357110023498535
2015-09-04,3.202281951904297
2015-09-08,3.205988883972168
2015-09-09,3.2689969539642334
2015-09-10,3.205988883972168
2015-09-11,3.2838222980499268
2015-09-14,3.2912347316741943
2015-09-15,3.328298330307007
2015-09-16,3.550679922103882
2015-09-17,3.750822067260742
2015-09-18,3.6878132820129395
2015-09-21,3.6470446586608887
2015-09-22,3.632218360900879
2015-09-23,3.654456615447998
2015-09-24,3.632218360900879
2015-09-25,3.561797618865967
2015-09-28,3.3727736473083496
2015-09-29,3.298646926879883
2015-09-30,3.446901559829712
2015-10-01,3.4246633052825928
2015-10-02,3.380187511444092
2015-10-05,3.350536346435547
2015-10-06,3.3764803409576416
2015-10-07,3.521028518676758
2015-10-08,3.4654314517974854
2015-10-09,3.495084524154663
2015-10-13,3.298646926879883
2015-10-14,3.205988883972168
2015-10-15,3.224520206451416
2015-10-16,3.2430522441864014
2015-10-19,3.2356390953063965
2015-10-20,3.2430522441864014
2015-10-21,3.2801151275634766
2015-10-22,3.2875289916992188
2015-10-23,3.309765577316284
2015-10-26,3.224520206451416
2015-10-27,3.228226900100708
2015-10-28,3.2838222980499268
2015-10-29,3.187457323074341
2015-10-30,3.1503946781158447
2015-11-03,3.2615840435028076
2015-11-04,3.3357110023498535
2015-11-05,3.391305685043335
2015-11-06,3.3394174575805664
2015-11-09,3.3653626441955566
2015-11-10,3.3542428016662598
2015-11-11,3.5062029361724854
2015-11-12,3.502495527267456
2015-11-13,3.4135451316833496
2015-11-16,3.446901559829712
2015-11-17,3.502495527267456
2015-11-18,3.5395593643188477
2015-11-19,3.6692817211151123
2015-11-23,3.632218360900879
2015-11-24,3.61368727684021
2015-11-25,3.483964443206787
2015-11-26,3.5543854236602783
2015-11-27,3.480257511138916
2015-11-30,3.391305685043335
2015-12-01,3.3727736473083496
2015-12-02,3.3171792030334473
2015-12-03,3.3542428016662598
2015-12-04,3.298646926879883
2015-12-07,3.3357110023498535
2015-12-08,3.369067668914795
2015-12-09,3.483964443206787
2015-12-10,3.4654314517974854
2015-12-11,3.3357110023498535
2015-12-14,3.2504642009735107
2015-12-15,3.2615840435028076
2015-12-16,3.187457323074341
2015-12-17,3.2504642009735107
2015-12-18,3.1763381958007812
2015-12-21,3.0243778228759766
2015-12-22,3.10591721534729
2015-12-23,3.139274835586548
2015-12-28,3.205988883972168
2015-12-29,3.2504642009735107
2015-12-30,3.2356390953063965
2016-01-04,3.9618372917175293
2016-01-05,3.8984873294830322
2016-01-06,3.874122142791748
2016-01-07,3.8643758296966553
2016-01-08,3.810771942138672
2016-01-11,3.7522943019866943
