Date,IBE.MC
2015-08-24,3.734436511993408
2015-08-25,3.8426055908203125
2015-08-26,3.810413122177124
2015-08-27,3.863853693008423
2015-08-28,3.902486801147461
2015-08-31,3.898622989654541
2015-09-01,3.8187832832336426
2015-09-02,3.8213582038879395
2015-09-03,3.8387434482574463
2015-09-04,3.784658432006836
2015-09-07,3.7634103298187256
2015-09-08,3.7717809677124023
2015-09-09,3.830373764038086
2015-09-10,3.7698495388031006
2015-09-11,3.728642225265503
2015-09-14,3.7279980182647705
2015-09-15,3.782083511352539
2015-09-16,3.847113847732544
2015-09-17,3.866428852081299
2015-09-18,3.8117005825042725
2015-09-21,3.8123443126678467
2015-09-22,3.745382308959961
2015-09-23,3.745382308959961
2015-09-24,3.724134922027588
2015-09-25,3.8174960613250732
2015-09-28,3.814920663833618
2015-09-29,3.775644302368164
2015-09-30,3.829085111618042
2015-10-01,3.8181402683258057
2015-10-02,3.860633611679077
2015-10-05,3.9172966480255127
2015-10-06,3.955928087234497
2015-10-07,3.9482011795043945
2015-10-08,3.9700920581817627
2015-10-09,3.9791059494018555
2015-10-12,3.974599838256836
2015-10-13,3.960435390472412
2015-10-14,3.9617223739624023
2015-10-15,3.9829697608947754
2015-10-16,4.015807151794434
2015-10-19,4.013876438140869
2015-10-20,4.037055015563965
2015-10-21,4.071824073791504
2015-10-22,4.113674640655518
2015-10-23,4.168403625488281
2015-10-26,4.15488338470459
2015-10-27,4.134923458099365
2015-10-28,4.158745765686035
2015-10-29,4.165828227996826
2015-10-30,4.183212757110596
2015-11-02,4.195446491241455
2015-11-03,4.194802284240723
2015-11-04,4.204460620880127
2015-11-05,4.197376728057861
2015-11-06,4.175486087799072
2015-11-09,4.152951240539551
2015-11-10,4.179993152618408
2015-11-11,4.158102512359619
2015-11-12,4.149086952209473
2015-11-13,4.1123881340026855
2015-11-16,4.151663780212402
2015-11-17,4.218625545501709
2015-11-18,4.18772029876709
2015-11-19,4.214763164520264
2015-11-20,4.218625545501709
2015-11-23,4.204460620880127
2015-11-24,4.172267913818359
2015-11-25,4.222488880157471
2015-11-26,4.2611212730407715
2015-11-27,4.292026519775391
2015-11-30,4.2694902420043945
2015-12-01,4.254037857055664
2015-12-02,4.257257461547852
2015-12-03,4.187076091766357
2015-12-04,4.247600555419922
2015-12-07,4.254682540893555
2015-12-08,4.20703649520874
2015-12-09,4.2353668212890625
2015-12-10,4.237942218780518
2015-12-11,4.181280612945557
2015-12-14,4.136209487915039
2015-12-15,4.199309825897217
2015-12-16,4.158745765686035
2015-12-17,4.236010551452637
2015-12-18,4.169692039489746
2015-12-21,4.07246732711792
2015-12-22,4.080838203430176
2015-12-23,4.168403625488281
2015-12-24,4.184501647949219
2015-12-28,4.1638970375061035
2015-12-29,4.241805553436279
2015-12-30,4.23858642578125
2015-12-31,4.2173380851745605
2016-01-04,4.129772186279297
2016-01-05,4.180636405944824
2016-01-06,4.160033226013184
2016-01-07,4.156813621520996
2016-01-08,4.136209487915039
2016-01-11,4.1317033767700195
2016-01-12,4.108056545257568
2016-01-13,4.134331226348877
2016-01-14,4.099515914916992
2016-01-15,4.04368257522583
2016-01-18,4.025948524475098
2016-01-19,4.102144718170166
2016-01-20,4.050251007080078
2016-01-21,4.039085388183594
2016-01-22,4.139585971832275
2016-01-25,4.146811485290527
2016-01-26,4.175714015960693
2016-01-27,4.2670183181762695
2016-01-28,4.236802577972412
2016-01-29,4.2354888916015625
2016-02-01,4.282783031463623
2016-02-02,4.224978446960449
2016-02-03,4.179654598236084
2016-02-04,4.148782253265381
2016-02-05,4.100174427032471
2016-02-08,4.035143852233887
2016-02-09,3.994417905807495
2016-02-10,3.9871931076049805
2016-02-11,3.891946792602539
2016-02-12,3.860417127609253
2016-02-15,3.959603786468506
2016-02-16,3.9221620559692383
2016-02-17,3.930701732635498
2016-02-18,3.9707705974578857
2016-02-19,3.949094533920288
2016-02-22,3.975369691848755
2016-02-23,3.915593385696411
2016-02-24,3.8551621437072754
2016-02-25,3.8958873748779297
2016-02-26,3.893261432647705
2016-02-29,3.917564868927002
2016-03-01,3.924790143966675
2016-03-02,3.891289472579956
2016-03-03,3.8755245208740234
2016-03-04,3.8610737323760986
2016-03-07,3.811807870864868
2016-03-08,3.8229753971099854
2016-03-09,3.9077117443084717
2016-03-10,3.9510650634765625
2016-03-11,4.015437602996826
2016-03-14,3.998358964920044
2016-03-15,4.008213520050049
2016-03-16,3.9609177112579346
2016-03-17,3.9694571495056152
2016-03-18,3.9707705974578857
2016-03-21,3.9648585319519043
2016-03-22,3.928074836730957
2016-03-23,3.932015895843506
2016-03-24,3.910996437072754
2016-03-29,3.9372706413269043
2016-03-30,3.909024477005005
2016-03-31,3.8499066829681396
2016-04-01,3.824946165084839
2016-04-04,3.834798574447632
2016-04-05,3.786190986633301
2016-04-06,3.795386791229248
2016-04-07,3.77765154838562
2016-04-08,3.8150923252105713
2016-04-11,3.838740587234497
2016-04-12,3.8551621437072754
2016-04-13,3.891289472579956
2016-04-14,3.8939170837402344
2016-04-15,3.9077117443084717
2016-04-18,3.9208486080169678
2016-04-19,3.9398977756500244
2016-04-20,4.012153148651123
2016-04-21,3.984565496444702
2016-04-22,4.027261257171631
2016-04-25,4.006899833679199
2016-04-26,4.052879810333252
2016-04-27,4.079810619354248
2016-04-28,4.123820781707764
2016-04-29,4.075213432312012
2016-05-02,4.1113409996032715
2016-05-03,4.0298895835876465
2016-05-04,3.98325252532959
2016-05-05,4.0009870529174805
2016-05-06,4.004271030426025
2016-05-09,4.005583763122559
