Date,MTRE3.SA
2020-02-11,12.99455451965332
2020-02-12,12.712058067321777
2020-02-13,12.358951568603516
2020-02-14,12.185601234436035
2020-02-17,12.166341781616211
2020-02-18,11.999418258666992
2020-02-19,12.179182052612305
2020-02-20,11.877432823181152
2020-02-21,11.466535568237305
2020-02-26,10.176069259643555
2020-02-27,10.086187362670898
2020-02-28,10.400778770446777
2020-03-02,10.824515342712402
2020-03-03,10.914397239685059
2020-03-04,10.471400260925293
2020-03-05,10.01556396484375
2020-03-06,9.084630012512207
2020-03-09,7.755642890930176
2020-03-10,8.988327026367188
2020-03-11,8.474709510803223
2020-03-12,6.741246700286865
2020-03-13,7.961090564727783
2020-03-16,6.420232772827148
2020-03-17,7.068676471710205
2020-03-18,6.3881330490112305
2020-03-19,6.291828155517578
2020-03-20,6.933852672576904
2020-03-23,6.131322383880615
2020-03-24,7.00447416305542
2020-03-25,7.267704010009766
2020-03-26,8.025291442871094
2020-03-27,7.267704010009766
2020-03-30,7.575874328613281
2020-03-31,7.062254905700684
2020-04-01,6.3881330490112305
2020-04-02,6.41381311416626
2020-04-03,6.420232772827148
2020-04-06,6.612839221954346
2020-04-07,6.6449408531188965
2020-04-08,6.606419086456299
2020-04-09,6.998055934906006
2020-04-13,6.71556282043457
2020-04-14,6.760504722595215
2020-04-15,6.484435558319092
2020-04-16,6.71556282043457
2020-04-17,6.555057048797607
2020-04-20,6.356029033660889
2020-04-22,7.120038032531738
2020-04-23,7.126460075378418
2020-04-24,6.6449408531188965
2020-04-27,6.81186580657959
2020-04-28,6.869650840759277
2020-04-29,6.869650840759277
2020-04-30,6.869650840759277
2020-05-04,6.606419086456299
2020-05-05,6.548638820648193
2020-05-06,6.805448532104492
2020-05-07,6.420232772827148
2020-05-08,6.484435558319092
2020-05-11,6.240466594696045
2020-05-12,6.375290870666504
2020-05-13,6.16342306137085
2020-05-14,6.25972843170166
2020-05-15,6.035019874572754
2020-05-18,6.356029033660889
2020-05-19,6.41381311416626
