Date,HPE
2015-10-19,7.355112075805664
2015-10-20,7.497328281402588
2015-10-21,7.324005603790283
2015-10-22,7.532883167266846
2015-10-23,7.5551042556762695
2015-10-26,7.297341346740723
2015-10-27,6.990691661834717
2015-10-28,7.235119819641113
2015-10-29,7.088464736938477
2015-10-30,6.5418291091918945
2015-11-02,6.439612865447998
2015-11-03,6.381840229034424
2015-11-04,6.070748329162598
2015-11-05,5.901867866516113
2015-11-06,6.399616718292236
2015-11-09,6.310733318328857
2015-11-10,6.404061317443848
2015-11-11,6.27073335647583
2015-11-12,6.0885233879089355
2015-11-13,5.950752258300781
2015-11-16,5.946310043334961
2015-11-17,5.875202178955078
2015-11-18,6.061858177185059
2015-11-19,6.124075889587402
2015-11-20,6.315176486968994
2015-11-23,6.155185699462891
2015-11-24,6.084079742431641
2015-11-25,6.275178909301758
2015-11-27,6.377394199371338
2015-11-30,6.604048252105713
2015-12-01,6.937362194061279
2015-12-02,6.644046306610107
2015-12-03,6.497387409210205
2015-12-04,6.764037132263184
2015-12-07,6.891155242919922
2015-12-08,6.766268253326416
2015-12-09,6.623538970947266
2015-12-10,6.565556049346924
2015-12-11,6.324699401855469
2015-12-14,6.4406657218933105
2015-12-15,6.494190692901611
2015-12-16,6.556633472442627
2015-12-17,6.38268518447876
2015-12-18,6.315778732299805
2015-12-21,6.253335475921631
2015-12-22,6.271175384521484
2015-12-23,6.6503005027771
2015-12-24,6.699362754821777
2015-12-28,6.79302978515625
2015-12-29,6.779648303985596
2015-12-30,6.815331935882568
2015-12-31,6.779648303985596
2016-01-04,6.74842643737793
2016-01-05,6.703823566436768
2016-01-06,6.601237773895264
2016-01-07,6.115066051483154
2016-01-08,6.03924036026001
2016-01-11,5.9143524169921875
2016-01-12,5.9143524169921875
2016-01-13,5.6868767738342285
2016-01-14,5.798385143280029
2016-01-15,5.593210220336914
2016-01-19,5.495083808898926
2016-01-20,5.379117012023926
2016-01-21,5.535226345062256
2016-01-22,5.954494953155518
2016-01-25,5.9500346183776855
2016-01-26,6.066001892089844
