Date,EQNR.OL
2015-08-24,77.95670318603516
2015-08-25,79.23030090332031
2015-08-26,79.90060424804688
2015-08-27,81.84449005126953
2015-08-28,84.99491119384766
2015-08-31,83.05103302001953
2015-09-01,82.5147705078125
2015-09-02,82.31370544433594
2015-09-03,84.99491119384766
2015-09-04,81.10717010498047
2015-09-07,80.50387573242188
2015-09-08,81.57634735107422
2015-09-09,82.84992218017578
2015-09-10,80.03466796875
2015-09-11,78.62700653076172
2015-09-14,78.29183197021484
2015-09-15,80.16870880126953
2015-09-16,82.78289031982422
2015-09-17,83.18509674072266
2015-09-18,81.2412109375
2015-09-21,81.71043395996094
2015-09-22,80.7049560546875
2015-09-23,80.23575592041016
2015-09-24,79.09619903564453
2015-09-25,82.04556274414062
2015-09-28,79.83355712890625
2015-09-29,80.63794708251953
2015-09-30,83.18509674072266
2015-10-01,85.12899780273438
2015-10-02,84.726806640625
2015-10-05,88.88269805908203
2015-10-06,92.1672134399414
2015-10-07,96.9934310913086
2015-10-08,93.84295654296875
2015-10-09,95.45172119140625
2015-10-12,92.97157287597656
2015-10-13,91.89907836914062
2015-10-14,92.36829376220703
2015-10-15,94.17814636230469
2015-10-16,95.18360137939453
2015-10-19,94.31218719482422
2015-10-20,93.17268371582031
2015-10-21,93.17268371582031
2015-10-22,95.8538818359375
2015-10-23,96.32311248779297
2015-10-26,95.1165771484375
2015-10-27,92.50235748291016
2015-10-28,93.44078826904297
2015-10-29,91.76502227783203
2015-10-30,91.29580688476562
2015-11-02,91.89907836914062
2015-11-03,95.51873016357422
2015-11-04,97.5966796875
2015-11-05,94.91548156738281
2015-11-06,93.70890808105469
2015-11-09,94.64734649658203
2015-11-10,93.10562896728516
2015-11-11,92.36829376220703
2015-11-12,88.7486343383789
2015-11-13,88.13703918457031
2015-11-16,88.9524917602539
2015-11-17,90.24363708496094
2015-11-18,92.96182250976562
2015-11-19,91.46681213378906
2015-11-20,90.78726196289062
2015-11-23,90.58341979980469
2015-11-24,92.48613739013672
2015-11-25,91.60272979736328
2015-11-26,92.82591247558594
2015-11-27,91.3309097290039
2015-11-30,91.3309097290039
2015-12-01,91.1270523071289
2015-12-02,92.21431732177734
2015-12-03,90.51546478271484
2015-12-04,86.37022399902344
2015-12-07,83.85591888427734
2015-12-08,83.44818115234375
2015-12-09,85.6906967163086
2015-12-10,83.92388153076172
2015-12-11,82.22501373291016
2015-12-14,81.61341094970703
2015-12-15,85.07910919189453
2015-12-16,86.30227661132812
2015-12-17,83.24430847167969
2015-12-18,82.08908081054688
2015-12-21,81.61341094970703
2015-12-22,80.66204833984375
2015-12-23,84.87525177001953
2015-12-28,83.65204620361328
2015-12-29,84.26363372802734
2015-12-30,84.05977630615234
2016-01-04,83.92388153076172
2016-01-05,81.8852310180664
2016-01-06,80.18637084960938
2016-01-07,78.1477279663086
2016-01-08,74.68204498291016
2016-01-11,72.57545471191406
2016-01-12,71.3522720336914
2016-01-13,71.14839935302734
2016-01-14,70.12908935546875
2016-01-15,70.26500701904297
2016-01-18,69.6534194946289
2016-01-19,71.69205474853516
2016-01-20,66.52750396728516
2016-01-21,68.90591430664062
2016-01-22,74.68204498291016
2016-01-25,72.43952178955078
2016-01-26,73.86659240722656
2016-01-27,72.84728240966797
2016-01-28,78.07978057861328
2016-01-29,80.45818328857422
2016-02-01,77.60411071777344
2016-02-02,73.39091491699219
2016-02-03,74.13839721679688
2016-02-04,80.86592102050781
2016-02-05,82.70069885253906
2016-02-08,80.7300033569336
2016-02-09,79.71067810058594
2016-02-10,77.12840270996094
2016-02-11,75.08975982666016
2016-02-12,77.60411071777344
2016-02-15,80.118408203125
2016-02-16,79.50680541992188
2016-02-17,83.1629409790039
2016-02-18,83.85368347167969
2016-02-19,81.98870849609375
2016-02-22,85.85675811767578
2016-02-23,84.54439544677734
2016-02-24,80.19284057617188
2016-02-25,82.61038208007812
2016-02-26,85.85675811767578
2016-02-29,87.79080200195312
2016-03-01,87.92893981933594
2016-03-02,88.75779724121094
2016-03-03,90.34647369384766
2016-03-04,92.41864013671875
2016-03-07,92.21141052246094
2016-03-08,91.93513488769531
2016-03-09,91.03717803955078
2016-03-10,90.13923645019531
2016-03-11,89.44853210449219
2016-03-14,90.20832061767578
2016-03-15,88.41243743896484
2016-03-16,90.34647369384766
2016-03-17,92.21141052246094
2016-03-18,93.59286499023438
2016-03-21,92.21141052246094
2016-03-22,92.69491577148438
2016-03-23,91.58976745605469
2016-03-29,87.30729675292969
2016-03-30,91.10625457763672
2016-03-31,90.00110626220703
2016-04-01,86.9619369506836
2016-04-04,86.133056640625
2016-04-05,84.68253326416016
2016-04-06,84.54439544677734
2016-04-07,85.64954376220703
2016-04-08,87.37635803222656
2016-04-11,88.3433609008789
2016-04-12,89.10315704345703
2016-04-13,91.79695892333984
2016-04-14,91.52070617675781
2016-04-15,90.27740478515625
2016-04-18,89.24130249023438
2016-04-19,92.34955596923828
2016-04-20,92.9712142944336
2016-04-21,95.66500091552734
2016-04-22,95.66500091552734
2016-04-25,93.93822479248047
2016-04-26,94.2835922241211
2016-04-27,100.0165786743164
2016-04-28,99.80936431884766
2016-04-29,98.28975677490234
2016-05-02,96.56295776367188
2016-05-03,94.14544677734375
2016-05-04,94.35265350341797
2016-05-06,94.62896728515625
2016-05-09,92.4876708984375
2016-05-10,92.4876708984375
2016-05-11,93.24748229980469
2016-05-12,95.6355209350586
2016-05-13,94.72537994384766
2016-05-18,96.9656982421875
2016-05-19,93.11510467529297
2016-05-20,94.0252456665039
2016-05-23,93.81522369384766
