Date,IFF
2015-08-03,90.65069580078125
2015-08-04,91.20106506347656
2015-08-05,92.17597198486328
2015-08-06,91.53128814697266
2015-08-07,91.42121124267578
2015-08-10,93.41031646728516
2015-08-11,89.66795349121094
2015-08-12,89.42420959472656
2015-08-13,89.0154037475586
2015-08-14,89.91167449951172
2015-08-17,90.40699005126953
2015-08-18,90.83155059814453
2015-08-19,89.71514129638672
2015-08-20,88.05620574951172
2015-08-21,88.01687622070312
2015-08-24,84.91134643554688
2015-08-25,84.16444396972656
2015-08-26,85.6268081665039
2015-08-27,87.03412628173828
2015-08-28,87.23849487304688
2015-08-31,86.12995910644531
2015-09-01,83.51976013183594
2015-09-02,85.30447387695312
2015-09-03,86.05921936035156
2015-09-04,84.08580017089844
2015-09-08,85.89411926269531
2015-09-09,85.48529052734375
2015-09-10,84.27450561523438
2015-09-11,84.22734832763672
2015-09-14,83.43323516845703
2015-09-15,83.59835815429688
2015-09-16,84.6676254272461
2015-09-17,84.58111572265625
2015-09-18,82.68636322021484
2015-09-21,83.3861083984375
2015-09-22,82.60772705078125
2015-09-23,82.76582336425781
2015-09-24,82.83697509765625
2015-09-25,83.59575653076172
2015-09-28,79.50924682617188
2015-09-29,79.90445709228516
2015-09-30,81.61971282958984
2015-10-01,82.10975646972656
2015-10-02,84.42569732666016
2015-10-05,85.53230285644531
2015-10-06,85.35050964355469
2015-10-07,86.74956512451172
2015-10-08,86.55986785888672
2015-10-09,86.57569122314453
2015-10-12,87.02622985839844
2015-10-13,87.13688659667969
2015-10-14,86.93136596679688
2015-10-15,87.79293823242188
2015-10-16,88.94697570800781
2015-10-19,89.28684997558594
2015-10-20,89.14458465576172
2015-10-21,88.33833312988281
2015-10-22,89.8954849243164
2015-10-23,89.72950744628906
2015-10-26,90.63848876953125
2015-10-27,89.87967681884766
2015-10-28,90.93885040283203
2015-10-29,91.30245971679688
2015-10-30,91.73719024658203
2015-11-02,91.72927856445312
2015-11-03,91.83203887939453
2015-11-04,91.83203887939453
2015-11-05,91.66604614257812
2015-11-06,89.4765625
2015-11-09,90.19586944580078
2015-11-10,89.80062103271484
2015-11-11,91.6107177734375
2015-11-12,89.53978729248047
2015-11-13,88.33042907714844
2015-11-16,90.50411224365234
2015-11-17,91.25502014160156
2015-11-18,92.82798767089844
2015-11-19,93.14418029785156
2015-11-20,92.51970672607422
2015-11-23,93.71326446533203
2015-11-24,94.92261505126953
2015-11-25,95.04908752441406
2015-11-27,94.73291015625
2015-11-30,94.85935974121094
2015-12-01,96.43233489990234
2015-12-02,95.1755599975586
2015-12-03,94.17169952392578
2015-12-04,95.83951568603516
2015-12-07,95.86322021484375
2015-12-08,95.66561126708984
2015-12-09,95.42058563232422
2015-12-10,93.51564025878906
