Date,TDG
2015-08-03,153.17425537109375
2015-08-04,152.5196990966797
2015-08-05,159.39259338378906
2015-08-06,159.08535766601562
2015-08-07,156.90122985839844
2015-08-10,158.29718017578125
2015-08-11,158.69793701171875
2015-08-12,156.52720642089844
2015-08-13,159.6464080810547
2015-08-14,162.358154296875
2015-08-17,163.20640563964844
2015-08-18,162.01084899902344
2015-08-19,161.20933532714844
2015-08-20,155.48524475097656
2015-08-21,152.1189422607422
2015-08-24,147.98451232910156
2015-08-25,147.60379028320312
2015-08-26,151.93858337402344
2015-08-27,157.4355926513672
2015-08-28,158.29718017578125
2015-08-31,153.50820922851562
2015-09-01,148.62571716308594
2015-09-02,153.367919921875
2015-09-03,153.27442932128906
2015-09-04,151.21055603027344
2015-09-08,154.91082763671875
2015-09-09,152.359375
2015-09-10,151.6179962158203
2015-09-11,152.85365295410156
2015-09-14,152.63992309570312
2015-09-15,153.2410430908203
2015-09-16,153.73529052734375
2015-09-17,155.28489685058594
2015-09-18,154.2095184326172
2015-09-21,154.08262634277344
2015-09-22,152.19908142089844
2015-09-23,151.1504669189453
2015-09-24,150.08847045898438
2015-09-25,149.5541229248047
2015-09-28,146.16775512695312
2015-09-29,141.74612426757812
2015-09-30,141.87301635742188
2015-10-01,144.01705932617188
2015-10-02,145.35287475585938
2015-10-05,146.14772033691406
2015-10-06,142.43408203125
2015-10-07,144.1105499267578
2015-10-08,146.68875122070312
2015-10-09,147.14959716796875
2015-10-12,148.0913848876953
2015-10-13,146.6553497314453
2015-10-14,141.44557189941406
2015-10-15,143.64300537109375
2015-10-16,144.43785095214844
2015-10-19,144.71835327148438
2015-10-20,144.15731811523438
2015-10-21,144.49795532226562
2015-10-22,146.25457763671875
2015-10-23,145.35287475585938
2015-10-26,145.06568908691406
2015-10-27,144.91876220703125
2015-10-28,145.326171875
2015-10-29,148.75927734375
2015-10-30,146.84234619140625
2015-11-02,151.79833984375
2015-11-03,150.28213500976562
2015-11-04,152.31930541992188
2015-11-05,151.89183044433594
2015-11-06,151.1771697998047
2015-11-09,148.92626953125
2015-11-10,149.1600341796875
2015-11-11,146.19447326660156
2015-11-12,153.2877960205078
2015-11-13,153.43472290039062
2015-11-16,154.44996643066406
2015-11-17,154.4900360107422
2015-11-18,155.2180938720703
2015-11-19,157.56246948242188
2015-11-20,157.7962646484375
2015-11-23,157.73614501953125
2015-11-24,157.5424346923828
2015-11-25,157.8563690185547
2015-11-27,158.43748474121094
2015-11-30,156.7142333984375
2015-12-01,159.112060546875
2015-12-02,157.8964385986328
2015-12-03,156.55392456054688
2015-12-04,158.9718017578125
2015-12-07,158.39068603515625
2015-12-08,155.4051055908203
2015-12-09,153.7820587158203
2015-12-10,154.10264587402344
2015-12-11,149.18675231933594
2015-12-14,145.66014099121094
2015-12-15,145.39295959472656
2015-12-16,147.83755493164062
2015-12-17,146.7288055419922
2015-12-18,146.87574768066406
2015-12-21,150.9700927734375
2015-12-22,151.06362915039062
2015-12-23,151.9719696044922
2015-12-24,151.47772216796875
2015-12-28,150.42910766601562
2015-12-29,152.5330352783203
2015-12-30,152.2057647705078
2015-12-31,152.5864715576172
2016-01-04,153.5282440185547
2016-01-05,152.0120391845703
2016-01-06,153.6885528564453
2016-01-07,151.8050079345703
2016-01-08,147.937744140625
2016-01-11,152.65325927734375
2016-01-12,153.160888671875
2016-01-13,147.66392517089844
2016-01-14,151.3174285888672
2016-01-15,145.7803497314453
2016-01-19,147.490234375
2016-01-20,145.40631103515625
2016-01-21,144.578125
2016-01-22,148.83274841308594
2016-01-25,147.02938842773438
2016-01-26,150.61611938476562
2016-01-27,147.70399475097656
2016-01-28,146.46832275390625
2016-01-29,150.10182189941406
2016-02-01,152.7467803955078
2016-02-02,147.36334228515625
2016-02-03,149.27359008789062
2016-02-04,151.8517608642578
2016-02-05,147.9243927001953
2016-02-08,143.35580444335938
2016-02-09,125.09484100341797
2016-02-10,128.84857177734375
2016-02-11,127.03852844238281
2016-02-12,130.3113250732422
2016-02-16,137.08404541015625
2016-02-17,138.54678344726562
2016-02-18,139.48855590820312
2016-02-19,138.5334014892578
2016-02-22,140.03627014160156
2016-02-23,141.28526306152344
2016-02-24,143.10867309570312
2016-02-25,143.7699432373047
2016-02-26,145.1057586669922
2016-02-29,142.6544952392578
2016-03-01,144.4779052734375
2016-03-02,145.8137664794922
2016-03-03,146.69541931152344
2016-03-04,148.73257446289062
2016-03-07,148.38525390625
2016-03-08,145.79371643066406
2016-03-09,146.91583251953125
2016-03-10,145.8671875
2016-03-11,147.72402954101562
2016-03-14,146.1877899169922
2016-03-15,146.33474731445312
2016-03-16,146.9425506591797
2016-03-17,151.4844207763672
2016-03-18,150.32891845703125
2016-03-21,149.5207061767578
2016-03-22,149.33370971679688
2016-03-23,147.5770721435547
2016-03-24,146.7288055419922
2016-03-28,146.69541931152344
2016-03-29,149.27359008789062
2016-03-30,147.74404907226562
2016-03-31,147.1696319580078
2016-04-01,147.89100646972656
2016-04-04,147.00933837890625
2016-04-05,146.47499084472656
2016-04-06,149.18675231933594
2016-04-07,149.76116943359375
2016-04-08,149.70774841308594
2016-04-11,149.9481964111328
2016-04-12,150.38902282714844
2016-04-13,150.43577575683594
2016-04-14,150.3756561279297
2016-04-15,151.21055603027344
2016-04-18,150.34225463867188
2016-04-19,151.65138244628906
2016-04-20,153.2877960205078
2016-04-21,152.5931854248047
2016-04-22,151.47772216796875
2016-04-25,149.9014129638672
2016-04-26,154.22286987304688
2016-04-27,155.38507080078125
2016-04-28,153.5616455078125
2016-04-29,152.19908142089844
2016-05-02,150.61611938476562
2016-05-03,151.27734375
2016-05-04,151.3174285888672
2016-05-05,151.89183044433594
2016-05-06,149.654296875
2016-05-09,150.7296600341797
2016-05-10,166.6461944580078
2016-05-11,165.04986572265625
2016-05-12,164.9763946533203
2016-05-13,166.2254180908203
2016-05-16,166.70632934570312
2016-05-17,166.24545288085938
2016-05-18,165.66436767578125
2016-05-19,165.46400451660156
2016-05-20,166.90672302246094
2016-05-23,166.1385955810547
2016-05-24,170.08599853515625
2016-05-25,170.76727294921875
2016-05-26,170.17282104492188
2016-05-27,170.96763610839844
2016-05-31,176.02383422851562
2016-06-01,177.7270050048828
2016-06-02,177.56002807617188
2016-06-03,176.58486938476562
2016-06-06,177.1993408203125
2016-06-07,178.1144256591797
2016-06-08,176.98562622070312
2016-06-09,177.82052612304688
2016-06-10,174.3940887451172
2016-06-13,172.87789916992188
2016-06-14,173.2386016845703
2016-06-15,173.4255828857422
2016-06-16,173.28533935546875
2016-06-17,173.29867553710938
2016-06-20,174.6412353515625
2016-06-21,175.48947143554688
2016-06-22,174.90838623046875
2016-06-23,177.2327423095703
2016-06-24,172.08975219726562
2016-06-27,168.2224884033203
2016-06-28,171.74244689941406
2016-06-29,174.260498046875
2016-06-30,176.12399291992188
2016-07-01,175.47610473632812
