Date,SYNGENE.NS
2015-08-21,169.892578125
2015-08-24,153.95205688476562
2015-08-25,153.08837890625
2015-08-26,157.23391723632812
2015-08-27,159.08460998535156
2015-08-28,161.45346069335938
2015-08-31,161.8482666015625
2015-09-01,158.0975799560547
2015-09-02,158.3196563720703
2015-09-03,165.67303466796875
2015-09-04,160.78721618652344
2015-09-07,158.36900329589844
2015-09-08,164.95741271972656
2015-09-09,167.79513549804688
2015-09-10,162.76129150390625
2015-09-11,162.6132354736328
2015-09-14,162.4898223876953
2015-09-15,159.8988800048828
2015-09-16,159.1832733154297
2015-09-18,160.21966552734375
2015-09-21,158.911865234375
2015-09-22,157.9495086669922
2015-09-23,159.3066864013672
2015-09-24,158.66510009765625
2015-09-28,158.4923553466797
2015-09-29,157.97418212890625
2015-09-30,158.88717651367188
2015-10-01,162.4898223876953
2015-10-05,161.3794403076172
2015-10-06,160.66383361816406
2015-10-07,160.34304809570312
2015-10-08,161.94700622558594
2015-10-09,169.9665985107422
2015-10-12,167.4990234375
2015-10-13,171.49652099609375
2015-10-14,176.1355438232422
2015-10-15,177.69012451171875
2015-10-16,179.71351623535156
2015-10-19,184.57467651367188
2015-10-20,176.9498291015625
2015-10-21,185.21621704101562
2015-10-23,185.36427307128906
2015-10-26,184.08114624023438
2015-10-27,180.52781677246094
2015-10-28,181.39144897460938
2015-10-29,183.63697814941406
2015-10-30,179.6394805908203
2015-11-02,177.6160888671875
2015-11-03,176.85113525390625
2015-11-04,175.02513122558594
2015-11-05,173.3965301513672
2015-11-06,174.70436096191406
2015-11-09,178.77584838867188
2015-11-10,177.1472625732422
2015-11-13,179.6394805908203
2015-11-16,179.540771484375
2015-11-17,179.71351623535156
2015-11-18,178.3810272216797
2015-11-19,181.16940307617188
2015-11-20,184.32789611816406
2015-11-23,180.4784698486328
2015-11-24,180.0343017578125
2015-11-26,178.70179748535156
2015-11-27,177.9121856689453
2015-11-30,175.7160186767578
2015-12-01,176.3576202392578
2015-12-02,178.20828247070312
2015-12-03,180.0343017578125
2015-12-04,180.37977600097656
2015-12-07,182.72398376464844
2015-12-08,179.78758239746094
2015-12-09,175.24720764160156
2015-12-10,179.540771484375
2015-12-11,176.80178833007812
2015-12-14,176.9991912841797
2015-12-15,177.76416015625
2015-12-16,185.68504333496094
2015-12-17,187.60975646972656
2015-12-18,190.47216796875
2015-12-21,191.90335083007812
2015-12-22,192.32284545898438
2015-12-23,192.52023315429688
2015-12-24,194.88912963867188
2015-12-28,195.62939453125
2015-12-29,200.0709991455078
2015-12-30,201.97103881835938
2015-12-31,205.57369995117188
2016-01-01,206.14126586914062
2016-01-04,204.61138916015625
2016-01-05,208.26336669921875
2016-01-06,206.90618896484375
2016-01-07,202.02041625976562
2016-01-08,200.3917999267578
2016-01-11,201.28012084960938
2016-01-12,199.25672912597656
2016-01-13,199.8983154296875
2016-01-14,194.5189666748047
2016-01-15,189.16433715820312
2016-01-18,182.4031982421875
2016-01-19,184.94479370117188
2016-01-20,177.56671142578125
2016-01-21,181.9837188720703
2016-01-22,194.88912963867188
2016-01-25,195.8761444091797
2016-01-27,190.7435760498047
2016-01-28,198.9112548828125
2016-01-29,198.4917755126953
2016-02-01,197.2333221435547
2016-02-02,198.39308166503906
2016-02-03,191.01502990722656
2016-02-04,187.21495056152344
2016-02-05,197.40606689453125
2016-02-08,193.95143127441406
2016-02-09,189.63314819335938
2016-02-10,184.8954620361328
2016-02-11,185.4629669189453
2016-02-12,185.4629669189453
2016-02-15,188.5474395751953
2016-02-16,185.36427307128906
2016-02-17,188.02928161621094
2016-02-18,188.27601623535156
2016-02-19,188.91757202148438
2016-02-22,195.77745056152344
2016-02-23,188.3253631591797
2016-02-24,182.69931030273438
2016-02-25,188.74485778808594
2016-02-26,198.96060180664062
2016-02-29,195.18519592285156
2016-03-01,198.39308166503906
2016-03-02,193.7540283203125
2016-03-03,193.53195190429688
2016-03-04,190.66957092285156
2016-03-08,193.8527374267578
2016-03-09,194.88912963867188
2016-03-10,195.8267822265625
2016-03-11,197.35670471191406
2016-03-14,198.26966857910156
2016-03-15,195.9254913330078
2016-03-16,194.3955841064453
2016-03-17,193.67819213867188
2016-03-18,200.30812072753906
2016-03-21,197.04261779785156
2016-03-22,192.34231567382812
2016-03-23,189.15101623535156
2016-03-28,187.4193115234375
2016-03-29,186.45452880859375
2016-03-30,190.70957946777344
2016-03-31,190.61061096191406
2016-04-01,187.74093627929688
2016-04-04,182.54583740234375
2016-04-05,173.34307861328125
2016-04-06,178.884521484375
2016-04-07,181.70472717285156
2016-04-08,181.82843017578125
2016-04-11,178.0186767578125
2016-04-12,177.6228790283203
2016-04-13,176.48489379882812
2016-04-18,188.3346710205078
2016-04-20,186.00921630859375
2016-04-21,182.27369689941406
2016-04-22,184.47544860839844
2016-04-25,183.164306640625
2016-04-26,187.24618530273438
2016-04-27,192.2433319091797
2016-04-28,193.4802703857422
2016-04-29,192.39178466796875
2016-05-02,191.8722686767578
2016-05-03,189.8437042236328
2016-05-04,185.29177856445312
2016-05-05,182.4963836669922
2016-05-06,184.00540161132812
2016-05-09,183.83224487304688
2016-05-10,179.9482879638672
2016-05-11,181.87789916992188
2016-05-12,188.1120147705078
2016-05-13,190.46218872070312
2016-05-16,193.4802703857422
2016-05-17,194.39559936523438
2016-05-18,196.44888305664062
2016-05-19,191.03118896484375
2016-05-20,189.39840698242188
2016-05-23,186.87509155273438
2016-05-24,183.60958862304688
2016-05-25,183.65907287597656
2016-05-26,183.8569793701172
2016-05-27,190.78378295898438
2016-05-30,194.24717712402344
2016-05-31,192.88656616210938
