Date,UJJIVANSFB.NS
2019-12-12,51.95580291748047
2019-12-13,48.287784576416016
2019-12-16,54.27732849121094
2019-12-17,54.463050842285156
2019-12-18,53.673728942871094
2019-12-19,54.880924224853516
2019-12-20,53.952308654785156
2019-12-23,52.373680114746094
2019-12-24,51.584354400634766
2019-12-26,49.773563385009766
2019-12-27,49.727134704589844
2019-12-30,50.19143295288086
2019-12-31,50.005714416503906
2020-01-01,49.26282501220703
2020-01-02,51.63078689575195
2020-01-03,50.98075866699219
2020-01-06,49.40211868286133
2020-01-07,49.773563385009766
2020-01-08,50.19143295288086
2020-01-09,49.355690002441406
2020-01-10,48.4735107421875
2020-01-13,48.798519134521484
2020-01-14,48.798519134521484
2020-01-15,48.00920104980469
2020-01-16,47.82347869873047
2020-01-17,46.80200958251953
2020-01-20,45.54838180541992
2020-01-21,46.384132385253906
2020-01-22,47.68418502807617
2020-01-23,49.773563385009766
2020-01-24,50.88789749145508
2020-01-27,50.70217514038086
2020-01-28,51.12004852294922
2020-01-29,50.98075866699219
2020-01-30,51.491493225097656
2020-01-31,51.81650924682617
2020-02-03,49.44854736328125
2020-02-04,50.19143295288086
2020-02-05,52.23438262939453
2020-02-06,52.69868850708008
2020-02-07,51.95580291748047
2020-02-10,51.02718734741211
2020-02-11,51.02718734741211
2020-02-12,50.42359161376953
2020-02-13,50.79503631591797
2020-02-14,50.609310150146484
2020-02-17,49.680702209472656
2020-02-18,49.03067398071289
2020-02-19,49.26282501220703
2020-02-20,49.44854736328125
2020-02-24,47.962772369384766
2020-02-25,47.498470306396484
2020-02-26,46.2912712097168
2020-02-27,46.0126838684082
2020-02-28,44.944786071777344
2020-03-02,45.22336959838867
2020-03-03,45.316226959228516
2020-03-04,45.594810485839844
2020-03-05,46.2912712097168
2020-03-06,41.23033905029297
2020-03-09,37.88733673095703
2020-03-11,38.351646423339844
2020-03-12,35.937255859375
2020-03-13,38.351646423339844
2020-03-16,36.680145263671875
2020-03-17,34.219322204589844
2020-03-18,29.669130325317383
2020-03-19,27.904767990112305
2020-03-20,27.301170349121094
2020-03-23,23.58672523498535
2020-03-24,22.379531860351562
2020-03-25,22.611684799194336
2020-03-26,24.840351104736328
2020-03-27,26.697572708129883
2020-03-30,25.258228302001953
2020-03-31,25.35108757019043
2020-04-01,25.490379333496094
2020-04-03,25.62967300415039
2020-04-07,26.372560501098633
2020-04-08,26.372560501098633
2020-04-09,26.836864471435547
2020-04-13,26.511850357055664
2020-04-15,26.047544479370117
2020-04-16,26.55828285217285
2020-04-17,28.74051856994629
2020-04-20,31.154909133911133
2020-04-21,28.6940860748291
2020-04-22,27.811906814575195
2020-04-23,28.322641372680664
2020-04-24,26.92972755432129
2020-04-27,26.093976974487305
2020-04-28,26.836864471435547
2020-04-29,26.976154327392578
2020-04-30,27.25473976135254
2020-05-04,25.490379333496094
