Date,WMT
2015-08-03,19.83819580078125
2015-08-04,19.85742950439453
2015-08-05,20.341697692871094
2015-08-06,20.142459869384766
2015-08-07,19.716306686401367
2015-08-10,19.77995491027832
2015-08-11,19.904483795166016
2015-08-12,20.0843505859375
2015-08-13,19.954286575317383
2015-08-14,20.02900505065918
2015-08-17,19.898942947387695
2015-08-18,19.226512908935547
2015-08-19,18.974699020385742
2015-08-20,18.93596076965332
2015-08-21,18.412960052490234
2015-08-24,17.696252822875977
2015-08-25,17.461042404174805
2015-08-26,17.939767837524414
2015-08-27,18.28566551208496
2015-08-28,17.970205307006836
2015-08-31,17.91209602355957
2015-09-01,17.6602840423584
2015-09-02,17.83184242248535
2015-09-03,17.948068618774414
2015-09-04,17.679651260375977
2015-09-08,18.368680953979492
2015-09-09,18.02000617980957
2015-09-10,17.74329376220703
2015-09-11,17.889957427978516
2015-09-14,17.787567138671875
2015-09-15,17.798643112182617
2015-09-16,17.901025772094727
2015-09-17,17.84014129638672
2015-09-18,17.527450561523438
2015-09-21,17.632610321044922
2015-09-22,17.596635818481445
2015-09-23,17.632610321044922
2015-09-24,17.66305160522461
2015-09-25,17.649208068847656
2015-09-28,17.61600112915039
2015-09-29,17.649208068847656
2015-09-30,17.942527770996094
2015-10-01,17.784799575805664
2015-10-02,17.981273651123047
2015-10-05,18.227558135986328
2015-10-06,18.174978256225586
2015-10-07,18.36315155029297
2015-10-08,18.50704574584961
2015-10-09,18.4544620513916
2015-10-12,18.520875930786133
2015-10-13,18.465534210205078
2015-10-14,16.61150550842285
2015-10-15,16.41780662536621
2015-10-16,16.29604148864746
2015-10-19,16.28498077392578
2015-10-20,16.257305145263672
2015-10-21,16.226869583129883
2015-10-22,16.298816680908203
2015-10-23,16.13278579711914
2015-10-26,16.05530548095703
2015-10-27,15.905869483947754
2015-10-28,15.95014762878418
2015-10-29,16.038700103759766
2015-10-30,15.839459419250488
2015-11-02,15.941848754882812
2015-11-03,16.0802059173584
2015-11-04,16.15215492248535
2015-11-05,16.218564987182617
2015-11-06,16.26561164855957
2015-11-09,16.185361862182617
2015-11-10,16.237937927246094
2015-11-11,15.93354320526123
2015-11-12,15.7592134475708
2015-11-13,15.612547874450684
2015-11-16,16.013797760009766
2015-11-17,16.581071853637695
2015-11-18,16.860553741455078
2015-11-19,16.79690933227539
2015-11-20,16.622581481933594
2015-11-23,16.675153732299805
2015-11-24,16.581071853637695
2015-11-25,16.66961669921875
2015-11-27,16.572771072387695
2015-11-30,16.28221321105957
2015-12-01,16.323728561401367
2015-12-02,16.281864166259766
2015-12-03,16.474393844604492
2015-12-04,16.64740562438965
2015-12-07,16.881803512573242
2015-12-08,16.633453369140625
2015-12-09,16.4995174407959
2015-12-10,16.619503021240234
2015-12-11,16.563695907592773
2015-12-14,16.85110092163086
2015-12-15,16.641828536987305
2015-12-16,16.825990676879883
2015-12-17,16.457658767700195
2015-12-18,16.4213809967041
2015-12-21,16.616708755493164
2015-12-22,16.89295768737793
2015-12-23,17.04642677307129
2015-12-24,16.973878860473633
2015-12-28,16.951555252075195
2015-12-29,17.191526412963867
2015-12-30,17.2110652923584
2015-12-31,17.10502815246582
