Date,COFORGE.NS
2015-08-21,86.39546966552734
2015-08-24,79.17185974121094
2015-08-25,75.97881317138672
2015-08-26,75.15000915527344
2015-08-27,76.69418334960938
2015-08-28,75.33321380615234
2015-08-31,81.37034606933594
2015-09-01,81.68441009521484
2015-09-02,81.64079284667969
2015-09-03,80.72474670410156
2015-09-04,78.18603515625
2015-09-07,77.02570343017578
2015-09-08,74.94063568115234
2015-09-09,77.68001556396484
2015-09-10,79.20675659179688
2015-09-11,78.83160400390625
2015-09-14,77.296142578125
2015-09-15,76.02242279052734
2015-09-16,79.10205841064453
2015-09-18,76.85993957519531
2015-09-21,76.98209381103516
2015-09-22,76.94718170166016
2015-09-23,78.10750579833984
2015-09-24,82.21659088134766
2015-09-28,83.68224334716797
2015-09-29,81.36160278320312
2015-09-30,82.47831726074219
2015-10-01,82.67896270751953
2015-10-05,81.28311920166016
2015-10-06,81.57097625732422
2015-10-07,80.0530014038086
2015-10-08,79.8436279296875
2015-10-09,77.40084075927734
2015-10-12,78.1336898803711
2015-10-13,79.12824249267578
2015-10-14,77.79344177246094
2015-10-15,80.25364685058594
2015-10-16,85.18280029296875
2015-10-19,97.89393615722656
2015-10-20,94.97132873535156
2015-10-21,91.79573059082031
2015-10-23,91.76082611083984
2015-10-26,96.56786346435547
2015-10-27,101.06953430175781
2015-10-28,99.29850769042969
2015-10-29,97.34429931640625
2015-10-30,98.71400451660156
2015-11-02,103.00629425048828
2015-11-03,102.49156951904297
2015-11-04,102.08152770996094
2015-11-05,100.144775390625
2015-11-06,97.14363861083984
2015-11-09,103.7042236328125
2015-11-10,99.93537902832031
2015-11-13,98.51334381103516
2015-11-16,103.76528930664062
2015-11-17,108.47637176513672
2015-11-18,104.34107208251953
2015-11-19,106.00740051269531
2015-11-20,101.88961029052734
2015-11-23,101.14805603027344
2015-11-24,102.53519439697266
2015-11-26,102.16004180908203
2015-11-27,99.76089477539062
2015-11-30,99.36831665039062
2015-12-01,101.4708251953125
2015-12-02,100.1883773803711
2015-12-03,101.20909881591797
2015-12-04,101.33997344970703
2015-12-07,103.99213409423828
2015-12-08,103.71294403076172
2015-12-09,102.8841552734375
2015-12-10,102.91033172607422
2015-12-11,103.15461730957031
2015-12-14,102.92778015136719
2015-12-15,104.33235931396484
2015-12-16,102.21239471435547
2015-12-17,103.69550323486328
2015-12-18,102.91905212402344
2015-12-21,102.64862060546875
2015-12-22,102.84923553466797
2015-12-23,103.34652709960938
2015-12-24,102.39559173583984
2015-12-28,102.05535125732422
2015-12-29,100.99099731445312
2015-12-30,100.57223510742188
2015-12-31,101.12187957763672
2016-01-01,100.78163146972656
2016-01-04,101.28762817382812
2016-01-05,99.9964599609375
2016-01-06,99.27233123779297
2016-01-07,93.8371810913086
2016-01-08,93.5230941772461
2016-01-11,94.57872009277344
2016-01-12,97.10002899169922
2016-01-13,95.33772277832031
2016-01-14,99.5079116821289
2016-01-15,89.78915405273438
2016-01-18,85.03450012207031
2016-01-19,82.67896270751953
2016-01-20,77.73235321044922
2016-01-21,85.42708587646484
2016-01-22,83.86544799804688
2016-01-25,89.25696563720703
2016-01-27,92.62452697753906
2016-01-28,92.8600845336914
2016-01-29,96.26251220703125
2016-02-01,92.72920227050781
2016-02-02,95.90481567382812
2016-02-03,94.09891510009766
2016-02-04,95.42498016357422
2016-02-05,92.24066925048828
2016-02-08,91.6561508178711
2016-02-09,88.79460144042969
2016-02-10,88.14030456542969
2016-02-11,84.66810607910156
2016-02-12,85.65391540527344
2016-02-15,87.14574432373047
2016-02-16,86.77061462402344
2016-02-17,86.63102722167969
2016-02-18,83.56883239746094
2016-02-19,81.66696166992188
2016-02-22,81.46630096435547
2016-02-23,79.18057250976562
2016-02-24,80.76835632324219
2016-02-25,77.61898040771484
2016-02-26,74.22525024414062
2016-02-29,73.20453643798828
2016-03-01,81.07373809814453
2016-03-02,80.9254150390625
2016-03-03,86.23841857910156
2016-03-04,83.74331665039062
2016-03-08,81.37906646728516
2016-03-09,79.33761596679688
2016-03-10,81.37034606933594
2016-03-11,80.67240905761719
2016-03-14,82.11190032958984
2016-03-15,81.75421142578125
2016-03-16,84.20570373535156
2016-03-17,82.3561782836914
2016-03-18,85.63646697998047
2016-03-21,85.72370910644531
2016-03-22,85.8283920288086
2016-03-23,88.15775299072266
2016-03-28,85.17407989501953
2016-03-29,85.16537475585938
2016-03-30,86.29075622558594
2016-03-31,86.66592407226562
2016-04-01,86.46525573730469
2016-04-04,88.5590591430664
2016-04-05,86.18609619140625
2016-04-06,85.48816680908203
2016-04-07,86.01160430908203
2016-04-08,87.0672378540039
2016-04-11,86.84041595458984
2016-04-12,86.50016784667969
2016-04-13,86.23841857910156
2016-04-18,89.15230560302734
2016-04-20,87.79134368896484
2016-04-21,87.32020568847656
2016-04-22,87.20682525634766
2016-04-25,86.33439636230469
2016-04-26,84.96470642089844
2016-04-27,83.8829116821289
2016-04-28,81.94613647460938
2016-04-29,81.94613647460938
2016-05-02,83.3245620727539
2016-05-03,81.55355072021484
2016-05-04,80.2012939453125
2016-05-05,80.37578582763672
2016-05-06,85.07811737060547
2016-05-09,84.2405776977539
2016-05-10,82.13805389404297
2016-05-11,83.06282806396484
2016-05-12,82.7313232421875
2016-05-13,82.69639587402344
2016-05-16,82.63536071777344
2016-05-17,83.54266357421875
2016-05-18,83.58628845214844
2016-05-19,82.53937530517578
2016-05-20,82.86217498779297
2016-05-23,82.9145278930664
2016-05-24,82.9581527709961
2016-05-25,82.8970718383789
2016-05-26,82.87090301513672
2016-05-27,82.809814453125
