Date,CERA.NS
2015-08-21,1922.644775390625
2015-08-24,1762.7884521484375
2015-08-25,1762.8831787109375
2015-08-26,1797.1043701171875
2015-08-27,1892.0311279296875
2015-08-28,1904.65625
2015-08-31,1956.5809326171875
2015-09-01,1894.7840576171875
2015-09-02,1915.33544921875
2015-09-03,1930.998291015625
2015-09-04,1867.9197998046875
2015-09-07,1767.67724609375
2015-09-08,1749.8782958984375
2015-09-09,1796.9620361328125
2015-09-10,1794.5413818359375
2015-09-11,1823.6837158203125
2015-09-14,1819.9818115234375
2015-09-15,1832.0848388671875
2015-09-16,1867.9197998046875
2015-09-18,1886.3828125
2015-09-21,1920.60400390625
2015-09-22,1877.2225341796875
2015-09-23,1872.7135009765625
2015-09-24,1875.2764892578125
2015-09-28,1802.1353759765625
2015-09-29,1889.515380859375
2015-09-30,1918.135986328125
2015-10-01,1853.395751953125
2015-10-05,1866.305908203125
2015-10-06,1916.28466796875
2015-10-07,1922.644775390625
2015-10-08,1921.3634033203125
2015-10-09,1928.0557861328125
2015-10-12,1916.2373046875
2015-10-13,1904.276611328125
2015-10-14,1900.5743408203125
2015-10-15,1937.738525390625
2015-10-16,2025.735107421875
2015-10-19,2038.7877197265625
2015-10-20,2086.867919921875
2015-10-21,2130.961669921875
2015-10-23,1893.12255859375
2015-10-26,1884.5318603515625
2015-10-27,1864.454833984375
2015-10-28,1873.7103271484375
2015-10-29,1862.129150390625
2015-10-30,1809.44482421875
2015-11-02,1881.399169921875
2015-11-03,1872.9508056640625
2015-11-04,1824.4906005859375
2015-11-05,1803.84423828125
2015-11-06,1781.9161376953125
2015-11-09,1791.740966796875
2015-11-10,1756.570556640625
2015-11-13,1729.0894775390625
2015-11-16,1726.621337890625
2015-11-17,1761.412109375
2015-11-18,1777.2646484375
2015-11-19,1763.3104248046875
2015-11-20,1762.5032958984375
2015-11-23,1809.3499755859375
2015-11-24,1826.8162841796875
2015-11-26,1839.204345703125
2015-11-27,1806.4071044921875
2015-11-30,1859.138916015625
2015-12-01,1846.6087646484375
2015-12-02,1834.7430419921875
2015-12-03,1822.5445556640625
2015-12-04,1856.8604736328125
2015-12-07,1832.132568359375
2015-12-08,1808.590576171875
2015-12-09,1826.7216796875
2015-12-10,1858.8067626953125
2015-12-11,1801.5185546875
2015-12-14,1810.061767578125
2015-12-15,1834.2205810546875
2015-12-16,1842.0045166015625
2015-12-17,1844.4727783203125
2015-12-18,1850.9752197265625
2015-12-21,1849.69384765625
2015-12-22,1890.2750244140625
2015-12-23,1876.2733154296875
2015-12-24,1868.299560546875
2015-12-28,1893.12255859375
2015-12-29,1881.44677734375
2015-12-30,1904.8935546875
2015-12-31,1914.2913818359375
2016-01-01,1916.332275390625
2016-01-04,1883.2503662109375
2016-01-05,1903.327392578125
2016-01-06,1909.59228515625
2016-01-07,1873.56787109375
2016-01-08,1860.6104736328125
2016-01-11,1889.32568359375
2016-01-12,1828.1453857421875
2016-01-13,1754.244873046875
2016-01-14,1759.9405517578125
2016-01-15,1713.37890625
2016-01-18,1698.9979248046875
2016-01-19,1704.313720703125
2016-01-20,1660.0301513671875
2016-01-21,1661.3592529296875
2016-01-22,1663.3052978515625
2016-01-25,1655.99560546875
2016-01-27,1661.69140625
2016-01-28,1653.48046875
2016-01-29,1660.6949462890625
2016-02-01,1650.5850830078125
2016-02-02,1651.771728515625
2016-02-03,1620.92041015625
2016-02-04,1614.9400634765625
2016-02-05,1615.1298828125
2016-02-08,1602.6944580078125
2016-02-09,1559.4080810546875
2016-02-10,1503.44873046875
2016-02-11,1498.1329345703125
2016-02-12,1556.0855712890625
2016-02-15,1553.47509765625
2016-02-16,1565.3883056640625
2016-02-17,1563.1102294921875
2016-02-18,1555.70556640625
2016-02-19,1557.1295166015625
2016-02-22,1579.6748046875
2016-02-23,1571.84326171875
2016-02-24,1520.5828857421875
2016-02-25,1556.6551513671875
2016-02-26,1586.6517333984375
2016-02-29,1612.1873779296875
2016-03-01,1680.9141845703125
2016-03-02,1758.1370849609375
2016-03-03,1743.18603515625
2016-03-04,1753.8177490234375
2016-03-08,1768.4365234375
2016-03-09,1747.3629150390625
2016-03-10,1691.071044921875
2016-03-11,1672.655517578125
2016-03-14,1698.048583984375
2016-03-15,1725.29248046875
2016-03-16,1744.562255859375
2016-03-17,1709.2021484375
2016-03-18,1684.5213623046875
2016-03-21,1734.9747314453125
2016-03-22,1699.3773193359375
2016-03-23,1725.6722412109375
2016-03-28,1721.305419921875
2016-03-29,1741.239990234375
2016-03-30,1727.6654052734375
2016-03-31,1737.063232421875
2016-04-01,1745.132080078125
2016-04-04,1744.7998046875
2016-04-05,1684.5213623046875
2016-04-06,1683.95166015625
2016-04-07,1678.2086181640625
2016-04-08,1670.9942626953125
2016-04-11,1679.869873046875
2016-04-12,1680.4393310546875
2016-04-13,1704.408447265625
2016-04-18,1695.6751708984375
2016-04-20,1709.62939453125
2016-04-21,1701.655517578125
2016-04-22,1709.724365234375
2016-04-25,1711.528076171875
2016-04-26,1705.547607421875
2016-04-27,1702.7470703125
2016-04-28,1700.943603515625
2016-04-29,1751.3497314453125
2016-05-02,1784.4315185546875
2016-05-03,1874.849365234375
2016-05-04,1880.2601318359375
2016-05-05,1879.64306640625
2016-05-06,1876.083251953125
2016-05-09,1893.9296875
2016-05-10,1955.58447265625
2016-05-11,1974.237548828125
2016-05-12,1948.702392578125
2016-05-13,1940.63330078125
2016-05-16,1913.247314453125
2016-05-17,1915.05078125
2016-05-18,1924.306396484375
2016-05-19,1905.2259521484375
