Date,COLPAL.NS
2015-08-21,820.7449951171875
2015-08-24,796.404541015625
2015-08-25,782.1046752929688
2015-08-26,788.6888427734375
2015-08-27,797.5979614257812
2015-08-28,801.198486328125
2015-08-31,804.4082641601562
2015-09-01,791.6929321289062
2015-09-02,792.5364379882812
2015-09-03,786.7341918945312
2015-09-04,775.685302734375
2015-09-07,760.8095092773438
2015-09-08,743.1353759765625
2015-09-09,755.3982543945312
2015-09-10,748.5054321289062
2015-09-11,760.5009155273438
2015-09-14,792.063232421875
2015-09-15,802.021484375
2015-09-16,816.5272216796875
2015-09-18,800.6430053710938
2015-09-21,808.770263671875
2015-09-22,792.6188354492188
2015-09-23,773.874755859375
2015-09-24,785.0264282226562
2015-09-28,779.8002319335938
2015-09-29,775.0679931640625
2015-09-30,791.3225708007812
2015-10-01,791.4049682617188
2015-10-05,793.8326416015625
2015-10-06,791.1578369140625
2015-10-07,776.590576171875
2015-10-08,763.1754760742188
2015-10-09,766.09716796875
2015-10-12,756.632568359375
2015-10-13,754.6162719726562
2015-10-14,748.9374389648438
2015-10-15,746.4684448242188
2015-10-16,746.4684448242188
2015-10-19,774.3685302734375
2015-10-20,771.3233642578125
2015-10-21,777.9484252929688
2015-10-23,774.327392578125
2015-10-26,768.3194580078125
2015-10-27,779.8414916992188
2015-10-28,806.0130615234375
2015-10-29,802.72119140625
2015-10-30,786.2608032226562
2015-11-02,772.8870849609375
2015-11-03,780.9526977539062
2015-11-04,774.3685302734375
2015-11-05,776.0629272460938
2015-11-06,776.021484375
2015-11-09,793.2545166015625
2015-11-10,791.9320678710938
2015-11-13,783.74951171875
2015-11-16,781.765869140625
2015-11-17,781.0634765625
2015-11-18,781.02197265625
2015-11-19,789.2459106445312
2015-11-20,795.1556396484375
2015-11-23,792.6759033203125
2015-11-24,781.1046142578125
2015-11-26,799.2880249023438
2015-11-27,799.1228637695312
2015-11-30,798.54443359375
2015-12-01,806.1895751953125
2015-12-02,811.1900634765625
