Date,DANSKE.CO
2015-08-24,132.0524444580078
2015-08-25,138.9230194091797
2015-08-26,137.89242553710938
2015-08-27,142.97665405273438
2015-08-28,142.427001953125
2015-08-31,141.53382873535156
2015-09-01,140.2284393310547
2015-09-02,142.2208709716797
2015-09-03,144.90040588378906
2015-09-04,142.2208709716797
2015-09-07,143.25146484375
2015-09-08,145.5187530517578
2015-09-09,147.7173614501953
2015-09-10,147.16770935058594
2015-09-11,147.3051300048828
2015-09-14,145.7248992919922
2015-09-15,145.99969482421875
2015-09-16,145.45004272460938
2015-09-17,144.96914672851562
2015-09-18,142.28958129882812
2015-09-21,145.5874481201172
2015-09-22,142.63311767578125
2015-09-23,141.53382873535156
2015-09-24,137.61761474609375
2015-09-25,140.84678649902344
2015-09-28,138.64820861816406
2015-09-29,136.7244415283203
2015-09-30,138.44204711914062
2015-10-01,138.09852600097656
2015-10-02,138.57948303222656
2015-10-05,140.29713439941406
2015-10-06,140.91549682617188
2015-10-07,141.05288696289062
2015-10-08,140.09100341796875
2015-10-09,140.09100341796875
2015-10-12,136.44961547851562
2015-10-13,136.7931365966797
2015-10-14,134.93807983398438
2015-10-15,137.82369995117188
2015-10-16,139.47265625
2015-10-19,140.0222930908203
2015-10-20,138.71688842773438
2015-10-21,137.96112060546875
2015-10-22,135.76255798339844
2015-10-23,135.96865844726562
2015-10-26,137.3427734375
2015-10-27,135.6251220703125
2015-10-28,134.11361694335938
2015-10-29,124.63220977783203
2015-10-30,128.13621520996094
2015-11-02,130.81573486328125
2015-11-03,129.30419921875
2015-11-04,126.96822357177734
2015-11-05,126.83082580566406
2015-11-06,130.88442993164062
2015-11-09,128.54844665527344
2015-11-10,128.479736328125
2015-11-11,129.16680908203125
2015-11-12,129.16680908203125
2015-11-13,126.76210021972656
2015-11-16,126.76210021972656
2015-11-17,127.99880981445312
2015-11-18,128.82325744628906
2015-11-19,130.26608276367188
2015-11-20,127.7239761352539
2015-11-23,127.6552734375
2015-11-24,127.6552734375
2015-11-25,128.13621520996094
2015-11-26,126.41856384277344
2015-11-27,126.2811508178711
2015-11-30,126.2811508178711
2015-12-01,130.67831420898438
2015-12-02,130.81573486328125
2015-12-03,130.81573486328125
2015-12-04,131.0218505859375
2015-12-07,129.9912567138672
2015-12-08,127.17433166503906
2015-12-09,126.48728942871094
2015-12-10,124.1512680053711
2015-12-11,121.40304565429688
2015-12-14,121.40304565429688
2015-12-15,123.94515991210938
2015-12-16,123.12069702148438
2015-12-17,124.9757308959961
2015-12-18,124.9757308959961
2015-12-21,122.29621124267578
2015-12-22,123.25810241699219
2015-12-23,123.25810241699219
2015-12-28,126.2811508178711
2015-12-29,127.51787567138672
2015-12-30,127.51787567138672
2016-01-04,125.18186950683594
2016-01-05,127.10564422607422
2016-01-06,127.10564422607422
2016-01-07,127.3117446899414
2016-01-08,127.3117446899414
2016-01-11,124.56352996826172
2016-01-12,126.2811508178711
2016-01-13,126.14374542236328
2016-01-14,125.0444564819336
2016-01-15,120.30376434326172
2016-01-18,118.10518646240234
2016-01-19,120.78471374511719
2016-01-20,116.18141174316406
2016-01-21,120.92213439941406
2016-01-22,124.35739135742188
2016-01-25,124.76963806152344
2016-01-26,126.89952087402344
2016-01-27,125.11315155029297
2016-01-28,122.77715301513672
2016-01-29,126.89952087402344
2016-02-01,123.87645721435547
2016-02-02,128.8919677734375
2016-02-03,126.41856384277344
2016-02-04,131.77761840820312
2016-02-05,131.2279510498047
2016-02-08,124.08256530761719
2016-02-09,118.17385864257812
2016-02-10,123.46421813964844
2016-02-11,117.83036804199219
2016-02-12,120.23505401611328
2016-02-15,127.79268646240234
2016-02-16,128.479736328125
2016-02-17,130.47219848632812
2016-02-18,129.02938842773438
2016-02-19,127.93011474609375
2016-02-22,131.36538696289062
2016-02-23,129.30419921875
