Date,CHALET.NS
2019-02-07,291.70001220703125
2019-02-08,291.3999938964844
2019-02-11,282.54998779296875
2019-02-12,280.75
2019-02-14,286.3500061035156
2019-02-15,284.20001220703125
2019-02-18,278.6499938964844
2019-02-19,280.20001220703125
2019-02-20,280.75
2019-02-21,280.6000061035156
2019-02-22,280.3999938964844
2019-02-25,284.75
2019-02-26,280.0
2019-02-27,280.04998779296875
2019-02-28,276.20001220703125
2019-03-01,273.20001220703125
2019-03-05,280.75
2019-03-06,282.0
2019-03-07,283.1499938964844
2019-03-08,283.20001220703125
2019-03-11,301.79998779296875
2019-03-12,314.70001220703125
2019-03-13,329.5
2019-03-14,319.3500061035156
2019-03-15,315.95001220703125
2019-03-18,318.3500061035156
2019-03-19,323.5
2019-03-20,323.0
2019-03-22,321.1499938964844
2019-03-25,321.6000061035156
2019-03-26,338.20001220703125
2019-03-27,337.8500061035156
2019-03-28,338.79998779296875
2019-04-01,342.75
2019-04-02,339.20001220703125
2019-04-03,333.70001220703125
2019-04-04,326.3500061035156
2019-04-05,326.6499938964844
2019-04-08,323.8999938964844
2019-04-09,316.8999938964844
2019-04-10,318.04998779296875
2019-04-11,323.20001220703125
2019-04-12,324.1499938964844
2019-04-15,330.5
2019-04-16,326.25
2019-04-18,317.0
2019-04-22,312.75
2019-04-23,315.95001220703125
2019-04-24,322.70001220703125
2019-04-25,324.5
2019-04-26,321.45001220703125
2019-04-30,321.95001220703125
2019-05-02,326.6499938964844
2019-05-03,334.5
2019-05-06,345.25
2019-05-07,348.3500061035156
2019-05-08,329.54998779296875
2019-05-09,324.0
2019-05-10,327.6000061035156
2019-05-13,322.6000061035156
2019-05-14,324.8999938964844
2019-05-15,340.6000061035156
2019-05-16,331.3999938964844
2019-05-17,339.8500061035156
2019-05-20,340.29998779296875
2019-05-21,338.0
2019-05-22,337.20001220703125
2019-05-23,338.20001220703125
2019-05-24,339.95001220703125
2019-05-27,339.8500061035156
2019-05-28,332.8500061035156
2019-05-29,325.04998779296875
2019-05-30,332.95001220703125
2019-05-31,349.1499938964844
2019-06-03,342.8999938964844
2019-06-04,340.25
2019-06-06,337.95001220703125
2019-06-07,337.8999938964844
2019-06-10,341.0
2019-06-11,335.70001220703125
2019-06-12,335.95001220703125
2019-06-13,334.54998779296875
2019-06-14,329.3999938964844
2019-06-17,324.79998779296875
2019-06-18,320.79998779296875
2019-06-19,318.29998779296875
2019-06-20,313.8500061035156
2019-06-21,306.1499938964844
2019-06-24,303.95001220703125
2019-06-25,301.70001220703125
2019-06-26,305.6000061035156
2019-06-27,306.5
2019-06-28,317.95001220703125
